ex001:001	ex001:001	ex001:001	VERSE	2Ms␣1:1␣
ex001:001	(1a)	-	UNTRANSLATED	
ex001:001	1b	@	-	Nämä␣
ex001:001	-	(@)	-	ovat␣
ex001:001	6	@	-	Egyptiin␣
ex001:001	(5a) 5b	@	-	tulleiden␣
ex001:001	4	@	-	Israelin␣
ex001:001	3	@	-	poikien␣
ex001:001	2	@	-	nimet
ex001:001	-	(;)	-	;␣
ex001:001	8	@	-	Jaakobin␣
ex001:001	7	@	-	kanssa␣
ex001:001	11	(@)	-	he␣
ex001:001	11	(@)	-	olivat␣
ex001:001	9	@	-	itsekukin␣
ex001:001	10b	@	-	perheineen␣
ex001:001	10a	%inflection	CMT.-3	
ex001:001	11	@	-	tulleet␣
ex001:001	-	(@)	-	sinne
ex001:001	-	(:)	-	:␣
ex001:002	ex001:002	ex001:002	VERSE	2Ms␣1:2␣
ex001:002	1	@	-	Ruuben
ex001:002	-	(,)	-	,␣
ex001:002	2	@	-	Simeon
ex001:002	-	(,)	-	,␣
ex001:002	3	@	-	Leevi␣
ex001:002	4a	@	-	ja␣
ex001:002	4b	@	-	Juuda
ex001:002	-	(,)	-	,␣
ex001:003	ex001:003	ex001:003	VERSE	2Ms␣1:3␣
ex001:003	1	@	-	Isaskar
ex001:003	-	(,)	-	,␣
ex001:003	2	@	-	Sebulon␣
ex001:003	3a	@	-	ja␣
ex001:003	3b	@	-	Benjamin
ex001:003	-	(,)	-	,␣
ex001:004	ex001:004	ex001:004	VERSE	2Ms␣1:4␣
ex001:004	1	@	-	Daan
ex001:004	(2a)	-	UNTRANSLATED	
ex001:004	-	(,)	-	,␣
ex001:004	2b	@	-	Naftali
ex001:004	-	(,)	-	,␣
ex001:004	3	@	-	Gaad␣
ex001:004	4a	@	-	ja␣
ex001:004	4b	@	-	Asser
ex001:004	-	(.)	-	.␣
ex001:005	ex001:005	ex001:005	VERSE	2Ms␣1:5␣
ex001:005	1a	@	-	Ja␣
ex001:005	6	@	-	Jaakobin␣
ex001:005	5	@	-	kupeista␣
ex001:005	4	@	-	lähteneitä␣
ex001:005	1b	@	-	oli␣
ex001:005	2	@	-	kaikkiaan␣
ex001:005	(3)	-	UNTRANSLATED	
ex001:005	7	@	-	seitsemänkymmentä␣
ex001:005	8	@	-	henkeä
ex001:005	-	(.)	-	.␣
ex001:005	9a	@	-	Mutta␣
ex001:005	9b	@	-	Joosef␣
ex001:005	10	@	-	oli␣
ex001:005	-	(@)	-	jo␣
ex001:005	-	(@)	-	ennestään␣
ex001:005	11b	@	-	Egyptissä
ex001:005	11a	%case	LOC	
ex001:005	-	(.)	-	.␣
ex001:006	ex001:006	ex001:006	VERSE	2Ms␣1:6␣
ex001:006	1a	@	-	Ja␣
ex001:006	2	@	-	Joosef␣
ex001:006	1b	@	-	kuoli␣
ex001:006	3a	@	-	ja␣
ex001:006	3b	@	-	kaikki␣
ex001:006	pers%4	@	-	hänen␣
ex001:006	4	@	-	veljensä␣
ex001:006	5a	@	-	ynnä␣
ex001:006	5b	@	-	koko␣
ex001:006	(7a) 7b	@	-	se␣
ex001:006	(6a) 6b	@	-	sukupolvi
ex001:006	-	(.)	-	.␣
ex001:007	ex001:007	ex001:007	VERSE	2Ms␣1:7␣
ex001:007	1a	@	-	Mutta␣
ex001:007	1b 2	@	-	israelilaiset␣
ex001:007	3	@	-	olivat␣
ex001:007	3	@	-	hedelmälliset␣
ex001:007	4a	@	-	ja␣
ex001:007	4b	@	-	sikisivät
ex001:007	(5a)	-	UNTRANSLATED	
ex001:007	-	(,)	-	,␣
ex001:007	5b	@	-	lisääntyivät␣
ex001:007	6a	@	-	ja␣
ex001:007	6b	@	-	enenivät␣
ex001:007	8	@	-	hyvin␣
ex001:007	7a 7b	%case	?	
ex001:007	6b	@	-	suurilukuisiksi
ex001:007	-	(,)	-	,␣
ex001:007	9a	@	-	niin␣
ex001:007	9a	@	-	että␣
ex001:007	(10a) 10b	@	-	maa␣
ex001:007	9b	@	-	tuli␣
ex001:007	11	@	-	heitä␣
ex001:007	9b	@	-	täyteen
ex001:007	-	(.)	-	.␣
ex001:008	ex001:008	ex001:008	VERSE	2Ms␣1:8␣
ex001:008	1a	@	-	Niin␣
ex001:008	5	@	-	Egyptiin␣
ex001:008	4	%case	LOC	
ex001:008	1b	@	-	tuli␣
ex001:008	3	@	-	uusi␣
ex001:008	2	@	-	kuningas
ex001:008	-	(,)	-	,␣
ex001:008	6	@	-	joka␣
ex001:008	7	@	-	ei␣
ex001:008	10	@	-	Joosefista␣
ex001:008	9	%case	LOC	
ex001:008	-	(@)	-	mitään␣
ex001:008	8	@	-	tiennyt
ex001:008	-	(.)	-	.␣
ex001:009	ex001:009	ex001:009	VERSE	2Ms␣1:9␣
ex001:009	(1a)	-	UNTRANSLATED	
ex001:009	1b	(@)	-	Tämä␣
ex001:009	1b	@	-	sanoi␣
ex001:009	3	@	-	kansallensa
ex001:009	2	%case	LOC	
ex001:009	-	(:)	-	:␣
