pr001:001	pr001:001	pr001:001	VERSE	Snl␣1:1␣
pr001:001	2	@	-	Salomon
pr001:001	-	(,)	-	,␣
pr001:001	4	@	-	Daavidin␣
pr001:001	3	@	-	pojan
pr001:001	-	(,)	-	,␣
pr001:001	6	@	-	Israelin␣
pr001:001	5	@	-	kuninkaan
pr001:001	-	(,)	-	,␣
pr001:001	1	@	-	sananlaskut
pr001:001	-	(,)	-	,␣
pr001:002	pr001:002	pr001:002	VERSE	Snl␣1:2␣
pr001:002	2	@	-	viisauden␣
pr001:002	3a	@	-	ja␣
pr001:002	3b	@	-	kurin␣
pr001:002	1b	@	-	oppimiseksi
pr001:002	1a	%case	TRA	
pr001:002	-	(,)	-	,␣
pr001:002	6	@	-	ymmärryksen␣
pr001:002	5	@	-	sanojen␣
pr001:002	4b	@	-	ymmärtämiseksi
pr001:002	4a	%case	TRA	
pr001:002	-	(,)	-	,␣
pr001:003	pr001:003	pr001:003	VERSE	Snl␣1:3␣
pr001:003	3	@	-	taitoa␣
pr001:003	3	@	-	tuovan␣
pr001:003	2	@	-	kurin
pr001:003	-	(,)	-	,␣
pr001:003	4	@	-	vanhurskauden
pr001:003	(5a)	-	UNTRANSLATED	
pr001:003	-	(,)	-	,␣
pr001:003	5b	@	-	oikeuden␣
pr001:003	6a	@	-	ja␣
pr001:003	6b	@	-	vilpittömyyden␣
pr001:003	1b	@	-	saamiseksi
pr001:003	1a	%case	TRA	
pr001:003	-	(,)	-	,␣
pr001:004	pr001:004	pr001:004	VERSE	Snl␣1:4␣
pr001:004	3	@	-	mielevyyden␣
pr001:004	1b	@	-	antamiseksi␣
pr001:004	1a	%case	TRA	
pr001:004	2b	@	-	yksinkertaisille
pr001:004	2a	%case	LOC	
pr001:004	-	(,)	-	,␣
pr001:004	5	@	-	tiedon␣
pr001:004	6a	@	-	ja␣
pr001:004	6b	@	-	taidollisuuden␣
pr001:004	4b	@	-	nuorille
pr001:004	4a	%case	LOC	
pr001:004	-	(.)	-	.␣
pr001:005	pr001:005	pr001:005	VERSE	Snl␣1:5␣
pr001:005	2	@	-	Viisas␣
pr001:005	1	@	-	kuulkoon␣
pr001:005	3a	@	-	ja␣
pr001:005	3b	(@)	-	saakoon␣
pr001:005	4	@	-	oppia␣
pr001:005	3b	@	-	lisää
pr001:005	-	(,)	-	,␣
pr001:005	5a	@	-	ja␣
pr001:005	5b	@	-	ymmärtäväinen␣
pr001:005	7	@	-	hankkikoon␣
pr001:005	6	@	-	elämänohjetta␣
pr001:006	pr001:006	pr001:006	VERSE	Snl␣1:6␣
pr001:006	1b	@	-	ymmärtääkseen␣
pr001:006	1a	%case	TRA	
pr001:006	2	@	-	sananlaskuja␣
pr001:006	3a	@	-	ja␣
pr001:006	3b	@	-	vertauksia
pr001:006	-	(,)	-	,␣
pr001:006	5	@	-	viisasten␣
pr001:006	4	@	-	sanoja␣
pr001:006	6a	@	-	ja␣
pr001:006	pers%6b	@	-	heidän␣
pr001:006	6b	@	-	ongelmiansa
pr001:006	-	(.)	-	.␣
pr001:007	pr001:007	pr001:007	VERSE	Snl␣1:7␣
pr001:007	2	@	-	Herran␣
pr001:007	1	@	-	pelko␣
pr001:007	-	(@)	-	on␣
pr001:007	4	@	-	tiedon␣
pr001:007	3	@	-	alku
pr001:007	-	(;)	-	;␣
pr001:007	7	@	-	hullut␣
pr001:007	8	@	-	pitävät␣
pr001:007	8	@	-	halpana␣
pr001:007	5	@	-	viisauden␣
pr001:007	6a	@	-	ja␣
pr001:007	6b	@	-	kurin
pr001:007	-	(.)	-	.␣
pr001:008	pr001:008	pr001:008	VERSE	Snl␣1:8␣
pr001:008	1	@	-	Kuule
pr001:008	-	(,)	-	,␣
pr001:008	2	@	-	poikani
pr001:008	-	(,)	-	,␣
pr001:008	4	@	-	isäsi␣
pr001:008	3	@	-	kuritusta␣
pr001:008	5b	@	-	äläkä␣
pr001:008	5a	%clitic	kA	
pr001:008	6	@	-	hylkää␣
pr001:008	8	@	-	äitisi␣
pr001:008	7	@	-	opetusta
pr001:008	-	(,)	-	,␣
pr001:009	pr001:009	pr001:009	VERSE	Snl␣1:9␣
pr001:009	1	@	-	sillä␣
pr001:009	4	@	-	ne␣
pr001:009	-	(@)	-	ovat␣
pr001:009	3	@	-	ihana␣
pr001:009	2	@	-	seppele␣
pr001:009	pers%5b	@	-	sinun␣
pr001:009	5b	@	-	päähäsi␣
pr001:009	5a	%case	LOC	
pr001:009	6a	@	-	ja␣
pr001:009	6b	@	-	käädyt␣
pr001:009	pers%7b	@	-	sinun␣
pr001:009	7b	@	-	kaulaasi
pr001:009	7a	%case	LOC	
pr001:009	-	(.)	-	.␣
pr001:010	pr001:010	pr001:010	VERSE	Snl␣1:10␣
pr001:010	1	@	-	Poikani
pr001:010	-	(,)	-	,␣
pr001:010	2	@	-	jos␣
pr001:010	4	@	-	synnintekijät␣
pr001:010	pers%3	@	-	sinua␣
pr001:010	3	@	-	viekoittelevat
pr001:010	-	(,)	-	,␣
pr001:010	5	@	-	älä␣
pr001:010	6	@	-	suostu
