ec001:001	ec001:001	ec001:001	VERSE	Srn␣1:1␣
ec001:001	2	@	-	Saarnaajan␣
ec001:001	1	@	-	sanat
ec001:001	-	(,)	-	,␣
ec001:001	4	@	-	Daavidin␣
ec001:001	3	@	-	pojan
ec001:001	-	(,)	-	,␣
ec001:001	-	(@)	-	joka␣
ec001:001	-	(@)	-	oli␣
ec001:001	5	@	-	kuninkaana␣
ec001:001	6b	@	-	Jerusalemissa
ec001:001	6a	%case	LOC	
ec001:001	-	(.)	-	.␣
ec001:002	ec001:002	ec001:002	VERSE	Srn␣1:2␣
ec001:002	2	@	-	Turhuuksien␣
ec001:002	1	@	-	turhuus
ec001:002	-	(,)	-	,␣
ec001:002	3	@	-	sanoi␣
ec001:002	4	@	-	saarnaaja
ec001:002	-	(,)	-	,␣
ec001:002	6	@	-	turhuuksien␣
ec001:002	5	@	-	turhuus
ec001:002	-	(;)	-	;␣
ec001:002	(7a) 7b	@	-	kaikki␣
ec001:002	-	(@)	-	on␣
ec001:002	8	@	-	turhuutta
ec001:002	-	(!)	-	!␣
ec001:003	ec001:003	ec001:003	VERSE	Srn␣1:3␣
ec001:003	1	@	-	Mitä␣
ec001:003	2	@	-	hyötyä␣
ec001:003	-	(@)	-	on␣
ec001:003	3b	@	-	ihmiselle␣
ec001:003	3a	%case	LOC	
ec001:003	4b	@	-	kaikesta␣
ec001:003	4a	%case	LOC	
ec001:003	5	@	-	vaivannäöstänsä
ec001:003	-	(,)	-	,␣
ec001:003	6a	@	-	jolla␣
ec001:003	6b	(@)	-	hän␣
ec001:003	6b	@	-	vaivaa␣
ec001:003	-	(@)	-	itseänsä␣
ec001:003	(8a) 8b	@	-	auringon␣
ec001:003	7	@	-	alla
ec001:003	-	(?)	-	?␣
ec001:004	ec001:004	ec001:004	VERSE	Srn␣1:4␣
ec001:004	1	@	-	Sukupolvi␣
ec001:004	2	@	-	menee
ec001:004	-	(,)	-	,␣
ec001:004	3a	@	-	ja␣
ec001:004	3b	@	-	sukupolvi␣
ec001:004	4	@	-	tulee
ec001:004	-	(,)	-	,␣
ec001:004	5a	@	-	mutta␣
ec001:004	(5b) 5c	@	-	maa␣
ec001:004	7	@	-	pysyy␣
ec001:004	6b	@	-	iäti
ec001:004	6a	%case	?	
ec001:004	-	(.)	-	.␣
ec001:005	ec001:005	ec001:005	VERSE	Srn␣1:5␣
ec001:005	1a	@	-	Ja␣
ec001:005	(2a) 2b	@	-	aurinko␣
ec001:005	1b	@	-	nousee
ec001:005	-	(,)	-	,␣
ec001:005	3a	@	-	ja␣
ec001:005	(4a) 4b	@	-	aurinko␣
ec001:005	3b	@	-	laskee␣
ec001:005	5a	@	-	ja␣
ec001:005	7	@	-	kiiruhtaa␣
ec001:005	-	(@)	-	sille␣
ec001:005	6	@	-	sijallensa
ec001:005	5b	%case	LOC	
ec001:005	-	(,)	-	,␣
ec001:005	10	@	-	josta␣
ec001:005	9	@	-	se␣
ec001:005	-	(@)	-	jälleen␣
ec001:005	8	@	-	nousee
ec001:005	-	(.)	-	.␣
ec001:006	ec001:006	ec001:006	VERSE	Srn␣1:6␣
ec001:006	(10a) 10b	@	-	Tuuli␣
ec001:006	1	@	-	menee␣
ec001:006	3	@	-	etelään␣
ec001:006	2	%case	LOC	
ec001:006	4a	@	-	ja␣
ec001:006	4b	@	-	kiertää␣
ec001:006	6	@	-	pohjoiseen
