is001:001	is001:001	is001:001	VERSE	Jes␣1:1␣
is001:001	2	@	-	Jesajan
is001:001	-	(,)	-	,␣
is001:001	4	@	-	Aamoksen␣
is001:001	3	@	-	pojan
is001:001	-	(,)	-	,␣
is001:001	1	@	-	näky
is001:001	-	(,)	-	,␣
is001:001	5	@	-	jonka␣
is001:001	6	(@)	-	hän␣
is001:001	6	@	-	näki␣
is001:001	8	@	-	Juudasta␣
is001:001	7	%case	LOC	
is001:001	9a	@	-	ja␣
is001:001	9b	@	-	Jerusalemista␣
is001:001	11	@	-	Ussian
is001:001	-	(,)	-	,␣
is001:001	12	@	-	Jootamin
is001:001	-	(,)	-	,␣
is001:001	13	@	-	Aahaan␣
is001:001	-	(@)	-	ja␣
is001:001	14	@	-	Hiskian
is001:001	-	(,)	-	,␣
is001:001	16	@	-	Juudan␣
is001:001	15	@	-	kuningasten
is001:001	-	(,)	-	,␣
is001:001	10b	@	-	päivinä
is001:001	10a	%case	ESS	
is001:001	-	(.)	-	.␣
is001:002	is001:002	is001:002	VERSE	Jes␣1:2␣
is001:002	1	@	-	Kuulkaa
is001:002	-	(,)	-	,␣
is001:002	2	@	-	taivaat
is001:002	(3a)	-	UNTRANSLATED	
is001:002	-	(,)	-	,␣
is001:002	3b	@	-	ota␣
is001:002	3b	@	-	korviisi
is001:002	-	(,)	-	,␣
is001:002	4	@	-	maa
is001:002	-	(,)	-	,␣
is001:002	5	@	-	sillä␣
is001:002	6	@	-	Herra␣
is001:002	7	@	-	puhuu
is001:002	-	(:)	-	:␣
is001:002	9	(@)	-	Minä␣
is001:002	9	@	-	kasvatin␣
is001:002	8	@	-	lapsia
is001:002	(10a)	-	UNTRANSLATED	
is001:002	-	(,)	-	,␣
is001:002	10b	@	-	sain␣
is001:002	-	(@)	-	heidät␣
is001:002	10b	@	-	suuriksi
is001:002	-	(,)	-	,␣
is001:002	11a	@	-	mutta␣
is001:002	11b	@	-	he␣
is001:002	12	@	-	luopuivat␣
is001:002	13	@	-	minusta
is001:002	-	(.)	-	.␣
is001:003	is001:003	is001:003	VERSE	Jes␣1:3␣
is001:003	2	@	-	Härkä␣
is001:003	1	@	-	tuntee␣
is001:003	3	@	-	omistajansa␣
is001:003	4a	@	-	ja␣
is001:003	4b	@	-	aasi␣
is001:003	6	@	-	isäntänsä␣
is001:003	5	@	-	seimen
is001:003	-	(;)	-	;␣
is001:003	-	(@)	-	mutta␣
is001:003	7	@	-	Israel␣
is001:003	8	@	-	ei␣
is001:003	9	@	-	tunne
is001:003	-	(,)	-	,␣
is001:003	pers%10	@	-	minun␣
is001:003	10	@	-	kansani␣
is001:003	11	@	-	ei␣
is001:003	12	@	-	ymmärrä
is001:003	-	(.)	-	.␣
is001:004	is001:004	is001:004	VERSE	Jes␣1:4␣
is001:004	1	@	-	Voi␣
is001:004	3	@	-	syntistä␣
is001:004	2	@	-	sukua
is001:004	-	(,)	-	,␣
is001:004	5	@	-	raskaasti␣
is001:004	6	@	-	rikkonutta␣
is001:004	4	@	-	kansaa
is001:004	-	(,)	-	,␣
is001:004	8	@	-	pahantekijäin␣
is001:004	7	@	-	siementä
is001:004	-	(,)	-	,␣
is001:004	10	@	-	kelvottomia␣
is001:004	9	@	-	lapsia
is001:004	-	(!)	-	!␣
is001:004	11	(@)	-	He␣
is001:004	11	(@)	-	ovat␣
is001:004	11	@	-	hyljänneet␣
is001:004	13	@	-	Herran
is001:004	12	%case	GEN	
is001:004	-	(,)	-	,␣
is001:004	14	@	-	pitäneet␣
is001:004	17	@	-	Israelin␣
is001:004	16	@	-	Pyhää␣
is001:004	15	%case	PTV	
is001:004	14	@	-	pilkkanansa
is001:004	-	(,)	-	,␣
is001:004	18	(@)	-	he␣
is001:004	18	(@)	-	ovat␣
is001:004	18	@	-	kääntyneet␣
is001:004	19	@	-	pois
is001:004	-	(.)	-	.␣
is001:005	is001:005	is001:005	VERSE	Jes␣1:5␣
is001:005	2	@	-	Mihin␣
is001:005	1	%case	LOC	
is001:005	3	(@)	-	pitäisi␣
is001:005	3	(@)	-	teitä␣
is001:005	4	@	-	vielä␣
is001:005	3	@	-	lyödä
is001:005	-	(,)	-	,␣
is001:005	-	(@)	-	kun␣
is001:005	5	@	-	yhä␣
is001:005	5	@	-	jatkatte␣
is001:005	6	@	-	luopumustanne
is001:005	-	(?)	-	?␣
is001:005	7	@	-	Koko␣
is001:005	8	@	-	pää␣
is001:005	-	(@)	-	on␣
is001:005	9b	@	-	kipeä
is001:005	9a	%case	NOM	
is001:005	(10a)	-	UNTRANSLATED	
is001:005	-	(,)	-	,␣
is001:005	10b	@	-	koko␣
is001:005	11	@	-	sydän␣
is001:005	12	@	-	sairas
is001:005	-	(.)	-	.␣
is001:006	is001:006	is001:006	VERSE	Jes␣1:6␣
is001:006	1b 2	@	-	Kantapäästä␣
is001:006	1a	%case	LOC	
is001:006	4	@	-	kiireeseen␣
is001:006	3b	@	-	asti␣
is001:006	3a	%inflection	POST	
is001:006	5	@	-	ei␣
is001:006	5	@	-	ole␣
is001:006	(6)	-	UNTRANSLATED	
is001:006	7	@	-	tervettä␣
is001:006	7	@	-	paikkaa
is001:006	-	(,)	-	,␣
is001:006	-	(@)	-	ainoastaan␣
is001:006	8	@	-	haavoja
is001:006	(9a)	-	UNTRANSLATED	
is001:006	-	(,)	-	,␣
is001:006	9b	@	-	mustelmia␣
is001:006	10a	@	-	ja␣
is001:006	11	@	-	vereksiä␣
is001:006	10b	@	-	lyömiä
is001:006	-	(,)	-	,␣
is001:006	-	(@)	-	joita␣
is001:006	12	@	-	ei␣
is001:006	13	(@)	-	ole␣
is001:006	13	@	-	puserrettu
is001:006	(14a)	-	UNTRANSLATED	
is001:006	-	(,)	-	,␣
is001:006	14b	@	-	ei␣
is001:006	15	@	-	sidottu␣
is001:006	16b	@	-	eikä␣
is001:006	16a	%clitic	kA	
is001:006	18b	@	-	öljyllä␣
is001:006	18a	%case	LOC	
is001:006	17	@	-	pehmitetty
is001:006	-	(.)	-	.␣
is001:007	is001:007	is001:007	VERSE	Jes␣1:7␣
is001:007	pers%1	@	-	Teidän␣
is001:007	1	@	-	maanne␣
is001:007	-	(@)	-	on␣
is001:007	2	@	-	autiona
is001:007	-	(,)	-	,␣
is001:007	pers%3	@	-	teidän␣
is001:007	3	@	-	kaupunkinne␣
is001:007	4	(@)	-	ovat␣
is001:007	5	@	-	tulella␣
is001:007	4	@	-	poltetut
is001:007	-	(;)	-	;␣
is001:007	pers%6	@	-	teidän␣
is001:007	6	@	-	peltojanne␣
is001:007	9	@	-	syövät␣
is001:007	8	@	-	muukalaiset␣
is001:007	-	(@)	-	silmäinne␣
is001:007	7b	@	-	edessä
is001:007	7a	%case	LOC	
is001:007	(10)	-	UNTRANSLATED	
is001:007	(11a)	-	UNTRANSLATED	
is001:007	-	(;)	-	;␣
is001:007	-	(@)	-	ne␣
is001:007	-	(@)	-	ovat␣
is001:007	11b	@	-	autioina␣
is001:007	12a	@	-	niinkuin␣
is001:007	-	(@)	-	ainakin␣
is001:007	13	@	-	muukalaisten␣
is001:007	12b	@	-	hävittämät
is001:007	-	(.)	-	.␣
is001:008	is001:008	is001:008	VERSE	Jes␣1:8␣
is001:008	(1a)	-	UNTRANSLATED	
is001:008	1b	@	-	Jäljellä␣
is001:008	1b	@	-	on␣
is001:008	2	@	-	tytär␣
is001:008	3	@	-	Siion␣
is001:008	-	(@)	-	yksinänsä␣
is001:008	4a	@	-	niinkuin␣
is001:008	4b	@	-	maja␣
is001:008	5b	@	-	viinitarhassa
is001:008	5a	%case	LOC	
is001:008	-	(,)	-	,␣
is001:008	6a	@	-	niinkuin␣
is001:008	6b	@	-	lehvämaja␣
is001:008	7b	@	-	kurkkumaassa
is001:008	7a	%case	LOC	
is001:008	-	(,)	-	,␣
is001:008	8a	@	-	niinkuin␣
is001:008	9	@	-	saarrettu␣
is001:008	8b	@	-	kaupunki
is001:008	-	(.)	-	.␣
is001:009	is001:009	is001:009	VERSE	Jes␣1:9␣
is001:009	1	@	-	Ellei␣
is001:009	2	@	-	Herra␣
is001:009	3	@	-	Sebaot␣
is001:009	4	(@)	-	olisi␣
is001:009	4	@	-	jättänyt␣
is001:009	5	@	-	meistä␣
is001:009	6	@	-	jäännöstä
is001:009	-	(,)	-	,␣
is001:009	9	(@)	-	olisi␣
is001:009	9	(@)	-	meidän␣
is001:009	9	@	-	käynyt␣
is001:009	7a 7b	@	-	pian␣
is001:009	8a	@	-	kuin␣
is001:009	8b	@	-	Sodoman
is001:009	-	(,)	-	,␣
is001:009	11	(@)	-	olisimme␣
is001:009	11	@	-	tulleet␣
is001:009	10b	@	-	Gomorran␣
is001:009	10a	%case	GEN	
is001:009	11	@	-	kaltaisiksi
is001:009	-	(.)	-	.␣
is001:010	is001:010	is001:010	VERSE	Jes␣1:10␣
is001:010	1	@	-	Kuulkaa␣
is001:010	3	@	-	Herran␣
is001:010	2	@	-	sana
is001:010	-	(,)	-	,␣
is001:010	-	(@)	-	te␣
is001:010	5	@	-	Sodoman␣
is001:010	4	@	-	päämiehet
is001:010	-	(,)	-	,␣
is001:010	6	@	-	ota␣
is001:010	6	@	-	korviisi␣
is001:010	pers%8	@	-	meidän␣
is001:010	8	@	-	Jumalamme␣
is001:010	7	@	-	opetus
is001:010	-	(,)	-	,␣
is001:010	-	(@)	-	sinä␣
is001:010	10	@	-	Gomorran␣
is001:010	9	@	-	kansa
is001:010	-	(.)	-	.␣
is001:011	is001:011	is001:011	VERSE	Jes␣1:11␣
is001:011	1	@	-	Mitä␣
is001:011	-	(@)	-	ovat␣
is001:011	2	@	-	minulle␣
is001:011	pers%4	@	-	teidän␣
is001:011	3	@	-	paljot␣
is001:011	4	@	-	teurasuhrinne
is001:011	-	(?)	-	?␣
is001:011	5	@	-	sanoo␣
is001:011	6	@	-	Herra
is001:011	-	(.)	-	.␣
is001:011	7	(@)	-	Minä␣
