lm001:001	lm001:001	lm001:001	VERSE	Val␣1:1␣
lm001:001	1	@	-	Kuinka␣
lm001:001	2	@	-	istuukaan␣
lm001:001	3	@	-	yksinänsä␣
lm001:001	-	(@)	-	tuo␣
lm001:001	5 6	@	-	väkirikas␣
lm001:001	(4a) 4b	@	-	kaupunki
lm001:001	-	(!)	-	!␣
lm001:001	-	(@)	-	Kuinka␣
lm001:001	7	(@)	-	onkaan␣
lm001:001	8b	@	-	lesken␣
lm001:001	8a	@	-	kaltaiseksi␣
lm001:001	7	@	-	tullut␣
lm001:001	-	(@)	-	se
lm001:001	-	(,)	-	,␣
lm001:001	-	(@)	-	joka␣
lm001:001	-	(@)	-	oli␣
lm001:001	9	@	-	suuri␣
lm001:001	10b	@	-	kansakuntien␣
lm001:001	10a	@	-	joukossa
lm001:001	-	(!)	-	!␣
lm001:001	11	@	-	Ruhtinatar␣
lm001:001	12b	@	-	maakuntien␣
lm001:001	12a	@	-	joukossa␣
lm001:001	13	(@)	-	on␣
lm001:001	13	@	-	tullut␣
lm001:001	14b	@	-	työveron␣
lm001:001	14a	@	-	alaiseksi
lm001:001	-	(.)	-	.␣
lm001:002	lm001:002	lm001:002	VERSE	Val␣1:2␣
lm001:002	2	(@)	-	Se␣
lm001:002	1	%case	NOM	
lm001:002	-	(@)	-	katkerasti␣
lm001:002	2	@	-	itkee␣
lm001:002	3b	@	-	yössä
lm001:002	3a	%case	LOC	
lm001:002	-	(,)	-	,␣
lm001:002	4a	@	-	ja␣
lm001:002	pers%4b	@	-	sillä␣
lm001:002	-	(@)	-	on␣
lm001:002	4b	@	-	kyyneleet␣
lm001:002	6	@	-	poskillansa
lm001:002	5	%case	LOC	
lm001:002	-	(.)	-	.␣
lm001:002	7	@	-	Ei␣
lm001:002	7	@	-	ole␣
lm001:002	8	@	-	sillä␣
lm001:002	9	@	-	lohduttajaa␣
lm001:002	10b	@	-	kaikkien␣
lm001:002	pers%11	@	-	sen␣
lm001:002	11	@	-	rakastajain␣
lm001:002	10a	@	-	seassa
lm001:002	-	(.)	-	.␣
lm001:002	14	@	-	Uskottomia␣
lm001:002	14	(@)	-	ovat␣
lm001:002	15	@	-	sille␣
lm001:002	14	@	-	olleet␣
lm001:002	12	@	-	kaikki␣
lm001:002	pers%13	@	-	sen␣
lm001:002	13	@	-	ystävät
