ob000:001	ob000:001	ob000:001	VERSE	Ob␣0:1␣
ob000:001	2	@	-	Obadjan␣
ob000:001	1	@	-	näky
ob000:001	-	(.)	-	.␣
ob000:001	5	@	-	Herra
ob000:001	-	(,)	-	,␣
ob000:001	6	@	-	Herra␣
ob000:001	4	@	-	sanoo␣
ob000:001	7b	@	-	Edomista␣
ob000:001	7a	%case	LOC	
ob000:001	3	@	-	näin
ob000:001	-	(:)	-	:␣
ob000:001	9	(@)	-	Me␣
ob000:001	9	(@)	-	olemme␣
ob000:001	9	@	-	kuulleet␣
ob000:001	8	@	-	sanoman␣
ob000:001	11	@	-	Herralta
ob000:001	10a 10b	%case	LOC	
ob000:001	-	(,)	-	,␣
ob000:001	12a	@	-	ja␣
ob000:001	12b	@	-	sanansaattaja␣
ob000:001	14	(@)	-	on␣
ob000:001	14	@	-	lähetetty␣
ob000:001	13b	@	-	kansakuntiin
ob000:001	13a	%case	LOC	
ob000:001	-	(:)	-	:␣
ob000:001	-	(@)	-	"
ob000:001	15	@	-	Nouskaa
ob000:001	(16a)	-	UNTRANSLATED	
ob000:001	-	(,)	-	,␣
ob000:001	16b	@	-	nouskaamme␣
ob000:001	18b	@	-	sotaan␣
ob000:001	18a	%case	LOC	
ob000:001	pers%17	@	-	sitä␣
ob000:001	17	@	-	vastaan
ob000:001	-	(!)	-	!
ob000:001	-	(@)	-	"␣
ob000:002	ob000:002	ob000:002	VERSE	Ob␣0:2␣
ob000:002	1	@	-	Katso
ob000:002	-	(,)	-	,␣
ob000:002	2	@	-	vähäiseksi␣
ob000:002	3	(@)	-	minä␣
ob000:002	3	@	-	teen␣
ob000:002	pers%3	@	-	sinut␣
ob000:002	4b	@	-	kansojen␣
ob000:002	4a	@	-	seassa
ob000:002	-	(,)	-	,␣
ob000:002	7	@	-	ylen␣
ob000:002	5	@	-	halveksittu␣
ob000:002	-	(@)	-	olet␣
ob000:002	6	@	-	sinä␣
ob000:002	-	(@)	-	oleva
ob000:002	-	(.)	-	.␣
ob000:003	ob000:003	ob000:003	VERSE	Ob␣0:3␣
ob000:003	pers%2	@	-	Sinun␣
ob000:003	2	@	-	sydämesi␣
ob000:003	1	@	-	ylpeys␣
ob000:003	3	(@)	-	on␣
ob000:003	3	@	-	pettänyt␣
ob000:003	pers%3	@	-	sinut
ob000:003	-	(,)	-	,␣
ob000:003	-	(@)	-	joka␣
ob000:003	4	@	-	asut␣
ob000:003	5b 6	@	-	kallionrotkoissa
ob000:003	5a	%case	LOC	
ob000:003	-	(,)	-	,␣
ob000:003	8	@	-	istut␣
ob000:003	7	@	-	korkealla␣
ob000:003	-	(@)	-	ja␣
ob000:003	9	@	-	sanot␣
ob000:003	10b	@	-	sydämessäsi
ob000:003	10a	%case	LOC	
ob000:003	-	(:)	-	:␣
ob000:003	-	(@)	-	"
ob000:003	11	@	-	Kuka␣
ob000:003	12	(@)	-	voi␣
ob000:003	12	@	-	syöstä␣
ob000:003	pers%12	@	-	minut␣
ob000:003	13	@	-	maahan
ob000:003	-	(?)	-	?
ob000:003	-	(@)	-	"␣
ob000:004	ob000:004	ob000:004	VERSE	Ob␣0:4␣
ob000:004	1	@	-	Vaikka␣
ob000:004	2	@	-	tekisit␣
ob000:004	8	@	-	pesäsi␣
ob000:004	2	@	-	korkealle␣
ob000:004	3a	@	-	niinkuin␣
ob000:004	3b	@	-	kotka␣
ob000:004	4a	@	-	ja␣
ob000:004	4b	@	-	vaikka␣
ob000:004	-	(@)	-	sen␣
ob000:004	-	(@)	-	sija␣
ob000:004	7	@	-	olisi␣
ob000:004	6	@	-	tähtien␣
ob000:004	5	@	-	välissä
ob000:004	-	(,)	-	,␣
ob000:004	10	(@)	-	minä␣
ob000:004	10	@	-	syöksen␣
ob000:004	pers%10	@	-	sinut␣
ob000:004	9b	@	-	sieltä␣
ob000:004	9a	%case	LOC	
ob000:004	10	@	-	alas
ob000:004	-	(,)	-	,␣
ob000:004	11	@	-	sanoo␣
ob000:004	12	@	-	Herra
ob000:004	-	(.)	-	.␣
ob000:005	ob000:005	ob000:005	VERSE	Ob␣0:5␣
ob000:005	1	@	-	Jos␣
ob000:005	2	@	-	varkaat␣
ob000:005	3	@	-	tulisivat␣
ob000:005	4	@	-	kimppuusi
ob000:005	-	(,)	-	,␣
ob000:005	5	@	-	jos␣
ob000:005	7	@	-	yölliset␣
ob000:005	6	@	-	rosvot
ob000:005	-	(,)	-	,␣
ob000:005	8	@	-	kuinka␣
ob000:005	9	(@)	-	voisit␣
ob000:005	9	(@)	-	tulla␣
ob000:005	-	(@)	-	niin␣
ob000:005	9	@	-	hävitetyksi
ob000:005	-	(:)	-	:␣
ob000:005	10a 10b	@	-	eivätkö␣
ob000:005	11	(@)	-	he␣
ob000:005	11	@	-	varastaisi␣
ob000:005	-	(@)	-	vain␣
ob000:005	-	(@)	-	sen
ob000:005	-	(,)	-	,␣
ob000:005	-	(@)	-	mitä␣
ob000:005	12	@	-	tarvitsevat
ob000:005	-	(?)	-	?␣
ob000:005	13	@	-	Jos␣
ob000:005	14	@	-	viininkorjaajat␣
ob000:005	15	@	-	tulisivat␣
ob000:005	16	@	-	luoksesi
ob000:005	-	(,)	-	,␣
ob000:005	17a 17b	@	-	eivätkö␣
ob000:005	18	(@)	-	he␣
ob000:005	18	@	-	jättäisi␣
ob000:005	19	@	-	jälkikorjuuta
ob000:005	-	(?)	-	?␣
ob000:006	ob000:006	ob000:006	VERSE	Ob␣0:6␣
ob000:006	-	(@)	-	Mutta␣
ob000:006	1	@	-	kuinka␣
