na001:001	na001:001	na001:001	VERSE	Naah␣1:1␣
na001:001	1	@	-	Ennustus␣
na001:001	2	@	-	Niinivestä
na001:001	-	(.)	-	.␣
na001:001	(6a) 6b	@	-	Elkosilaisen␣
na001:001	5	@	-	Naahumin␣
na001:001	4	@	-	näyn␣
na001:001	3	@	-	kirja
na001:001	-	(.)	-	.␣
na001:002	na001:002	na001:002	VERSE	Naah␣1:2␣
na001:002	2	@	-	Kiivas␣
na001:002	1	@	-	Jumala␣
na001:002	3a	@	-	ja␣
na001:002	3b	@	-	kostaja␣
na001:002	-	(@)	-	on␣
na001:002	4	@	-	Herra
na001:002	-	(.)	-	.␣
na001:002	6	@	-	Herra␣
na001:002	-	(@)	-	on␣
na001:002	5	@	-	kostaja␣
na001:002	7a	@	-	ja␣
na001:002	7b 8	@	-	vihastuvainen
na001:002	-	(.)	-	.␣
na001:002	10	@	-	Herra␣
na001:002	9	@	-	kostaa␣
na001:002	11b	@	-	vihollisilleen␣
na001:002	11a	%case	LOC	
na001:002	12a	@	-	ja␣
na001:002	12b	@	-	pitää␣
na001:002	12b	@	-	vihaa␣
na001:002	(13)	-	UNTRANSLATED	
na001:002	14b	@	-	vihamiehillensä
na001:002	14a	%case	LOC	
na001:002	-	(.)	-	.␣
na001:003	na001:003	na001:003	VERSE	Naah␣1:3␣
na001:003	1	@	-	Herra␣
na001:003	-	(@)	-	on␣
na001:003	2 3	@	-	pitkämielinen␣
na001:003	5a	@	-	ja␣
na001:003	5b	@	-	suuri␣
na001:003	6	@	-	voimassansa
na001:003	-	(,)	-	,␣
na001:003	7a	@	-	mutta␣
na001:003	10	@	-	Herra␣
na001:003	8	@	-	ei␣
na001:003	9	@	-	jätä␣
na001:003	9	@	-	rankaisematta
na001:003	7b	%case	ABE	
na001:003	-	(.)	-	.␣
na001:003	pers%13	@	-	Hänen␣
na001:003	13	@	-	tiensä␣
na001:003	-	(@)	-	käy␣
na001:003	11b	@	-	tuulispäässä␣
na001:003	11a	%case	LOC	
na001:003	12a	@	-	ja␣
na001:003	12c	@	-	myrskyssä
na001:003	12b	%case	LOC	
na001:003	-	(,)	-	,␣
na001:003	14a	@	-	ja␣
na001:003	14b	@	-	pilvi␣
na001:003	-	(@)	-	on␣
na001:003	pers%16	@	-	hänen␣
na001:003	16	@	-	jalkojensa␣
na001:003	15	@	-	tomu
na001:003	-	(.)	-	.␣
na001:004	na001:004	na001:004	VERSE	Naah␣1:4␣
na001:004	1	(@)	-	Hän␣
na001:004	1	@	-	nuhtelee␣
na001:004	2b	@	-	merta␣
na001:004	2a	%case	PTV	
na001:004	3a	@	-	ja␣
na001:004	3b	@	-	kuivaa␣
na001:004	pers%3b	@	-	sen
na001:004	-	(,)	-	,␣
na001:004	4a	@	-	ja␣
na001:004	4b	@	-	kaikki␣
na001:004	(5a) 5b	@	-	virrat␣
na001:004	6	(@)	-	hän␣
na001:004	6	@	-	ehdyttää
na001:004	-	(.)	-	.␣
na001:004	8	@	-	Baasan␣
na001:004	9a	@	-	ja␣
na001:004	9b	@	-	Karmel␣
na001:004	7	@	-	kuihtuvat
na001:004	-	(,)	-	,␣
na001:004	10a	@	-	ja␣
na001:004	11	@	-	Libanonin␣
na001:004	10b	@	-	kukoistus␣
na001:004	12	@	-	kuihtuu
na001:004	-	(.)	-	.␣
na001:005	na001:005	na001:005	VERSE	Naah␣1:5␣
na001:005	1	@	-	Vuoret␣
na001:005	2	@	-	järkkyvät␣
na001:005	pers%3	@	-	hänen␣
na001:005	3	@	-	edessänsä␣
na001:005	4a	@	-	ja␣
na001:005	(4b) 4c	@	-	kukkulat␣
na001:005	5	@	-	sulavat
na001:005	-	(.)	-	.␣
na001:005	6a	@	-	Hänen␣
na001:005	8b	@	-	kasvojensa␣
na001:005	8a	@	-	voimasta␣
na001:005	6b	@	-	kohoaa␣
na001:005	(7a) 7b	@	-	maa
na001:005	(9a)	-	UNTRANSLATED	
na001:005	-	(,)	-	,␣
na001:005	9b	@	-	maanpiiri␣
na001:005	10a	@	-	ja␣
na001:005	10b	@	-	kaikki␣
na001:005	12	@	-	sen␣
na001:005	11	@	-	asuvaiset
na001:005	-	(.)	-	.␣
na001:006	na001:006	na001:006	VERSE	Naah␣1:6␣
na001:006	3	@	-	Kuka␣
na001:006	4	@	-	seisoo␣
na001:006	pers%2	@	-	hänen␣
na001:006	2	@	-	tuimuutensa␣
na001:006	1b	@	-	edessä
na001:006	1a	%case	LOC	
na001:006	-	(,)	-	,␣
na001:006	5a	@	-	ja␣
na001:006	5b	@	-	kuka␣
na001:006	6	@	-	kestää␣
na001:006	pers%8	@	-	hänen␣
na001:006	8	@	-	vihansa␣
na001:006	7b	@	-	hehkua
na001:006	7a	%case	PTV	
na001:006	-	(?)	-	?␣
na001:006	pers%9	@	-	Hänen␣
na001:006	9	@	-	vihastuksensa␣
na001:006	10	@	-	vuotaa␣
na001:006	11a	@	-	niinkuin␣
na001:006	11b	@	-	tuli
na001:006	-	(,)	-	,␣
na001:006	12a	@	-	ja␣
na001:006	(12b) 12c	@	-	kalliot␣
na001:006	13	@	-	halkeilevat␣
na001:006	pers%14	@	-	hänen␣
na001:006	14	@	-	edessänsä
na001:006	-	(.)	-	.␣
na001:007	na001:007	na001:007	VERSE	Naah␣1:7␣
na001:007	1	@	-	Hyvä␣
na001:007	-	(@)	-	on␣
na001:007	2	@	-	Herra
na001:007	-	(,)	-	,␣
na001:007	3b	@	-	turva␣
na001:007	3a	%case	NOM	
na001:007	5	@	-	ahdistuksen␣
na001:007	4b	@	-	päivänä
na001:007	4a	%case	ESS	
na001:007	-	(,)	-	,␣
na001:007	6a	@	-	ja␣
na001:007	6b	(@)	-	hän␣
na001:007	6b	@	-	tuntee␣
na001:007	-	(@)	-	ne
na001:007	-	(,)	-	,␣
na001:007	-	(@)	-	jotka␣
na001:007	8	@	-	häneen␣
na001:007	7	@	-	luottavat
na001:007	-	(.)	-	.␣
na001:008	na001:008	na001:008	VERSE	Naah␣1:8␣
na001:008	1a	@	-	Mutta␣
na001:008	2	@	-	paisuvalla␣
na001:008	1c	@	-	tulvalla␣
na001:008	1b	%case	LOC	
na001:008	4	(@)	-	hän␣
na001:008	4	@	-	tekee␣
na001:008	3	@	-	lopun␣
na001:008	pers%5	@	-	sen␣
na001:008	5	@	-	paikasta
na001:008	-	(;)	-	;␣
na001:008	6a	@	-	ja␣
na001:008	6b	@	-	vihamiehiänsä␣
na001:008	7	(@)	-	hän␣
na001:008	7	@	-	ahdistaa␣
na001:008	8	@	-	pimeydellä
na001:008	-	(.)	-	.␣
na001:009	na001:009	na001:009	VERSE	Naah␣1:9␣
na001:009	1	@	-	Mitä␣
na001:009	2	(@)	-	teillä␣
na001:009	2	@	-	on␣
na001:009	2	@	-	mielessä␣
na001:009	4	@	-	Herraa␣
na001:009	3	@	-	vastaan
na001:009	-	(?)	-	?␣
na001:009	5	@	-	Lopun␣
na001:009	6	@	-	hän␣
na001:009	7	@	-	tekee
na001:009	-	(:)	-	:␣
na001:009	8	@	-	ei␣
na001:009	9	@	-	nouse␣
na001:009	11	@	-	ahdistus␣
na001:009	10	@	-	kahta␣
na001:009	10	@	-	kertaa
na001:009	-	(.)	-	.␣
na001:010	na001:010	na001:010	VERSE	Naah␣1:10␣
na001:010	1	@	-	Sillä␣
na001:010	2	@	-	vaikka␣
na001:010	4	(@)	-	he␣
na001:010	4	(@)	-	olisivat␣
na001:010	4	@	-	yhteenkietoutuneita␣
na001:010	-	(@)	-	kuin␣
na001:010	3	@	-	orjantappurat␣
na001:010	5a	@	-	ja␣
na001:010	-	(@)	-	yhtä␣
na001:010	6	@	-	märkiä␣
na001:010	6	@	-	viinistä␣
na001:010	5b	@	-	kuin␣
na001:010	-	(@)	-	itse␣
na001:010	pers%5c	@	-	heidän␣
na001:010	5c	@	-	viininsä
na001:010	-	(,)	-	,␣
na001:010	pers%7	@	-	heidät␣
na001:010	7	@	-	syö␣
na001:010	-	(@)	-	tuli␣
na001:010	8a	@	-	niinkuin␣
na001:010	9	@	-	kuivat␣
na001:010	8b	@	-	oljet␣
na001:010	-	(-)	-	-␣
na001:010	10	@	-	kokonansa
na001:010	-	(.)	-	.␣
na001:011	na001:011	na001:011	VERSE	Naah␣1:11␣
na001:011	1	@	-	Sinusta␣
na001:011	2	(@)	-	on␣
na001:011	2	@	-	lähtenyt␣
na001:011	-	(@)	-	se
na001:011	-	(,)	-	,␣
na001:011	-	(@)	-	jolla␣
na001:011	3	(@)	-	on␣
na001:011	6	@	-	paha␣
na001:011	3	@	-	mielessä␣
na001:011	5	@	-	Herraa␣
na001:011	4	@	-	vastaan
na001:011	-	(,)	-	,␣
na001:011	8	@	-	turmion␣
na001:011	7	@	-	hankitsija
na001:011	-	(.)	-	.␣
na001:012	na001:012	na001:012	VERSE	Naah␣1:12␣
na001:012	1	@	-	Näin␣
na001:012	2	@	-	sanoo␣
na001:012	3	@	-	Herra
na001:012	-	(:)	-	:␣
na001:012	-	(@)	-	Olkoot␣
na001:012	-	(@)	-	he␣
na001:012	4	@	-	kuinka␣
na001:012	5	@	-	täysissä␣
na001:012	5	@	-	voimissa
na001:012	(6a)	-	UNTRANSLATED	
na001:012	-	(,)	-	,␣
na001:012	-	(@)	-	olkoon␣
na001:012	-	(@)	-	heitä␣
na001:012	6b	@	-	miten␣
na001:012	7	@	-	paljon␣
na001:012	6b	@	-	tahansa
na001:012	(8a) (8b)	-	UNTRANSLATED	
na001:012	-	(,)	-	,␣
na001:012	9	(@)	-	heidät␣
na001:012	9	@	-	tuhotaan
na001:012	(10a)	-	UNTRANSLATED	
na001:012	-	(;)	-	;␣
na001:012	10b	@	-	mennyttä␣
na001:012	10b	(@)	-	he␣
na001:012	10b	(@)	-	ovat
na001:012	-	(.)	-	.␣
na001:012	11a	@	-	Mutta␣
na001:012	-	(@)	-	jos␣
na001:012	11b	(@)	-	minä␣
na001:012	11b	(@)	-	olenkin␣
na001:012	11b	@	-	vaivannut␣
na001:012	pers%11b	@	-	sinua␣
na001:012	12	@	-	en␣
na001:012	13	(@)	-	minä␣
na001:012	pers%13	@	-	sinua␣
na001:012	14	@	-	enää␣
na001:012	13	@	-	vaivaa
na001:012	-	(.)	-	.␣
na001:013	na001:013	na001:013	VERSE	Naah␣1:13␣
na001:013	(1a)	-	UNTRANSLATED	
na001:013	1b	@	-	Nyt␣
na001:013	2	(@)	-	minä␣
na001:013	2	@	-	särjen␣
na001:013	pers%3	@	-	hänen␣
na001:013	3	@	-	ikeensä␣
na001:013	4b	@	-	painamasta␣
na001:013	4a	%case	LOC	
na001:013	pers%4b	@	-	sinua␣
na001:013	5a	@	-	ja␣
na001:013	6	@	-	katkaisen␣
na001:013	pers%5b	@	-	sinun␣
na001:013	5b	@	-	kahleesi
na001:013	-	(.)	-	.␣
na001:014	na001:014	na001:014	VERSE	Naah␣1:14␣
na001:014	1a	@	-	Mutta␣
na001:014	2	@	-	sinusta␣
na001:014	1b	(@)	-	on␣
na001:014	3	@	-	Herra␣
na001:014	1b	@	-	antanut␣
na001:014	1b	@	-	käskyn
na001:014	-	(:)	-	:␣
na001:014	4	@	-	Ei␣
na001:014	5	@	-	kasva␣
na001:014	7	@	-	enää␣
na001:014	pers%6b	@	-	sinun␣
na001:014	6b	@	-	nimellesi␣
na001:014	6a	%case	LOC	
na001:014	5	@	-	siementä
na001:014	-	(.)	-	.␣
na001:014	10	(@)	-	Minä␣
na001:014	10	@	-	hävitän␣
na001:014	pers%9	@	-	sinun␣
na001:014	9	@	-	jumalasi␣
na001:014	8b	@	-	temppelistä␣
na001:014	8a	%case	LOC	
na001:014	11	@	-	veistetyt␣
na001:014	12a	@	-	ja␣
na001:014	12b	@	-	valetut␣
na001:014	12b	@	-	jumalankuvat
na001:014	-	(.)	-	.␣
na001:014	13	(@)	-	Minä␣
na001:014	13	@	-	teen␣
na001:014	pers%14	@	-	sinulle␣
na001:014	14	@	-	haudan
na001:014	-	(,)	-	,␣
na001:014	15	@	-	sillä␣
na001:014	16	(@)	-	sinä␣
na001:014	16	(@)	-	olet␣
na001:014	16	@	-	rauennut␣
na001:014	16	@	-	tyhjiin
na001:014	-	(.)	-	.␣
na001:015	na002:001	na001:015	VERSE.SHIFT	Naah␣1:15␣
na001:015	1	@	-	Katso
na001:015	-	(,)	-	,␣
na001:015	-	(@)	-	jo␣
na001:015	-	(@)	-	ovat␣
na001:015	(3a) 3b	@	-	vuorilla␣
na001:015	2	%case	LOC	
na001:015	5	@	-	ilosanoman␣
na001:015	5	@	-	tuojan␣
na001:015	4	@	-	jalat
na001:015	-	(,)	-	,␣
na001:015	-	(@)	-	hänen
na001:015	-	(,)	-	,␣
na001:015	-	(@)	-	joka␣
na001:015	6	@	-	julistaa␣
na001:015	7	@	-	rauhaa
na001:015	-	(:)	-	:␣
na001:015	-	(@)	-	"
na001:015	8	@	-	Juhli
na001:015	-	(,)	-	,␣
na001:015	9	@	-	Juuda
na001:015	-	(,)	-	,␣
na001:015	10	@	-	juhliasi
na001:015	-	(,)	-	,␣
na001:015	11	@	-	maksa␣
na001:015	12	@	-	lupauksesi
na001:015	-	(;)	-	;␣
na001:015	13	@	-	sillä␣
na001:015	14	@	-	ei␣
na001:015	(15)	-	UNTRANSLATED	
na001:015	18b	@	-	tule␣
na001:015	18a	%case	?	
na001:015	16	@	-	enää␣
na001:015	pers%19	@	-	sinun␣
na001:015	19	@	-	kimppuusi␣
na001:015	20	@	-	turmiontuoja
na001:015	-	(,)	-	,␣
na001:015	22	(@)	-	hän␣
na001:015	22	(@)	-	on␣
na001:015	22	@	-	hävitetty␣
na001:015	21	@	-	kokonansa
na001:015	-	(@)	-	"
na001:015	-	(.)	-	.␣
na002:001	na002:002	na002:001	VERSE.SHIFT	Naah␣2:1␣
na002:001	2	@	-	Hajottaja␣
na002:001	1	@	-	hyökkää␣
na002:001	pers%4	@	-	sinua␣
na002:001	4	@	-	vastaan
na002:001	3	%case	LOC	
na002:001	-	(!)	-	!␣
na002:001	5	@	-	Vartioitse␣
na002:001	6	@	-	varustuksia
na002:001	-	(,)	-	,␣
na002:001	7	@	-	tähystä␣
na002:001	8	@	-	tietä
na002:001	-	(,)	-	,␣
na002:001	9	@	-	vahvista␣
na002:001	10	@	-	vyötäiset
na002:001	-	(,)	-	,␣
na002:001	11	@	-	kokoa␣
na002:001	13	@	-	kaikki␣
na002:001	12	@	-	voimasi
na002:001	-	(.)	-	.␣
na002:002	na002:003	na002:002	VERSE.SHIFT	Naah␣2:2␣
na002:002	1	@	-	Sillä␣
na002:002	3	@	-	Herra␣
na002:002	2	@	-	saattaa␣
na002:002	2	@	-	entiselleen␣
na002:002	6	@	-	Jaakobin␣
na002:002	5	@	-	korkeuden␣
na002:002	4	%case	GEN	
na002:002	7a	@	-	niinkuin␣
na002:002	-	(@)	-	myös␣
na002:002	8	@	-	Israelin␣
na002:002	7b	@	-	korkeuden
na002:002	-	(,)	-	,␣
na002:002	9	@	-	sillä␣
na002:002	11	@	-	ryöstäjät␣
na002:002	10	(@)	-	ovat␣
na002:002	pers%10	@	-	niitä␣
na002:002	10	@	-	ryöstäneet␣
na002:002	12a	@	-	ja␣
na002:002	13	@	-	turmelleet␣
na002:002	pers%12b	@	-	niiden␣
na002:002	12b	@	-	viiniköynnökset
na002:002	-	(.)	-	.␣
na002:003	na002:004	na002:003	VERSE.SHIFT	Naah␣2:3␣
na002:003	pers%2	@	-	Hänen␣
na002:003	2	@	-	sankariensa␣
na002:003	1	@	-	kilvet␣
na002:003	3	(@)	-	ovat␣
na002:003	3	@	-	punaiset
na002:003	-	(,)	-	,␣
na002:003	4 5	@	-	urhot␣
na002:003	6	@	-	purppurapukuiset
na002:003	-	(,)	-	,␣
na002:003	(9a) 9b	@	-	sotavaunut␣
na002:003	-	(@)	-	säihkyvät␣
na002:003	8	@	-	teräksen␣
na002:003	7b	@	-	tulta␣
na002:003	7a	%case	PTV	
na002:003	pers%11	@	-	hänen␣
na002:003	10b 11	@	-	varustautumispäivänänsä
na002:003	10a	%case	ESS	
na002:003	-	(,)	-	,␣
na002:003	12a	@	-	ja␣
na002:003	(12b) 12c	@	-	kypressikeihäät␣
na002:003	13	@	-	heiluvat
na002:003	-	(.)	-	.␣
na002:004	na002:005	na002:004	VERSE.SHIFT	Naah␣2:4␣
na002:004	(3a) 3b	@	-	Sotavaunut␣
na002:004	2	@	-	karkaavat␣
na002:004	2	@	-	hurjasti␣
na002:004	1b	@	-	kaduilla
na002:004	1a	%case	LOC	
na002:004	-	(,)	-	,␣
na002:004	4	@	-	syöksyvät␣
na002:004	4	@	-	sekaisin␣
na002:004	5b	@	-	toreilla
na002:004	5a	%case	LOC	
na002:004	-	(;)	-	;␣
na002:004	6	(@)	-	ne␣
na002:004	6	(@)	-	ovat␣
na002:004	6	@	-	nähdä␣
na002:004	7a	@	-	kuin␣
na002:004	7b	@	-	tulenliekit
na002:004	-	(,)	-	,␣
na002:004	9	(@)	-	ne␣
na002:004	9	@	-	kiitävät␣
na002:004	8a	@	-	kuin␣
na002:004	8b	@	-	salamat
na002:004	-	(.)	-	.␣
na002:005	na002:006	na002:005	VERSE.SHIFT	Naah␣2:5␣
na002:005	1	(@)	-	Hän␣
na002:005	1	@	-	muistaa␣
na002:005	2	@	-	ylhäisensä
na002:005	-	(.)	-	.␣
na002:005	pers%5b	@	-	Ne␣
na002:005	5b	@	-	tulevat␣
na002:005	5a	%case	?	
na002:005	-	(@)	-	niin
na002:005	-	(,)	-	,␣
na002:005	-	(@)	-	että␣
na002:005	3	@	-	kaatuilevat
na002:005	-	(,)	-	,␣
na002:005	6	@	-	kiiruhtavat␣
na002:005	pers%7	@	-	sen␣
na002:005	7	@	-	muurille
