mt001:001	mt001:001	mt001:001	VERSE	Mt␣1:1␣
mt001:001	3	@	-	Jeesuksen␣
mt001:001	4	@	-	Kristuksen
mt001:001	-	(,)	-	,␣
mt001:001	6	@	-	Daavidin␣
mt001:001	5	@	-	pojan
mt001:001	-	(,)	-	,␣
mt001:001	8a	@	-	Aabrahamin␣
mt001:001	7	@	-	pojan
mt001:001	-	(,)	-	,␣
mt001:001	1 2	@	-	syntykirja
mt001:001	8b	.	-	.␣
mt001:002	mt001:002	mt001:002	VERSE	Mt␣1:2␣
mt001:002	1	@	-	Aabrahamille␣
mt001:002	2	@	-	syntyi␣
mt001:002	(3) 4a	@	-	Iisak
mt001:002	4b	,	-	,␣
mt001:002	5	@	-	Iisakille␣
mt001:002	(6)	-	UNTRANSLATED	
mt001:002	7	@	-	syntyi␣
mt001:002	(8) 9a	@	-	Jaakob
mt001:002	9b	,	-	,␣
mt001:002	10	@	-	Jaakobille␣
mt001:002	(11)	-	UNTRANSLATED	
mt001:002	12	@	-	syntyi␣
mt001:002	(13) 14	@	-	Juuda␣
mt001:002	15	@	-	ja␣
mt001:002	18a	@	-	tämän␣
mt001:002	(16) 17	@	-	veljet
mt001:002	18b	;	-	;␣
mt001:003	mt001:003	mt001:003	VERSE	Mt␣1:3␣
mt001:003	1	@	-	Juudalle␣
mt001:003	(2)	-	UNTRANSLATED	
mt001:003	3	@	-	syntyi␣
mt001:003	(4) 5	@	-	Faares␣
mt001:003	6	@	-	ja␣
mt001:003	(7) 8	@	-	Sera␣
mt001:003	(10) 11a	@	-	Taamarista
mt001:003	9	%case	LOC	
mt001:003	11b	,	-	,␣
mt001:003	12	@	-	Faareelle␣
mt001:003	(13)	-	UNTRANSLATED	
mt001:003	14	@	-	syntyi␣
mt001:003	(15) 16a	@	-	Esrom
mt001:003	16b	,	-	,␣
mt001:003	17	@	-	Esromille␣
mt001:003	(18)	-	UNTRANSLATED	
mt001:003	19	@	-	syntyi␣
mt001:003	(20) 21a	@	-	Aram
mt001:003	21b	;	-	;␣
mt001:004	mt001:004	mt001:004	VERSE	Mt␣1:4␣
mt001:004	1	@	-	Aramille␣
mt001:004	(2)	-	UNTRANSLATED	
mt001:004	3	@	-	syntyi␣
mt001:004	(4) 5a	@	-	Aminadab
mt001:004	5b	,	-	,␣
mt001:004	6	@	-	Aminadabille␣
mt001:004	(7)	-	UNTRANSLATED	
mt001:004	8	@	-	syntyi␣
mt001:004	10a (9)	@	-	Nahasson
mt001:004	10b	,	-	,␣
mt001:004	11	@	-	Nahassonille␣
mt001:004	(12)	-	UNTRANSLATED	
mt001:004	13	@	-	syntyi␣
mt001:004	(14) 15a	@	-	Salmon
mt001:004	15b	;	-	;␣
mt001:005	mt001:005	mt001:005	VERSE	Mt␣1:5␣
mt001:005	1	@	-	Salmonille␣
mt001:005	(2)	-	UNTRANSLATED	
mt001:005	3	@	-	syntyi␣
mt001:005	(4) 5	@	-	Booas␣
mt001:005	(7) 8a	@	-	Raahabista
mt001:005	6	%case	LOC	
mt001:005	8b	,	-	,␣
mt001:005	9	@	-	Booaalle␣
mt001:005	(10)	-	UNTRANSLATED	
mt001:005	11	@	-	syntyi␣
mt001:005	(12) 13	@	-	Oobed␣
mt001:005	(15) 16a	@	-	Ruutista
mt001:005	14	%case	LOC	
mt001:005	16b	,	-	,␣
mt001:005	17	@	-	Oobedille␣
mt001:005	(18)	-	UNTRANSLATED	
mt001:005	19	@	-	syntyi␣
mt001:005	(20) 21a	@	-	Iisai
mt001:005	21b	;	-	;␣
mt001:006	mt001:006	mt001:006	VERSE	Mt␣1:6␣
mt001:006	1	@	-	Iisaille␣
mt001:006	(2)	-	UNTRANSLATED	
mt001:006	3	@	-	syntyi␣
mt001:006	(4) 5	@	-	Daavid
mt001:006	-	(,)	-	,␣
mt001:006	(6) 7a	@	-	kuningas
mt001:006	7b	.	-	.␣
mt001:006	8	@	-	Daavidille␣
mt001:006	(9)	-	UNTRANSLATED	
mt001:006	10	@	-	syntyi␣
mt001:006	(11) 12	@	-	Salomo␣
mt001:006	(15) 16a	@	-	Uurian␣
mt001:006	pro%14	@	-	vaimosta
mt001:006	13	%case	LOC	
mt001:006	16b	;	-	;␣
mt001:007	mt001:007	mt001:007	VERSE	Mt␣1:7␣
mt001:007	1	@	-	Salomolle␣
mt001:007	(2)	-	UNTRANSLATED	
mt001:007	3	@	-	syntyi␣
mt001:007	(4) 5a	@	-	Rehabeam
mt001:007	5b	,	-	,␣
mt001:007	6	@	-	Rehabeamille␣
mt001:007	(7)	-	UNTRANSLATED	
mt001:007	8	@	-	syntyi␣
mt001:007	10a (9)	@	-	Abia
mt001:007	10b	,	-	,␣
mt001:007	11	@	-	Abialle␣
mt001:007	(12)	-	UNTRANSLATED	
mt001:007	13	@	-	syntyi␣
mt001:007	(14) 15a	@	-	Aasa
mt001:007	15b	;	-	;␣
mt001:008	mt001:008	mt001:008	VERSE	Mt␣1:8␣
mt001:008	1	@	-	Aasalle␣
mt001:008	3	@	-	syntyi␣
mt001:008	(2)	-	UNTRANSLATED	
mt001:008	(4) 5a	@	-	Joosafat
mt001:008	5b	,	-	,␣
mt001:008	6	@	-	Joosafatille␣
mt001:008	(7)	-	UNTRANSLATED	
mt001:008	8	@	-	syntyi␣
mt001:008	10a (9)	@	-	Jooram
mt001:008	10b	,	-	,␣
mt001:008	11	@	-	Jooramille␣
