lk001:001	lk001:001	lk001:001	VERSE	Lk␣1:1␣
lk001:001	1	@	-	Koska␣
lk001:001	2	@	-	monet␣
lk001:001	3	(@)	-	ovat␣
lk001:001	3	@	-	ryhtyneet␣
lk001:001	4	@	-	tekemään␣
lk001:001	5	@	-	kertomusta␣
lk001:001	10	@	-	meidän␣
lk001:001	9	@	-	keskuudessamme␣
lk001:001	8	@	-	tosiksi␣
lk001:001	8	@	-	tunnetuista␣
lk001:001	11a (7)	@	-	tapahtumista
lk001:001	6	%case	LOC	
lk001:001	11b	,	-	,␣
lk001:002	lk001:002	lk001:002	VERSE	Lk␣1:2␣
lk001:002	1	@	-	sen␣
lk001:002	1	@	-	mukaisesti␣
lk001:002	1	@	-	kuin␣
lk001:002	3	@	-	meille␣
lk001:002	2	(@)	-	ovat␣
lk001:002	2	@	-	kertoneet␣
lk001:002	4	@	-	ne
lk001:002	-	(,)	-	,␣
lk001:002	4	@	-	jotka␣
lk001:002	6	@	-	alusta␣
lk001:002	5	@	-	asti␣
lk001:002	7	(@)	-	ovat␣
lk001:002	7	@	-	omin␣
lk001:002	7	@	-	silmin␣
lk001:002	-	(@)	-	ne␣
lk001:002	7	@	-	nähneet␣
lk001:002	8	@	-	ja␣
lk001:002	10	@	-	olleet␣
lk001:002	(11) 12a	@	-	sanan␣
lk001:002	9	@	-	palvelijoita
lk001:002	12b	,	-	,␣
lk001:003	lk001:003	lk001:003	VERSE	Lk␣1:3␣
lk001:003	3	@	-	niin␣
lk001:003	1	(@)	-	olen␣
lk001:003	3	@	-	minäkin
lk001:003	-	(,)	-	,␣
lk001:003	7	@	-	tarkkaan␣
lk001:003	4	@	-	tutkittuani␣
lk001:003	5	@	-	alusta␣
lk001:003	5	@	-	alkaen␣
lk001:003	6	@	-	kaikki
lk001:003	-	(,)	-	,␣
lk001:003	1	@	-	päättänyt␣
lk001:003	10a	@	-	kirjoittaa␣
lk001:003	-	(@)	-	ne␣
lk001:003	8	@	-	järjestyksessään␣
lk001:003	9	@	-	sinulle
lk001:003	10b	,	-	,␣
lk001:003	11	@	-	korkea-arvoinen␣
lk001:003	12a	@	-	Teofilus
lk001:003	12b	,	-	,␣
lk001:004	lk001:004	lk001:004	VERSE	Lk␣1:4␣
lk001:004	1	@	-	että␣
