jn001:001	jn001:001	jn001:001	VERSE	Jh␣1:1␣
jn001:001	2	@	-	Alussa␣
jn001:001	1	%case	LOC	
jn001:001	3	@	-	oli␣
jn001:001	(4) 5a	@	-	Sana
jn001:001	-	(,)	-	,␣
jn001:001	6	@	-	ja␣
jn001:001	(7) 8	@	-	Sana␣
jn001:001	9	@	-	oli␣
jn001:001	(11) 12a	@	-	Jumalan␣
jn001:001	10	@	-	tykönä
jn001:001	-	(,)	-	,␣
jn001:001	13	@	-	ja␣
jn001:001	(16) 17a	@	-	Sana␣
jn001:001	15	@	-	oli␣
jn001:001	14	@	-	Jumala
jn001:001	-	(.)	-	.␣
jn001:002	jn001:002	jn001:002	VERSE	Jh␣1:2␣
jn001:002	1	@	-	Hän␣
jn001:002	2	@	-	oli␣
jn001:002	4	@	-	alussa␣
jn001:002	3	%case	LOC	
jn001:002	(6) 7a	@	-	Jumalan␣
jn001:002	5	@	-	tykönä
jn001:002	-	(.)	-	.␣
jn001:003	jn001:003	jn001:003	VERSE	Jh␣1:3␣
jn001:003	1	@	-	Kaikki␣
jn001:003	4a	(@)	-	on␣
jn001:003	4a	@	-	saanut␣
jn001:003	4a	@	-	syntynsä␣
jn001:003	3	@	-	hänen␣
jn001:003	2	@	-	kauttaan
jn001:003	-	(,)	-	,␣
jn001:003	5	@	-	ja␣
jn001:003	6	@	-	ilman␣
jn001:003	7	@	-	häntä␣
jn001:003	9	@	-	ei␣
jn001:003	8	(@)	-	ole␣
jn001:003	8	@	-	syntynyt␣
jn001:003	10a	@	-	mitään
jn001:003	-	(,)	-	,␣
jn001:003	11	@	-	mikä␣
jn001:003	12	@	-	syntynyt␣
jn001:003	12	(@)	-	on
jn001:003	-	(.)	-	.␣
jn001:004	jn001:004	jn001:004	VERSE	Jh␣1:4␣
jn001:004	2	@	-	Hänessä␣
jn001:004	1	%case	LOC	
jn001:004	4a	@	-	oli␣
jn001:004	3	@	-	elämä
jn001:004	-	(,)	-	,␣
jn001:004	5	@	-	ja␣
jn001:004	(6) 7	@	-	elämä␣
jn001:004	8	@	-	oli␣
jn001:004	(11) 12a	@	-	ihmisten␣
jn001:004	10 (9)	@	-	valkeus
jn001:004	-	(.)	-	.␣
jn001:005	jn001:005	jn001:005	VERSE	Jh␣1:5␣
jn001:005	1	@	-	Ja␣
jn001:005	(2) 3	@	-	valkeus␣
jn001:005	7a	@	-	loistaa␣
jn001:005	(5) 6	@	-	pimeydessä
jn001:005	4	%case	LOC	
jn001:005	-	(,)	-	,␣
jn001:005	8	@	-	ja␣
jn001:005	10 (9)	@	-	pimeys␣
jn001:005	12	@	-	ei␣
jn001:005	11	@	-	sitä␣
jn001:005	13a	@	-	käsittänyt
jn001:005	-	(.)	-	.␣
jn001:006	jn001:006	jn001:006	VERSE	Jh␣1:6␣
jn001:006	1	@	-	Oli␣
jn001:006	2a	@	-	mies
jn001:006	-	(,)	-	,␣
jn001:006	5a	@	-	Jumalan␣
jn001:006	4	%case	GEN	
jn001:006	3	@	-	lähettämä
jn001:006	-	(;)	-	;␣
jn001:006	7	@	-	hänen␣
jn001:006	6	@	-	nimensä␣
jn001:006	-	(@)	-	oli␣
jn001:006	8a	@	-	Johannes
jn001:006	-	(.)	-	.␣
jn001:007	jn001:007	jn001:007	VERSE	Jh␣1:7␣
jn001:007	1	@	-	Hän␣
jn001:007	2	@	-	tuli␣
jn001:007	4	@	-	todistamaan
jn001:007	3	%case	LOC	
jn001:007	-	(,)	-	,␣
jn001:007	6	@	-	todistaaksensa␣
jn001:007	5	%case	TRA	
jn001:007	(8) 9a	@	-	valkeudesta
jn001:007	7	%case	LOC	
jn001:007	-	(,)	-	,␣
jn001:007	10	@	-	että␣
jn001:007	11	@	-	kaikki␣
jn001:007	12	@	-	uskoisivat␣
jn001:007	14a	@	-	hänen␣
jn001:007	13	@	-	kauttansa
jn001:007	-	(.)	-	.␣
jn001:008	jn001:008	jn001:008	VERSE	Jh␣1:8␣
jn001:008	1	@	-	Ei␣
jn001:008	2	(@)	-	hän␣
jn001:008	2	@	-	ollut␣
jn001:008	3	@	-	se␣
jn001:008	(4) 5a	@	-	valkeus
jn001:008	-	(,)	-	,␣
jn001:008	6	@	-	mutta␣
jn001:008	-	(@)	-	hän␣
jn001:008	-	(@)	-	tuli␣
jn001:008	(10) 11a	@	-	valkeudesta␣
jn001:008	9	%case	LOC	
jn001:008	8	@	-	todistamaan
jn001:008	7	%case	LOC	
jn001:008	-	(.)	-	.␣
jn001:009	jn001:009	jn001:009	VERSE	Jh␣1:9␣
jn001:009	(4) 5a	@	-	Totinen␣
jn001:009	(2) 3	@	-	valkeus
jn001:009	-	(,)	-	,␣
jn001:009	6	@	-	joka␣
jn001:009	7	@	-	valistaa␣
jn001:009	8	@	-	jokaisen␣
jn001:009	9a	@	-	ihmisen
jn001:009	-	(,)	-	,␣
jn001:009	1	@	-	oli␣
jn001:009	11	@	-	tulossa␣
jn001:009	(13) 14a	@	-	maailmaan
jn001:009	12	%case	LOC	
jn001:009	14b	.	-	.␣
jn001:010	jn001:010	jn001:010	VERSE	Jh␣1:10␣
jn001:010	(2) 3	@	-	Maailmassa␣
jn001:010	1	%case	LOC	
jn001:010	4a	(@)	-	hän␣
jn001:010	4a	@	-	oli
jn001:010	-	(,)	-	,␣
jn001:010	5	@	-	ja␣
jn001:010	(6) 7	@	-	maailma␣
jn001:010	10a	(@)	-	on␣
jn001:010	9	@	-	hänen␣
jn001:010	8	@	-	kauttaan␣
jn001:010	10a	@	-	saanut␣
jn001:010	10a	@	-	syntynsä
jn001:010	-	(,)	-	,␣
jn001:010	11	@	-	ja␣
jn001:010	(12) 13	@	-	maailma␣
jn001:010	15	@	-	ei␣
jn001:010	14	@	-	häntä␣
jn001:010	16a	@	-	tuntenut
jn001:010	-	(.)	-	.␣
jn001:011	jn001:011	jn001:011	VERSE	Jh␣1:11␣
