ac001:001	ac001:001	ac001:001	VERSE	Apt␣1:1␣
ac001:001	3	@	-	Edellisessä␣
ac001:001	(2)	-	UNTRANSLATED	
ac001:001	(1) 4	@	-	kertomuksessani␣
ac001:001	5	@	-	kirjoitin
ac001:001	-	(,)	-	,␣
ac001:001	8	@	-	oi␣
ac001:001	9a	@	-	Teofilus
ac001:001	-	(,)	-	,␣
ac001:001	7a	@	-	kaikesta
ac001:001	6	%case	LOC	
ac001:001	9b	,	-	,␣
ac001:001	10	@	-	mitä␣
ac001:001	(12) 13	@	-	Jeesus␣
ac001:001	11	@	-	alkoi␣
ac001:001	14	@	-	tehdä␣
ac001:001	15 16	@	-	ja␣
ac001:001	17a	@	-	opettaa
ac001:001	17b	,	-	,␣
ac001:002	ac001:002	ac001:002	VERSE	Apt␣1:2␣
ac001:002	1	@	-	hamaan␣
ac001:002	2	@	-	siihen␣
ac001:002	3	@	-	päivään␣
ac001:002	1	@	-	asti
ac001:002	-	(,)	-	,␣
ac001:002	2	@	-	jona␣
ac001:002	12a	(@)	-	hänet␣
ac001:002	12a	@	-	otettiin␣
ac001:002	12a	@	-	ylös
ac001:002	-	(,)	-	,␣
ac001:002	4	(@)	-	sittenkuin␣
ac001:002	-	(@)	-	hän␣
ac001:002	9	@	-	Pyhän␣
ac001:002	8	@	-	Hengen␣
ac001:002	7	@	-	kautta␣
ac001:002	4	(@)	-	oli␣
ac001:002	4	@	-	antanut␣
ac001:002	4	@	-	käskynsä␣
ac001:002	(5) 6	@	-	apostoleille
ac001:002	-	(,)	-	,␣
ac001:002	10	@	-	jotka␣
ac001:002	11	(@)	-	hän␣
ac001:002	11	(@)	-	oli␣
ac001:002	11	@	-	valinnut
ac001:002	12b	,	-	,␣
ac001:003	ac001:003	ac001:003	VERSE	Apt␣1:3␣
ac001:003	2	@	-	ja␣
ac001:003	1	@	-	joille␣
ac001:003	3	(@)	-	hän␣
ac001:003	2	@	-	myös␣
ac001:003	(7) 8	@	-	kärsimisensä␣
ac001:003	9	%pers	3	
ac001:003	6	@	-	jälkeen␣
ac001:003	11	@	-	moninaisten␣
ac001:003	12a	@	-	epäämättömien␣
ac001:003	12a	@	-	todistusten␣
ac001:003	10	@	-	kautta␣
ac001:003	3	@	-	osoitti␣
ac001:003	4	%case	?	
ac001:003	5	@	-	elävänsä
ac001:003	12b	,	-	,␣
ac001:003	16	@	-	ilmestyen␣
ac001:003	17	@	-	heille␣
ac001:003	15	@	-	neljänkymmenen␣
ac001:003	14	@	-	päivän␣
ac001:003	13	@	-	aikana␣
ac001:003	18	@	-	ja␣
ac001:003	19	@	-	puhuen␣
ac001:003	(20)	-	UNTRANSLATED	
ac001:003	(24) 25a	@	-	Jumalan␣
ac001:003	(22) 23	@	-	valtakunnasta
ac001:003	21	%case	LOC	
ac001:003	25b	.	-	.␣
ac001:004	ac001:004	ac001:004	VERSE	Apt␣1:4␣
ac001:004	1	@	-	Ja␣
ac001:004	2	(@)	-	kun␣
ac001:004	2	(@)	-	hän␣
ac001:004	2	@	-	oli␣
ac001:004	2	@	-	yhdessä␣
ac001:004	-	(@)	-	heidän␣
ac001:004	2	@	-	kanssansa
ac001:004	-	(,)	-	,␣
ac001:004	3	@	-	käski␣
ac001:004	3	(@)	-	hän␣
ac001:004	4	@	-	heitä␣
ac001:004	-	(@)	-	ja␣
ac001:004	-	(@)	-	sanoi
ac001:004	-	(:)	-	:␣
