rm001:001	rm001:001	rm001:001	VERSE	Rm␣1:1␣
rm001:001	1	@	-	Paavali
rm001:001	-	(,)	-	,␣
rm001:001	4a	@	-	Jeesuksen␣
rm001:001	3	@	-	Kristuksen␣
rm001:001	2	@	-	palvelija
rm001:001	4b	,	-	,␣
rm001:001	5	@	-	kutsuttu␣
rm001:001	6	@	-	apostoli
rm001:001	-	(,)	-	,␣
rm001:001	7	@	-	erotettu␣
rm001:001	pro%8	@	-	julistamaan␣
rm001:001	10a	@	-	Jumalan␣
rm001:001	9	@	-	evankeliumia
rm001:001	10b	,	-	,␣
rm001:002	rm001:002	rm001:002	VERSE	Rm␣1:2␣
rm001:002	1	@	-	jonka␣
rm001:002	-	(@)	-	Jumala␣
rm001:002	2	(@)	-	on␣
rm001:002	2	@	-	edeltä␣
rm001:002	2	@	-	luvannut␣
rm001:002	(4) 5	@	-	profeettainsa␣
rm001:002	6	%pers	3	
rm001:002	3	@	-	kautta␣
rm001:002	9	@	-	pyhissä␣
rm001:002	8	@	-	kirjoituksissa
rm001:002	7	%case	LOC	
rm001:002	-	(,)	-	,␣
rm001:003	rm001:003	rm001:003	VERSE	Rm␣1:3␣
rm001:003	4	@	-	hänen␣
rm001:003	(2) 3	@	-	Pojastansa␣
rm001:003	1	%case	LOC	
rm001:003	-	(-)	-	-␣
rm001:003	5	@	-	joka␣
rm001:003	11a	@	-	lihan␣
rm001:003	10	@	-	puolesta␣
rm001:003	6	(@)	-	on␣
rm001:003	6	@	-	syntynyt␣
rm001:003	9	@	-	Daavidin␣
rm001:003	8	@	-	siemenestä␣
rm001:003	7	%case	LOC	
rm001:004	rm001:004	rm001:004	VERSE	Rm␣1:4␣
rm001:004	-	(@)	-	ja␣
rm001:004	9	@	-	pyhyyden␣
rm001:004	8	@	-	hengen␣
rm001:004	7	@	-	puolesta␣
rm001:004	11 12a	@	-	kuolleistanousemisen␣
rm001:004	10	@	-	kautta␣
rm001:004	(1) 2	@	-	asetettu␣
rm001:004	4	@	-	Jumalan␣
rm001:004	3	@	-	Pojaksi␣
rm001:004	6	@	-	voimassa␣
rm001:004	5	%case	LOC	
rm001:004	12b	-	-	-␣
rm001:004	13	@	-	Jeesuksesta␣
rm001:004	14	@	-	Kristuksesta
rm001:004	-	(,)	-	,␣
rm001:004	17a	@	-	meidän␣
rm001:004	(15) 16	@	-	Herrastamme
rm001:004	17b	,	-	,␣
rm001:005	rm001:005	rm001:005	VERSE	Rm␣1:5␣
rm001:005	2	@	-	jonka␣
rm001:005	1	@	-	kautta␣
rm001:005	3	(@)	-	me␣
rm001:005	3	(@)	-	olemme␣
rm001:005	3	@	-	saaneet␣
rm001:005	4	@	-	armon␣
rm001:005	5	@	-	ja␣
rm001:005	6	@	-	apostolinviran
rm001:005	-	(,)	-	,␣
rm001:005	7	@	-	että␣
rm001:005	7	(@)	-	syntyisi␣
rm001:005	9	@	-	uskon␣
rm001:005	8	@	-	kuuliaisuus␣
rm001:005	17a	@	-	hänen␣
rm001:005	(15) 16	@	-	nimeänsä␣
rm001:005	14	@	-	kohtaan␣
rm001:005	11	@	-	kaikissa␣
rm001:005	(12) 13	@	-	pakanakansoissa
rm001:005	10	%case	LOC	
rm001:005	17b	,	-	,␣
rm001:006	rm001:006	rm001:006	VERSE	Rm␣1:6␣
rm001:006	2	@	-	joihin␣
