2c001:001	2c001:001	2c001:001	VERSE	2Kr␣1:1␣
2c001:001	1	@	-	Paavali
2c001:001	-	(,)	-	,␣
2c001:001	7	@	-	Jumalan␣
2c001:001	6	@	-	tahdosta␣
2c001:001	5	%case	LOC	
2c001:001	3	@	-	Kristuksen␣
2c001:001	4	@	-	Jeesuksen␣
2c001:001	2	@	-	apostoli
2c001:001	-	(,)	-	,␣
2c001:001	8	@	-	ja␣
2c001:001	(10) 11	@	-	veli␣
2c001:001	9	@	-	Timoteus␣
2c001:001	19	@	-	Korintossa␣
2c001:001	18	%case	LOC	
2c001:001	(16) 17	@	-	olevalle␣
2c001:001	(14) 15	@	-	Jumalan␣
2c001:001	(12) 13	@	-	seurakunnalle␣
2c001:001	20	@	-	ynnä␣
2c001:001	23	@	-	kaikille␣
2c001:001	(21) 22	@	-	pyhille␣
2c001:001	(24) (25)	-	UNTRANSLATED	
2c001:001	27	@	-	koko␣
2c001:001	(28) 29a	@	-	Akaiassa
2c001:001	26	%case	LOC	
2c001:001	29b	.	-	.␣
2c001:002	2c001:002	2c001:002	VERSE	2Kr␣1:2␣
2c001:002	1	@	-	Armo␣
2c001:002	2	@	-	teille␣
2c001:002	3	@	-	ja␣
2c001:002	4	@	-	rauha␣
2c001:002	6	@	-	Jumalalta
2c001:002	5	%case	LOC	
2c001:002	-	(,)	-	,␣
2c001:002	8	@	-	meidän␣
2c001:002	7	@	-	Isältämme
2c001:002	5	%case	LOC	
2c001:002	-	(,)	-	,␣
2c001:002	9	@	-	ja␣
2c001:002	10	@	-	Herralta␣
2c001:002	11	@	-	Jeesukselta␣
2c001:002	12a	@	-	Kristukselta
2c001:002	-	(!)	-	!␣
2c001:003	2c001:003	2c001:003	VERSE	2Kr␣1:3␣
2c001:003	1	@	-	Kiitetty␣
2c001:003	1	(@)	-	olkoon␣
2c001:003	8	@	-	meidän␣
2c001:003	(6) 7	@	-	Herramme␣
2c001:003	9	@	-	Jeesuksen␣
2c001:003	10a	@	-	Kristuksen␣
2c001:003	(2) 3	@	-	Jumala␣
2c001:003	4	@	-	ja␣
2c001:003	5	@	-	Isä
2c001:003	-	(,)	-	,␣
2c001:003	(13) 14	@	-	laupeuden␣
2c001:003	(11) 12	@	-	Isä␣
2c001:003	15	@	-	ja␣
2c001:003	17	@	-	kaiken␣
2c001:003	18a	@	-	lohdutuksen␣
2c001:003	16	@	-	Jumala
2c001:003	18b	,	-	,␣
2c001:004	2c001:004	2c001:004	VERSE	2Kr␣1:4␣
2c001:004	1	@	-	joka␣
2c001:004	2	@	-	lohduttaa␣
2c001:004	3	@	-	meitä␣
2c001:004	5	@	-	kaikessa␣
2c001:004	(6) 7	@	-	ahdistuksessamme
2c001:004	8	%pers	?	
2c001:004	4	%case	LOC	
2c001:004	-	(,)	-	,␣
2c001:004	9	@	-	että␣
2c001:004	12	@	-	me␣
2c001:004	19	@	-	sillä␣
2c001:004	20	@	-	lohdutuksella
2c001:004	18	%case	LOC	
2c001:004	-	(,)	-	,␣
2c001:004	21	@	-	jolla␣
2c001:004	(25) 26a	@	-	Jumala␣
2c001:004	24	%case	NOM	
2c001:004	22	(@)	-	meitä␣
2c001:004	23	@	-	itseämme␣
2c001:004	22	@	-	lohduttaa
2c001:004	-	(,)	-	,␣
2c001:004	(10) 11	@	-	voisimme␣
2c001:004	13	@	-	lohduttaa␣
2c001:004	14	@	-	niitä
2c001:004	-	(,)	-	,␣
2c001:004	14	@	-	jotka␣
2c001:004	16	@	-	kaikkinaisessa␣
2c001:004	17	@	-	ahdistuksessa␣
2c001:004	15	%case	LOC	
2c001:004	-	(@)	-	ovat
2c001:004	26b	.	-	.␣
2c001:005	2c001:005	2c001:005	VERSE	2Kr␣1:5␣
2c001:005	1	@	-	Sillä␣
2c001:005	2	@	-	samoin~kuin␣
2c001:005	(6) 7	@	-	Kristuksen␣
2c001:005	(4) 5	@	-	kärsimykset␣
2c001:005	3	@	-	runsaina␣
