ga001:001	ga001:001	ga001:001	VERSE	Gal␣1:1␣
ga001:001	1	@	-	Paavali
ga001:001	-	(,)	-	,␣
ga001:001	2	@	-	apostoli
ga001:001	-	(,)	-	,␣
ga001:001	-	(@)	-	virkansa␣
ga001:001	-	(@)	-	saanut
ga001:001	-	(,)	-	,␣
ga001:001	3	@	-	ei␣
ga001:001	5	@	-	ihmisiltä␣
ga001:001	4	%case	LOC	
ga001:001	6	@	-	eikä␣
ga001:001	8	@	-	ihmisen␣
ga001:001	7	@	-	kautta
ga001:001	-	(,)	-	,␣
ga001:001	9	@	-	vaan␣
ga001:001	11	@	-	Jeesuksen␣
ga001:001	12	@	-	Kristuksen␣
ga001:001	10	@	-	kautta␣
ga001:001	13	@	-	ja␣
ga001:001	15	@	-	Isän␣
ga001:001	14	@	-	Jumalan
ga001:001	-	(,)	-	,␣
ga001:001	16	@	-	joka␣
ga001:001	17	(@)	-	on␣
ga001:001	18	@	-	hänet␣
ga001:001	20a	@	-	kuolleista␣
ga001:001	19	%case	LOC	
ga001:001	17	@	-	herättänyt
ga001:001	20b	,	-	,␣
ga001:002	ga001:002	ga001:002	VERSE	Gal␣1:2␣
ga001:002	1	@	-	ja␣
ga001:002	5	@	-	kaikki␣
ga001:002	6	@	-	veljet
ga001:002	-	(,)	-	,␣
ga001:002	2	@	-	jotka␣
ga001:002	-	(@)	-	ovat␣
ga001:002	4	@	-	minun␣
ga001:002	3	@	-	kanssani
ga001:002	-	(,)	-	,␣
ga001:002	10a (9)	@	-	Galatian␣
ga001:002	(7) 8	@	-	seurakunnille
ga001:002	10b	.	-	.␣
ga001:003	ga001:003	ga001:003	VERSE	Gal␣1:3␣
ga001:003	1	@	-	Armo␣
ga001:003	2	@	-	teille␣
ga001:003	3	@	-	ja␣
ga001:003	4	@	-	rauha␣
ga001:003	6	@	-	Jumalalta
ga001:003	5	%case	LOC	
ga001:003	-	(,)	-	,␣
ga001:003	8	@	-	meidän␣
ga001:003	7	@	-	Isältämme
ga001:003	-	(,)	-	,␣
ga001:003	9	@	-	ja␣
ga001:003	10	@	-	Herralta␣
ga001:003	11	@	-	Jeesukselta␣
ga001:003	12	@	-	Kristukselta
ga001:003	-	(,)	-	,␣
ga001:004	ga001:004	ga001:004	VERSE	Gal␣1:4␣
ga001:004	1	@	-	joka␣
ga001:004	2	@	-	antoi␣
ga001:004	3	@	-	itsensä␣
ga001:004	2	(@)	-	alttiiksi␣
ga001:004	7a	@	-	meidän␣
ga001:004	(5) 6	@	-	syntiemme␣
ga001:004	4	@	-	tähden
ga001:004	7b	,	-	,␣
ga001:004	9	@	-	pelastaaksensa␣
ga001:004	8	%case	TRA	
ga001:004	10	@	-	meidät␣
ga001:004	(14) 15	@	-	nykyisestä␣
ga001:004	16	@	-	pahasta␣
ga001:004	(12) 13	@	-	maailmanajasta␣
ga001:004	11	%case	LOC	
ga001:004	24a	@	-	meidän␣
ga001:004	(20) 21	@	-	Jumalamme␣
ga001:004	22	@	-	ja␣
ga001:004	23	@	-	Isämme␣
ga001:004	(18) 19	@	-	tahdon␣
ga001:004	17	@	-	mukaan
ga001:004	24b	!	-	!␣
ga001:005	ga001:005	ga001:005	VERSE	Gal␣1:5␣
ga001:005	1	@	-	Hänen␣
ga001:005	-	(@)	-	olkoon␣
ga001:005	(2) 3	@	-	kunnia␣
ga001:005	(5) 6	@	-	aina␣
ga001:005	4	%case	?	
ga001:005	-	(@)	-	ja␣
ga001:005	(7) 8a	@	-	iankaikkisesti
ga001:005	8b	!	-	!␣
ga001:005	9a	@	-	Amen
ga001:005	9b	.	-	.␣
ga001:006	ga001:006	ga001:006	VERSE	Gal␣1:6␣
ga001:006	1	(@)	-	Minua␣
ga001:006	1	@	-	kummastuttaa
ga001:006	-	(,)	-	,␣
ga001:006	2	@	-	että␣
ga001:006	5	(@)	-	te␣
ga001:006	3	@	-	niin␣
ga001:006	4	@	-	äkkiä␣
ga001:006	5	@	-	käännytte␣
ga001:006	7	@	-	hänestä
ga001:006	6	%case	LOC	
ga001:006	-	(,)	-	,␣
ga001:006	7	@	-	joka␣
ga001:006	8	(@)	-	on␣
ga001:006	8	@	-	kutsunut␣
ga001:006	9	@	-	teidät␣
ga001:006	12a	@	-	Kristuksen␣
ga001:006	11a	@	-	armossa
ga001:006	10	%case	LOC	
ga001:006	-	(,)	-	,␣
ga001:006	5	@	-	pois␣
ga001:006	14	@	-	toisenlaiseen␣
ga001:006	15a	@	-	evankeliumiin
ga001:006	13	%case	LOC	
ga001:006	15b	,	-	,␣
ga001:007	ga001:007	ga001:007	VERSE	Gal␣1:7␣
ga001:007	1	@	-	joka␣
ga001:007	-	(@)	-	kuitenkaan␣
ga001:007	2	@	-	ei␣
ga001:007	3	@	-	ole␣
ga001:007	-	(@)	-	mikään␣
ga001:007	4a	@	-	toinen
ga001:007	4b	;	-	;␣
ga001:007	8	@	-	on␣
ga001:007	5 6	@	-	vain␣
ga001:007	7	@	-	eräitä
ga001:007	-	(,)	-	,␣
ga001:007	9	@	-	jotka␣
ga001:007	10	@	-	hämmentävät␣
ga001:007	11	@	-	teitä␣
ga001:007	12	@	-	ja␣
ga001:007	13	@	-	tahtovat␣
ga001:007	14	@	-	vääristellä␣
ga001:007	(17) 18a	@	-	Kristuksen␣
ga001:007	(15) 16	@	-	evankeliumin
ga001:007	18b	.	-	.␣
ga001:008	ga001:008	ga001:008	VERSE	Gal␣1:8␣
ga001:008	1	@	-	Mutta␣
ga001:008	2 3	@	-	vaikka␣
ga001:008	4	@	-	me
ga001:008	-	(,)	-	,␣
ga001:008	5	@	-	tai␣
ga001:008	-	(@)	-	vaikka␣
ga001:008	6	@	-	enkeli␣
ga001:008	8	@	-	taivaasta␣
ga001:008	7	%case	LOC	
ga001:008	9a	@	-	julistaisi␣
ga001:008	10a	@	-	teille␣
ga001:008	9a	@	-	evankeliumia
ga001:008	-	(,)	-	,␣
ga001:008	-	(@)	-	joka␣
ga001:008	-	(@)	-	on␣
ga001:008	11	@	-	vastoin␣
ga001:008	12	@	-	sitä
ga001:008	-	(,)	-	,␣
ga001:008	12	@	-	minkä␣
ga001:008	13	(@)	-	me␣
ga001:008	13	(@)	-	olemme␣
ga001:008	14a	@	-	teille␣
ga001:008	13	@	-	julistaneet
ga001:008	-	(,)	-	,␣
ga001:008	16a	(@)	-	hän␣
ga001:008	16a	@	-	olkoon␣
ga001:008	15	@	-	kirottu
ga001:008	16b	.	-	.␣
ga001:009	ga001:009	ga001:009	VERSE	Gal␣1:9␣
ga001:009	1	@	-	Niinkuin␣
ga001:009	2	@	-	ennenkin␣
ga001:009	2	(@)	-	olemme␣
ga001:009	2	@	-	sanoneet
ga001:009	-	(,)	-	,␣
ga001:009	3	@	-	niin␣
ga001:009	6a	@	-	sanon␣
ga001:009	4	@	-	nytkin␣
ga001:009	5	@	-	taas
ga001:009	6b	:	-	:␣
ga001:009	7	@	-	jos␣
ga001:009	8	@	-	joku␣
ga001:009	10	@	-	julistaa␣
ga001:009	9	@	-	teille␣
ga001:009	10	@	-	evankeliumia
ga001:009	-	(,)	-	,␣
ga001:009	-	(@)	-	joka␣
ga001:009	-	(@)	-	on␣
ga001:009	11	@	-	vastoin␣
