ep001:001	ep001:001	ep001:001	VERSE	Ef␣1:1␣
ep001:001	1	@	-	Paavali
ep001:001	-	(,)	-	,␣
ep001:001	7	@	-	Jumalan␣
ep001:001	6	@	-	tahdosta␣
ep001:001	5	%case	LOC	
ep001:001	3	@	-	Kristuksen␣
ep001:001	4	@	-	Jeesuksen␣
ep001:001	2	@	-	apostoli
ep001:001	-	(,)	-	,␣
ep001:001	13a	@	-	Efesossa␣
ep001:001	12	%case	LOC	
ep001:001	(10) 11a	@	-	oleville␣
ep001:001	(8) 9	@	-	pyhille␣
ep001:001	14	@	-	ja␣
ep001:001	15	@	-	uskoville␣
ep001:001	17	@	-	Kristuksessa␣
ep001:001	18a	@	-	Jeesuksessa
ep001:001	16	%case	LOC	
ep001:001	18b	.	-	.␣
ep001:002	ep001:002	ep001:002	VERSE	Ef␣1:2␣
ep001:002	1	@	-	Armo␣
ep001:002	2	@	-	teille␣
ep001:002	3	@	-	ja␣
ep001:002	4	@	-	rauha␣
ep001:002	6	@	-	Jumalalta
ep001:002	5	%case	LOC	
ep001:002	-	(,)	-	,␣
ep001:002	8	@	-	meidän␣
ep001:002	7	@	-	Isältämme
ep001:002	-	(,)	-	,␣
ep001:002	9	@	-	ja␣
ep001:002	10	@	-	Herralta␣
ep001:002	11	@	-	Jeesukselta␣
ep001:002	12a	@	-	Kristukselta
ep001:002	12b	!	-	!␣
ep001:003	ep001:003	ep001:003	VERSE	Ef␣1:3␣
ep001:003	1	@	-	Ylistetty␣
ep001:003	-	(@)	-	olkoon␣
ep001:003	8	@	-	meidän␣
ep001:003	(6) 7	@	-	Herramme␣
ep001:003	9	@	-	Jeesuksen␣
ep001:003	10a	@	-	Kristuksen␣
ep001:003	(2) 3	@	-	Jumala␣
ep001:003	4	@	-	ja␣
ep001:003	5	@	-	Isä
ep001:003	10b	,	-	,␣
ep001:003	11	@	-	joka␣
ep001:003	12	(@)	-	on␣
ep001:003	12	@	-	siunannut␣
ep001:003	13	@	-	meitä␣
ep001:003	(19) 20	@	-	taivaallisissa␣
ep001:003	18	%case	LOC	
ep001:003	15	@	-	kaikella␣
ep001:003	17	@	-	hengellisellä␣
ep001:003	16	@	-	siunauksella␣
ep001:003	14	%case	LOC	
ep001:003	22a	@	-	Kristuksessa
ep001:003	21	%case	LOC	
ep001:003	22b	,	-	,␣
ep001:004	ep001:004	ep001:004	VERSE	Ef␣1:4␣
ep001:004	1	@	-	niinkuin␣
ep001:004	2	(@)	-	hän␣
ep001:004	6	@	-	ennen␣
ep001:004	(3)	-	UNTRANSLATED	
ep001:004	8	@	-	maailman␣
ep001:004	7	@	-	perustamista␣
ep001:004	2	(@)	-	oli␣
ep001:004	5	@	-	hänessä␣
ep001:004	4	%case	LOC	
ep001:004	2	@	-	valinnut␣
ep001:004	10	@	-	meidät␣
ep001:004	9	@	-	olemaan␣
ep001:004	11	@	-	pyhät␣
ep001:004	12	@	-	ja␣
ep001:004	13	@	-	nuhteettomat␣
ep001:004	15	@	-	hänen␣
ep001:004	14	@	-	edessään
ep001:004	-	(,)	-	,␣
ep001:004	17a	@	-	rakkaudessa
ep001:004	16	%case	LOC	
ep001:004	17b	,	-	,␣
ep001:005	ep001:005	ep001:005	VERSE	Ef␣1:5␣
ep001:005	1	@	-	edeltäpäin␣
ep001:005	1	@	-	määräten␣
ep001:005	2	@	-	meidät␣
ep001:005	4	@	-	lapseuteen
ep001:005	3	%case	LOC	
ep001:005	-	(,)	-	,␣
ep001:005	9a	@	-	hänen␣
ep001:005	pro%8	@	-	yhteyteensä␣
ep001:005	6	@	-	Jeesuksen␣
ep001:005	7	@	-	Kristuksen␣
ep001:005	5	@	-	kautta
ep001:005	9b	,	-	,␣
ep001:005	15a	@	-	hänen␣
ep001:005	15a	(@)	-	oman␣
ep001:005	(13) 14	@	-	tahtonsa␣
ep001:005	(11) 12	@	-	mielisuosion␣
ep001:005	10	@	-	mukaan
ep001:005	15b	,	-	,␣
ep001:006	ep001:006	ep001:006	VERSE	Ef␣1:6␣
ep001:006	-	(@)	-	sen␣
ep001:006	(4) 5	@	-	armonsa␣
ep001:006	6	%pers	3	
ep001:006	3	@	-	kirkkauden␣
ep001:006	2	@	-	kiitokseksi
ep001:006	1	%case	TRA	
ep001:006	-	(,)	-	,␣
ep001:006	7	@	-	minkä␣
ep001:006	8	(@)	-	hän␣
ep001:006	8	(@)	-	on␣
ep001:006	8	@	-	lahjoittanut␣
ep001:006	9	@	-	meille␣
ep001:006	11	@	-	siinä␣
ep001:006	12a	@	-	rakastetussa
ep001:006	10	%case	LOC	
ep001:006	12b	,	-	,␣
ep001:007	ep001:007	ep001:007	VERSE	Ef␣1:7␣
ep001:007	2	@	-	jossa␣
ep001:007	1	%case	LOC	
ep001:007	3	(@)	-	meillä␣
ep001:007	3	@	-	on␣
ep001:007	(4) 5	@	-	lunastus␣
ep001:007	9a	@	-	hänen␣
ep001:007	(7) 8	@	-	verensä␣
ep001:007	6	@	-	kautta
ep001:007	9b	,	-	,␣
ep001:007	(12) 13a	@	-	rikkomusten␣
ep001:007	(10) 11	@	-	anteeksisaaminen
ep001:007	13b	,	-	,␣
ep001:007	19	@	-	hänen␣
ep001:007	(17) 18	@	-	armonsa␣
ep001:007	(15) 16	@	-	rikkauden␣
ep001:007	14	@	-	mukaan
ep001:007	-	(.)	-	.␣
ep001:008	ep001:008	ep001:008	VERSE	Ef␣1:8␣
ep001:008	1	@	-	Tätä␣
ep001:008	-	(@)	-	armoa␣
ep001:008	2	(@)	-	hän␣
ep001:008	2	(@)	-	on␣
ep001:008	2	@	-	ylenpalttisesti␣
ep001:008	2	@	-	antanut␣
ep001:008	4a	@	-	meille␣
ep001:008	3	%case	LOC	
ep001:008	6	@	-	kaikkinaiseksi␣
ep001:008	7	@	-	viisaudeksi␣
ep001:008	5	%case	TRA	
ep001:008	8	@	-	ja␣
ep001:008	9a	@	-	ymmärrykseksi
ep001:008	9b	,	-	,␣
ep001:009	ep001:009	ep001:009	VERSE	Ef␣1:9␣
ep001:009	1	@	-	tehden␣
ep001:009	2	@	-	meille␣
ep001:009	1	@	-	tiettäväksi␣
ep001:009	-	(@)	-	sen␣
ep001:009	(5) 6	@	-	tahtonsa␣
ep001:009	7a	%pers	3	
ep001:009	(3) 4	@	-	salaisuuden
ep001:009	-	(,)	-	,␣
ep001:009	-	(@)	-	että␣
ep001:009	-	(@)	-	hän
ep001:009	7b	,	-	,␣
ep001:009	10 (9)	@	-	päätöksensä␣
ep001:009	11	%pers	3	
ep001:009	8	@	-	mukaan
ep001:009	-	(,)	-	,␣
ep001:009	12	@	-	jonka␣
ep001:009	13	(@)	-	hän␣
ep001:009	13	(@)	-	oli␣
ep001:009	13	@	-	nähnyt␣
ep001:009	13	@	-	hyväksi␣
ep001:009	15	@	-	itsessään␣
ep001:009	14	%case	LOC	
ep001:009	13	@	-	tehdä␣
ep001:009	-	(-)	-	-␣
ep001:010	ep001:010	ep001:010	VERSE	Ef␣1:10␣
ep001:010	-	(@)	-	siitä␣
ep001:010	2	@	-	armotaloudesta
ep001:010	1	%case	LOC	
ep001:010	-	(,)	-	,␣
ep001:010	-	(@)	-	minkä␣
ep001:010	-	(@)	-	hän␣
ep001:010	(5) 6a	@	-	aikojen␣
ep001:010	(3) 4	@	-	täyttyessä␣
ep001:010	-	(@)	-	aikoi␣
ep001:010	-	(@)	-	toteuttaa
ep001:010	6b	,	-	,␣
ep001:010	-	(-)	-	-␣
ep001:010	7	(@)	-	oli␣
ep001:010	7	@	-	yhdistävä␣
ep001:010	(11) 12a	@	-	Kristuksessa␣
ep001:010	10	%case	LOC	
ep001:010	7	@	-	yhdeksi␣
ep001:010	(8) 9	@	-	kaikki
ep001:010	12b	,	-	,␣
ep001:010	13	@	-	mitä␣
ep001:010	-	(@)	-	on␣
ep001:010	(15) 16	@	-	taivaissa␣
ep001:010	14	%case	LOC	
ep001:010	17	@	-	ja␣
ep001:010	18	@	-	mitä␣
ep001:010	-	(@)	-	on␣
ep001:010	(20) 21	@	-	maan␣
ep001:010	19	@	-	päällä
ep001:010	(22) (23a)	-	UNTRANSLATED	
ep001:010	23b	.	-	.␣
ep001:011	ep001:011	ep001:011	VERSE	Ef␣1:11␣
ep001:011	2	@	-	Hänessä␣
ep001:011	1	%case	LOC	
ep001:011	4	(@)	-	me␣
ep001:011	3	@	-	myös␣
ep001:011	4	(@)	-	olemme␣
ep001:011	4	@	-	saaneet␣
ep001:011	4	@	-	perintöosan
ep001:011	-	(,)	-	,␣
ep001:011	5	(@)	-	ollen␣
ep001:011	-	(@)	-	siihen␣
ep001:011	5	@	-	edeltämäärätyt␣
ep001:011	-	(@)	-	hänen␣
ep001:011	7	@	-	aivoituksensa␣
ep001:011	6	@	-	mukaan
ep001:011	-	(,)	-	,␣
ep001:011	pro%8	@	-	hänen
ep001:011	-	(,)	-	,␣
ep001:011	9	@	-	joka␣
ep001:011	11	@	-	vaikuttaa␣
ep001:011	10	@	-	kaikki␣
ep001:011	17	@	-	oman␣
ep001:011	(15) 16	@	-	tahtonsa␣
ep001:011	(13) 14	@	-	päättämän␣
ep001:011	12	@	-	mukaan
ep001:011	-	(,)	-	,␣
ep001:012	ep001:012	ep001:012	VERSE	Ef␣1:12␣
ep001:012	1	@	-	että␣
ep001:012	4	@	-	me␣
ep001:012	3	@	-	olisimme␣
ep001:012	2	%case	?	
ep001:012	8	@	-	hänen␣
ep001:012	7	@	-	kirkkautensa␣
ep001:012	6	@	-	kiitokseksi
ep001:012	5	%case	TRA	
ep001:012	-	(,)	-	,␣
ep001:012	9	@	-	me
ep001:012	-	(,)	-	,␣
ep001:012	9	@	-	jotka␣
ep001:012	-	(@)	-	jo␣
ep001:012	10	@	-	edeltä␣
ep001:012	10	(@)	-	olimme␣
ep001:012	10	@	-	panneet␣
ep001:012	10	@	-	toivomme␣
ep001:012	(12) 13a	@	-	Kristukseen
ep001:012	11	%case	LOC	
ep001:012	13b	.	-	.␣
ep001:013	ep001:013	ep001:013	VERSE	Ef␣1:13␣
ep001:013	2	@	-	Hänessä␣
ep001:013	1	%case	LOC	
ep001:013	-	(@)	-	on␣
ep001:013	4	@	-	teihinkin
ep001:013	3	%clitic	kin	
ep001:013	-	(,)	-	,␣
ep001:013	5	(@)	-	sittenkuin␣
ep001:013	5	(@)	-	olitte␣
ep001:013	5	@	-	kuulleet␣
ep001:013	(8) 9a	@	-	totuuden␣
ep001:013	(6) 7	@	-	sanan
ep001:013	9b	,	-	,␣
ep001:013	(12) 13	@	-	pelastuksenne␣
ep001:013	14a	%pers	?	
ep001:013	(10) 11	@	-	evankeliumin
ep001:013	14b	,	-	,␣
ep001:013	(15) (16) (17)	-	UNTRANSLATED	
