pp001:001	pp001:001	pp001:001	VERSE	Flp␣1:1␣
pp001:001	1	@	-	Paavali␣
pp001:001	2	@	-	ja␣
pp001:001	3	@	-	Timoteus
pp001:001	-	(,)	-	,␣
pp001:001	5	@	-	Kristuksen␣
pp001:001	6	@	-	Jeesuksen␣
pp001:001	4	@	-	palvelijat
pp001:001	-	(,)	-	,␣
pp001:001	7	@	-	kaikille␣
pp001:001	(8) 9	@	-	pyhille␣
pp001:001	11	@	-	Kristuksessa␣
pp001:001	12	@	-	Jeesuksessa
pp001:001	10	%case	LOC	
pp001:001	-	(,)	-	,␣
pp001:001	13	@	-	jotka␣
pp001:001	14	@	-	ovat␣
pp001:001	16	@	-	Filippissä
pp001:001	15	%case	LOC	
pp001:001	-	(,)	-	,␣
pp001:001	-	(@)	-	sekä␣
pp001:001	-	(@)	-	myös␣
pp001:001	-	(@)	-	seurakunnan␣
pp001:001	18	@	-	kaitsijoille␣
pp001:001	17	%case	LOC	
pp001:001	19	@	-	ja␣
pp001:001	20a	@	-	seurakuntapalvelijoille
pp001:001	20b	.	-	.␣
pp001:002	pp001:002	pp001:002	VERSE	Flp␣1:2␣
pp001:002	1	@	-	Armo␣
pp001:002	2	@	-	teille␣
pp001:002	3	@	-	ja␣
pp001:002	4	@	-	rauha␣
pp001:002	6	@	-	Jumalalta
pp001:002	5	%case	LOC	
pp001:002	-	(,)	-	,␣
pp001:002	8	@	-	meidän␣
pp001:002	7	@	-	Isältämme
pp001:002	-	(,)	-	,␣
pp001:002	9	@	-	ja␣
pp001:002	10	@	-	Herralta␣
pp001:002	11	@	-	Jeesukselta␣
pp001:002	12a	@	-	Kristukselta
pp001:002	12b	!	-	!␣
pp001:003	pp001:003	pp001:003	VERSE	Flp␣1:3␣
pp001:003	1	(@)	-	Minä␣
pp001:003	1	@	-	kiitän␣
pp001:003	(2) 3	@	-	Jumalaani
pp001:003	4	%pers	?	
pp001:003	-	(,)	-	,␣
pp001:003	5 6	@	-	niin␣
pp001:003	5 6	@	-	usein␣
pp001:003	5 6	@	-	kuin␣
pp001:003	9	@	-	teitä␣
pp001:003	(7) 8	@	-	muistan
pp001:003	-	(,)	-	,␣
pp001:004	pp001:004	pp001:004	VERSE	Flp␣1:4␣
pp001:004	1	@	-	aina␣
pp001:004	3	@	-	kaikissa␣
pp001:004	4	@	-	rukouksissani␣
pp001:004	5	%pers	?	
pp001:004	2	%case	LOC	
pp001:004	10	@	-	ilolla␣
pp001:004	9	%case	LOC	
