cl001:001	cl001:001	cl001:001	VERSE	Kol␣1:1␣
cl001:001	1	@	-	Paavali
cl001:001	-	(,)	-	,␣
cl001:001	7	@	-	Jumalan␣
cl001:001	6	@	-	tahdosta␣
cl001:001	5	%case	LOC	
cl001:001	3	@	-	Kristuksen␣
cl001:001	4	@	-	Jeesuksen␣
cl001:001	2	@	-	apostoli
cl001:001	-	(,)	-	,␣
cl001:001	8	@	-	ja␣
cl001:001	(10) 11	@	-	veli␣
cl001:001	9	@	-	Timoteus␣
cl001:002	cl001:002	cl001:002	VERSE	Kol␣1:2␣
cl001:002	3	@	-	Kolossassa␣
cl001:002	2	%case	LOC	
cl001:002	-	(@)	-	asuville␣
cl001:002	(1) 4	@	-	pyhille␣
cl001:002	5	@	-	ja␣
cl001:002	6	@	-	uskoville␣
cl001:002	7	@	-	veljille␣
cl001:002	9a	@	-	Kristuksessa
cl001:002	8	%case	LOC	
cl001:002	9b	.	-	.␣
cl001:002	10	@	-	Armo␣
cl001:002	11	@	-	teille␣
cl001:002	12	@	-	ja␣
cl001:002	13	@	-	rauha␣
cl001:002	15	@	-	Jumalalta
cl001:002	14	%case	LOC	
cl001:002	-	(,)	-	,␣
cl001:002	17a	@	-	meidän␣
cl001:002	16	@	-	Isältämme
cl001:002	14	%case	LOC	
cl001:002	-	(!)	-	!␣
cl001:003	cl001:003	cl001:003	VERSE	Kol␣1:3␣
cl001:003	1	(@)	-	Me␣
cl001:003	1	@	-	kiitämme␣
cl001:003	(2) 3	@	-	Jumalaa
cl001:003	-	(,)	-	,␣
cl001:003	(5) 6	@	-	Herramme␣
cl001:003	7	%pers	?	
cl001:003	8	@	-	Jeesuksen␣
cl001:003	9	@	-	Kristuksen␣
cl001:003	4	@	-	Isää
cl001:003	-	(,)	-	,␣
cl001:003	10	@	-	aina␣
cl001:003	13a	(@)	-	kun␣
cl001:003	13a	@	-	rukoilemme␣
cl001:003	12	@	-	teidän␣
cl001:003	11	@	-	edestänne
cl001:003	13b	,	-	,␣
cl001:004	cl001:004	cl001:004	VERSE	Kol␣1:4␣
cl001:004	-	(@)	-	sillä␣
cl001:004	1	(@)	-	me␣
cl001:004	1	(@)	-	olemme␣
cl001:004	tasp%1	@	-	saaneet␣
cl001:004	1	@	-	kuulla␣
cl001:004	4	@	-	teidän␣
cl001:004	(2) 3	@	-	uskostanne␣
cl001:004	6	@	-	Kristuksessa␣
cl001:004	7	@	-	Jeesuksessa␣
cl001:004	5	%case	LOC	
cl001:004	8	@	-	ja␣
cl001:004	10 (9)	@	-	rakkaudesta
cl001:004	-	(,)	-	,␣
cl001:004	11	@	-	mikä␣
cl001:004	12	(@)	-	teillä␣
cl001:004	12	@	-	on␣
cl001:004	14	@	-	kaikkia␣
cl001:004	(15) 16	@	-	pyhiä␣
cl001:004	13	@	-	kohtaan
cl001:004	-	(;)	-	;␣
cl001:005	cl001:005	cl001:005	VERSE	Kol␣1:5␣
cl001:005	-	(@)	-	me␣
cl001:005	-	(@)	-	kiitämme␣
cl001:005	-	(@)	-	häntä␣
cl001:005	-	(@)	-	sen␣
cl001:005	(2) 3	@	-	toivon␣
cl001:005	1	@	-	tähden
cl001:005	-	(,)	-	,␣
cl001:005	4	@	-	joka␣
cl001:005	6	@	-	teille␣
cl001:005	5	(@)	-	on␣
cl001:005	5	@	-	talletettuna␣
cl001:005	(8) 9a	@	-	taivaissa␣
cl001:005	7	%case	LOC	
cl001:005	-	(@)	-	ja␣
cl001:005	10	@	-	josta␣
cl001:005	11	@	-	jo␣
cl001:005	11	@	-	ennen␣
cl001:005	11	(@)	-	olette␣
cl001:005	11	@	-	kuulleet␣
cl001:005	17	@	-	sen␣
cl001:005	18	@	-	evankeliumin␣
cl001:005	(15) 16	@	-	totuuden␣
cl001:005	(13) 14	@	-	sanassa
cl001:005	12	%case	LOC	
cl001:005	-	(,)	-	,␣
