1t001:001	1t001:001	1t001:001	VERSE	1Tm␣1:1␣
1t001:001	1	@	-	Paavali
1t001:001	-	(,)	-	,␣
1t001:001	3	@	-	Kristuksen␣
1t001:001	4	@	-	Jeesuksen␣
1t001:001	2	@	-	apostoli
1t001:001	-	(,)	-	,␣
1t001:001	7	@	-	Jumalan
1t001:001	-	(,)	-	,␣
1t001:001	9	@	-	meidän␣
1t001:001	8	@	-	vapahtajamme
1t001:001	-	(,)	-	,␣
1t001:001	10	@	-	ja␣
1t001:001	11	@	-	Kristuksen␣
1t001:001	12	@	-	Jeesuksen
1t001:001	-	(,)	-	,␣
1t001:001	15	@	-	meidän␣
1t001:001	(13) 14	@	-	toivomme
1t001:001	-	(,)	-	,␣
1t001:001	6	@	-	asettama
1t001:001	5	%case	NOM	
1t001:001	-	(,)	-	,␣
1t001:002	1t001:002	1t001:002	VERSE	1Tm␣1:2␣
1t001:002	1	@	-	Timoteukselle
1t001:002	-	(,)	-	,␣
1t001:002	2	@	-	oikealle␣
1t001:002	3	@	-	pojallensa␣
1t001:002	5a	@	-	uskossa
1t001:002	4	%case	LOC	
1t001:002	5b	.	-	.␣
1t001:002	6	@	-	Armo
1t001:002	-	(,)	-	,␣
1t001:002	7	@	-	laupeus␣
1t001:002	-	(@)	-	ja␣
1t001:002	8	@	-	rauha␣
1t001:002	11	@	-	Isältä␣
1t001:002	10	@	-	Jumalalta␣
1t001:002	9	%case	LOC	
1t001:002	12	@	-	ja␣
1t001:002	13	@	-	Kristukselta␣
1t001:002	14	@	-	Jeesukselta
1t001:002	-	(,)	-	,␣
1t001:002	17a	@	-	meidän␣
1t001:002	(15) 16	@	-	Herraltamme
1t001:002	-	(!)	-	!␣
1t001:003	1t001:003	1t001:003	VERSE	1Tm␣1:3␣
1t001:003	1	@	-	Niinkuin␣
1t001:003	2	(@)	-	minä␣
1t001:003	9a	@	-	Makedoniaan␣
1t001:003	8	%case	LOC	
1t001:003	7	@	-	lähtiessäni␣
1t001:003	2	@	-	kehoitin␣
1t001:003	3	@	-	sinua␣
1t001:003	4	@	-	jäämään␣
1t001:003	6	@	-	Efesoon
1t001:003	5	%case	LOC	
1t001:003	9b	,	-	,␣
1t001:003	11	@	-	käskeäksesi␣
1t001:003	10	%case	TRA	
1t001:003	12	@	-	eräitä␣
1t001:003	-	(@)	-	kavahtamaan
1t001:003	-	(,)	-	,␣
1t001:003	13	@	-	etteivät␣
1t001:003	14	@	-	vieraita␣
1t001:003	14	@	-	oppeja␣
1t001:003	14	@	-	opettaisi␣
1t001:004	1t001:004	1t001:004	VERSE	1Tm␣1:4␣
1t001:004	1	@	-	eivätkä␣
1t001:004	2	@	-	puuttuisi␣
1t001:004	3	@	-	taruihin␣
1t001:004	4	@	-	ja␣
1t001:004	6a	@	-	loppumattomiin␣
1t001:004	5	@	-	sukuluetteloihin
1t001:004	6b	,	-	,␣
1t001:004	7	@	-	jotka␣
1t001:004	10	@	-	pikemmin␣
1t001:004	9	@	-	edistävät␣
1t001:004	8	@	-	turhaa␣
1t001:004	8	@	-	mietiskelyä␣
1t001:004	11	@	-	kuin␣
1t001:004	13	@	-	Jumalan␣
1t001:004	12	@	-	armotaloutta
1t001:004	-	(,)	-	,␣
1t001:004	14	@	-	joka␣
1t001:004	14	(@)	-	perustuu␣
1t001:004	16a	@	-	uskoon
1t001:004	15	%case	LOC	
1t001:004	-	(,)	-	,␣
1t001:004	-	(@)	-	niin␣
1t001:004	-	(@)	-	kehoitan␣
1t001:004	-	(@)	-	nytkin
1t001:004	16b	.	-	.␣
1t001:005	1t001:005	1t001:005	VERSE	1Tm␣1:5␣
1t001:005	2	@	-	Mutta␣
1t001:005	(4) 5	@	-	käskyn␣
1t001:005	(1) 3	@	-	päämäärä␣
1t001:005	6	@	-	on␣
1t001:005	7	@	-	rakkaus
1t001:005	-	(,)	-	,␣
1t001:005	-	(@)	-	joka␣
1t001:005	-	(@)	-	tulee␣
1t001:005	9	@	-	puhtaasta␣
1t001:005	10	@	-	sydämestä␣
1t001:005	8	%case	LOC	
1t001:005	11	@	-	ja␣
1t001:005	13	@	-	hyvästä␣
1t001:005	12	@	-	omastatunnosta␣
1t001:005	14	@	-	ja␣
1t001:005	16a	@	-	vilpittömästä␣
1t001:005	15	@	-	uskosta
1t001:005	16b	.	-	.␣
1t001:006	1t001:006	1t001:006	VERSE	1Tm␣1:6␣
1t001:006	2	@	-	Muutamat␣
1t001:006	3	(@)	-	ovat␣
1t001:006	3	@	-	hairahtuneet␣
1t001:006	1	@	-	niistä␣
1t001:006	3	@	-	pois␣
1t001:006	-	(@)	-	ja␣
1t001:006	4	@	-	poikenneet␣
1t001:006	6	@	-	turhiin␣
1t001:006	6	@	-	jaarituksiin
1t001:006	5	%case	LOC	
1t001:006	-	(,)	-	,␣
1t001:007	1t001:007	1t001:007	VERSE	1Tm␣1:7␣
1t001:007	1	@	-	tahtoen␣
1t001:007	2	@	-	olla␣
1t001:007	3a	@	-	lainopettajia
1t001:007	3b	,	-	,␣
1t001:007	5	(@)	-	vaikka␣
1t001:007	4	@	-	eivät␣
1t001:007	5	@	-	ymmärrä
1t001:007	-	(,)	-	,␣
1t001:007	6 7	@	-	mitä␣
1t001:007	8	@	-	puhuvat␣
1t001:007	9	@	-	ja␣
1t001:007	11	@	-	minkä␣
1t001:007	10	%case	GEN	
1t001:007	12a	@	-	varmaksi␣
1t001:007	12a	@	-	väittävät
1t001:007	12b	.	-	.␣
1t001:008	1t001:008	1t001:008	VERSE	1Tm␣1:8␣
1t001:008	2	@	-	Mutta␣
1t001:008	1	(@)	-	me␣
1t001:008	1	@	-	tiedämme
1t001:008	-	(,)	-	,␣
1t001:008	3	@	-	että␣
1t001:008	(5) 6a	@	-	laki␣
1t001:008	-	(@)	-	on␣
1t001:008	4	@	-	hyvä
1t001:008	6b	,	-	,␣
1t001:008	7	@	-	kun␣
1t001:008	(8)	-	UNTRANSLATED	
1t001:008	9	@	-	sitä␣
1t001:008	10	@	-	lain␣
1t001:008	sem%10	@	-	mukaisesti␣
1t001:008	11a	@	-	käytetään␣
1t001:009	1t001:009	1t001:009	VERSE	1Tm␣1:9␣
1t001:009	-	(@)	-	ja␣
1t001:009	1	@	-	tiedetään
1t001:009	(2a)	-	UNTRANSLATED	
1t001:009	-	(,)	-	,␣
1t001:009	3	@	-	että␣
1t001:009	5	@	-	lakia␣
1t001:009	6	@	-	ei␣
1t001:009	7a	(@)	-	ole␣
1t001:009	7a	@	-	pantu␣
1t001:009	4	@	-	vanhurskaalle
1t001:009	7b	,	-	,␣
