ti001:001	ti001:001	ti001:001	VERSE	Tiit␣1:1␣
ti001:001	1	@	-	Paavali
ti001:001	-	(,)	-	,␣
ti001:001	3a	@	-	Jumalan␣
ti001:001	2	@	-	palvelija␣
ti001:001	5	@	-	ja␣
ti001:001	6	@	-	Jeesuksen␣
ti001:001	7	@	-	Kristuksen␣
ti001:001	4	@	-	apostoli␣
ti001:001	11	@	-	Jumalan␣
ti001:001	10	@	-	valittujen␣
ti001:001	9	@	-	uskoa␣
ti001:001	12	@	-	ja␣
ti001:001	-	(@)	-	sen␣
ti001:001	14	@	-	totuuden␣
ti001:001	13	@	-	tuntemista␣
ti001:001	8	@	-	varten
ti001:001	-	(,)	-	,␣
ti001:001	15	@	-	joka␣
ti001:001	-	(@)	-	on␣
ti001:001	17	@	-	jumalisuuden␣
ti001:001	16	@	-	mukainen
ti001:001	-	(,)	-	,␣
ti001:002	ti001:002	ti001:002	VERSE	Tiit␣1:2␣
ti001:002	-	(@)	-	apostoli␣
ti001:002	-	(@)	-	sen␣
ti001:002	4a	@	-	iankaikkisen␣
ti001:002	3	@	-	elämän␣
ti001:002	2	@	-	toivon␣
ti001:002	1	@	-	perusteella
ti001:002	4b	,	-	,␣
ti001:002	5	@	-	jonka␣
ti001:002	9	@	-	Jumala
ti001:002	-	(,)	-	,␣
ti001:002	7	@	-	joka␣
ti001:002	8	@	-	ei␣
ti001:002	8	@	-	valhettele
ti001:002	-	(,)	-	,␣
ti001:002	6	(@)	-	on␣
ti001:002	6	@	-	luvannut␣
ti001:002	10	@	-	ennen␣
ti001:002	12a	@	-	ikuisia␣
ti001:002	11	@	-	aikoja␣
ti001:002	12b	-	-	-␣
ti001:003	ti001:003	ti001:003	VERSE	Tiit␣1:3␣
ti001:003	2	@	-	mutta␣
ti001:003	-	(@)	-	kun␣
ti001:003	3	@	-	aika␣
ti001:003	pro%4	(@)	-	oli␣
ti001:003	pro%4	@	-	tullut
ti001:003	-	(,)	-	,␣
ti001:003	1	@	-	ilmoitti␣
ti001:003	1	(@)	-	hän␣
ti001:003	(5) 6	@	-	sanansa␣
ti001:003	7	%pers	3	
ti001:003	9a	@	-	saarnassa
ti001:003	8	%case	LOC	
ti001:003	9b	,	-	,␣
ti001:003	10	@	-	joka␣
ti001:003	11	(@)	-	on␣
ti001:003	11	@	-	uskottu␣
ti001:003	12	@	-	minulle␣
ti001:003	18a	@	-	Jumalan
ti001:003	-	(,)	-	,␣
ti001:003	17	@	-	meidän␣
ti001:003	(15) 16	@	-	vapahtajamme
ti001:003	-	(,)	-	,␣
ti001:003	14	@	-	käskyn␣
ti001:003	13	@	-	mukaan
ti001:003	18b	:	-	:␣
ti001:004	ti001:004	ti001:004	VERSE	Tiit␣1:4␣
ti001:004	1	@	-	Tiitukselle
ti001:004	-	(,)	-	,␣
ti001:004	2	@	-	oikealle␣
ti001:004	3	@	-	pojalleni␣
ti001:004	5	@	-	yhteisen␣
ti001:004	6a	@	-	uskomme␣
ti001:004	4	@	-	perusteella
ti001:004	6b	.	-	.␣
ti001:004	7	@	-	Armo␣
ti001:004	8	@	-	ja␣
ti001:004	9	@	-	rauha␣
ti001:004	12	@	-	Isältä␣
ti001:004	11	@	-	Jumalalta␣
ti001:004	10	%case	LOC	
ti001:004	13	@	-	ja␣
ti001:004	18a	@	-	meidän␣
ti001:004	(16) 17	@	-	Vapahtajaltamme␣
ti001:004	14	@	-	Kristukselta␣
ti001:004	15	@	-	Jeesukselta
ti001:004	-	(!)	-	!␣
ti001:005	ti001:005	ti001:005	VERSE	Tiit␣1:5␣
ti001:005	3	(@)	-	Minä␣
ti001:005	3	@	-	jätin␣
ti001:005	4	@	-	sinut␣
ti001:005	6a	@	-	Kreettaan␣
ti001:005	5	%case	LOC	
ti001:005	1	@	-	sitä␣
ti001:005	2	@	-	varten
ti001:005	6b	,	-	,␣
ti001:005	7	@	-	että␣
ti001:005	10	@	-	järjestäisit
ti001:005	-	(,)	-	,␣
ti001:005	8	@	-	mitä␣
ti001:005	-	(@)	-	vielä␣
ti001:005	9	@	-	jäi␣
ti001:005	9	(@)	-	järjestämättä
ti001:005	-	(,)	-	,␣
ti001:005	11	@	-	ja␣
ti001:005	-	(@)	-	että␣
ti001:005	12	@	-	asettaisit
ti001:005	-	(,)	-	,␣
ti001:005	16	@	-	niinkuin␣
ti001:005	17	@	-	minä␣
ti001:005	18	@	-	sinulle␣
ti001:005	19a	@	-	määräsin
ti001:005	-	(,)	-	,␣
ti001:005	13	@	-	joka␣
ti001:005	14	@	-	kaupunkiin␣
ti001:005	15a	@	-	vanhimmat
ti001:005	19b	,	-	,␣
ti001:006	ti001:006	ti001:006	VERSE	Tiit␣1:6␣
ti001:006	1	@	-	jos␣
ti001:006	-	(@)	-	missä␣
ti001:006	3	@	-	olisi␣
ti001:006	2	@	-	joku␣
ti001:006	4a	@	-	nuhteeton
ti001:006	4b	,	-	,␣
ti001:006	5	@	-	yhden␣
ti001:006	6	@	-	vaimon␣
ti001:006	7a	@	-	mies
ti001:006	7b	,	-	,␣
ti001:006	9	(@)	-	jonka␣
ti001:006	8	@	-	lapset␣
ti001:006	9	@	-	ovat␣
ti001:006	10a	@	-	uskovia
ti001:006	10b	,	-	,␣
ti001:006	11	@	-	eivät␣
ti001:006	14	@	-	irstaudesta␣
ti001:006	13	@	-	syytettyjä␣
ti001:006	12	%case	PTV	
ti001:006	15	@	-	eivätkä␣
ti001:006	16a	@	-	niskoittelevia
ti001:006	16b	.	-	.␣
ti001:007	ti001:007	ti001:007	VERSE	Tiit␣1:7␣
ti001:007	2	@	-	Sillä␣
ti001:007	(3) 4	@	-	seurakunnan␣
ti001:007	(3) 4	@	-	kaitsijan␣
ti001:007	1	@	-	on
