pm000:001	pm000:001	pm000:001	VERSE	Flm␣0:1␣
pm000:001	1	@	-	Paavali
pm000:001	-	(,)	-	,␣
pm000:001	3	@	-	Kristuksen␣
pm000:001	4	@	-	Jeesuksen␣
pm000:001	2	@	-	vanki
pm000:001	-	(,)	-	,␣
pm000:001	5	@	-	ja␣
pm000:001	(7) 8	@	-	veli␣
pm000:001	6	@	-	Timoteus␣
pm000:001	11	@	-	rakkaalle␣
pm000:001	(10) 9	@	-	Filemonille
pm000:001	(12)	-	UNTRANSLATED	
pm000:001	-	(,)	-	,␣
pm000:001	13	@	-	työtoverillemme
pm000:001	14	%pers	?	
pm000:001	-	(,)	-	,␣
pm000:002	pm000:002	pm000:002	VERSE	Flm␣0:2␣
pm000:002	1	@	-	ja␣
pm000:002	2	@	-	Appialle
pm000:002	-	(,)	-	,␣
pm000:002	(3) 4	@	-	sisarellemme
pm000:002	-	(,)	-	,␣
pm000:002	5	@	-	ja␣
pm000:002	6	@	-	Arkippukselle
pm000:002	-	(,)	-	,␣
pm000:002	(7) 8	@	-	taistelutoverillemme
pm000:002	9	%pers	?	
pm000:002	-	(,)	-	,␣
pm000:002	10	@	-	ja␣
pm000:002	14	@	-	sinun␣
pm000:002	13	@	-	kodissasi␣
pm000:002	pro%12	@	-	kokoontuvalle␣
pm000:002	(11) 15a	@	-	seurakunnalle
pm000:002	15b	.	-	.␣
pm000:003	pm000:003	pm000:003	VERSE	Flm␣0:3␣
pm000:003	1	@	-	Armo␣
pm000:003	2	@	-	teille␣
pm000:003	3	@	-	ja␣
pm000:003	4	@	-	rauha␣
pm000:003	6	@	-	Jumalalta
pm000:003	5	%case	LOC	
pm000:003	-	(,)	-	,␣
pm000:003	8	@	-	meidän␣
pm000:003	7	@	-	Isältämme
pm000:003	-	(,)	-	,␣
pm000:003	9	@	-	ja␣
pm000:003	10	@	-	Herralta␣
pm000:003	11	@	-	Jeesukselta␣
pm000:003	12a	@	-	Kristukselta
pm000:003	-	(!)	-	!␣
pm000:004	pm000:004	pm000:004	VERSE	Flm␣0:4␣
pm000:004	1	(@)	-	Minä␣
pm000:004	1	@	-	kiitän␣
pm000:004	(2) 3	@	-	Jumalaani␣
pm000:004	4	%pers	?	
pm000:004	5	@	-	aina
pm000:004	-	(,)	-	,␣
pm000:004	6 8	@	-	muistaessani␣
pm000:004	7	@	-	sinua␣
pm000:004	(10) 11	@	-	rukouksissani
pm000:004	12a	%pers	?	
pm000:004	9	%case	LOC	
pm000:004	12b	,	-	,␣
pm000:005	pm000:005	pm000:005	VERSE	Flm␣0:5␣
pm000:005	1	(@)	-	sillä␣
pm000:005	1	(@)	-	minä␣
pm000:005	1	(@)	-	olen␣
pm000:005	1	@	-	kuullut␣
pm000:005	2	@	-	sinun␣
pm000:005	(3) 4	@	-	rakkaudestasi␣
pm000:005	5	@	-	ja␣
