jm001:001	jm001:001	jm001:001	VERSE	Jaak␣1:1␣
jm001:001	1	@	-	Jaakob
jm001:001	-	(,)	-	,␣
jm001:001	2	@	-	Jumalan␣
jm001:001	3	@	-	ja␣
jm001:001	4	@	-	Herran␣
jm001:001	5	@	-	Jeesuksen␣
jm001:001	6	@	-	Kristuksen␣
jm001:001	7	@	-	palvelija
jm001:001	-	(,)	-	,␣
jm001:001	15a	@	-	lähettää␣
jm001:001	15a	@	-	tervehdyksen␣
jm001:001	9	@	-	kahdelletoista␣
jm001:001	(11)	-	UNTRANSLATED	
jm001:001	(13) 14	@	-	hajalla␣
jm001:001	(13) 14	@	-	asuvalle␣
jm001:001	12	%case	LOC	
jm001:001	10 (8)	@	-	sukukunnalle
jm001:001	15b	.	-	.␣
jm001:002	jm001:002	jm001:002	VERSE	Jaak␣1:2␣
jm001:002	4	@	-	Veljeni
jm001:002	5a	%pers	?	
jm001:002	-	(,)	-	,␣
jm001:002	3a	@	-	pitäkää␣
jm001:002	1	@	-	pelkkänä␣
jm001:002	2	@	-	ilona
jm001:002	5b	,	-	,␣
jm001:002	6	@	-	kun␣
jm001:002	8	@	-	joudutte␣
jm001:002	9a	@	-	moninaisiin␣
jm001:002	7	@	-	kiusauksiin
jm001:002	9b	,	-	,␣
jm001:003	jm001:003	jm001:003	VERSE	Jaak␣1:3␣
jm001:003	1	@	-	tietäen
jm001:003	-	(,)	-	,␣
jm001:003	2	@	-	että␣
jm001:003	5	@	-	teidän␣
jm001:003	(6) 7	@	-	uskonne␣
jm001:003	(3) 4	@	-	kestäväisyys␣
jm001:003	(3) 4	@	-	koetuksissa␣
jm001:003	8	@	-	saa␣
jm001:003	8	@	-	aikaan␣
jm001:003	9a	@	-	kärsivällisyyttä
jm001:003	9b	.	-	.␣
jm001:004	jm001:004	jm001:004	VERSE	Jaak␣1:4␣
jm001:004	2	@	-	Ja␣
jm001:004	(1) 3	@	-	kärsivällisyys␣
jm001:004	6a	@	-	tuottakoon␣
jm001:004	5	@	-	täydellisen␣
jm001:004	4	@	-	teon
jm001:004	6b	,	-	,␣
jm001:004	7	@	-	että␣
jm001:004	8	(@)	-	te␣
jm001:004	8	@	-	olisitte␣
jm001:004	9	@	-	täydelliset␣
jm001:004	10	@	-	ja␣
jm001:004	11	@	-	eheät␣
jm001:004	13	@	-	ettekä␣
jm001:004	13	@	-	missään␣
jm001:004	12	%case	LOC	
jm001:004	14a	@	-	puuttuvaiset
jm001:004	14b	.	-	.␣
jm001:005	jm001:005	jm001:005	VERSE	Jaak␣1:5␣
jm001:005	2	@	-	Mutta␣
jm001:005	1	@	-	jos␣
jm001:005	3	@	-	joltakin␣
jm001:005	4	@	-	teistä␣
jm001:005	5	@	-	puuttuu␣
jm001:005	6a	@	-	viisautta
jm001:005	6b	,	-	,␣
jm001:005	7	@	-	anokoon␣
jm001:005	-	(@)	-	sitä␣
jm001:005	11	@	-	Jumalalta
jm001:005	8	%case	LOC	
jm001:005	-	(,)	-	,␣
jm001:005	9	@	-	joka␣
jm001:005	10	@	-	antaa␣
jm001:005	12	@	-	kaikille␣
jm001:005	13	@	-	alttiisti␣
jm001:005	14	@	-	ja␣
jm001:005	16	@	-	soimaamatta
jm001:005	15	%inflection	INF3.ABE	
jm001:005	-	(,)	-	,␣
jm001:005	17	@	-	niin␣
jm001:005	18	(@)	-	se␣
jm001:005	19a	@	-	hänelle␣
jm001:005	18	@	-	annetaan
jm001:005	19b	.	-	.␣
jm001:006	jm001:006	jm001:006	VERSE	Jaak␣1:6␣
jm001:006	2	@	-	Mutta␣
jm001:006	1	@	-	anokoon␣
jm001:006	4	@	-	uskossa
jm001:006	3	%case	LOC	
jm001:006	-	(,)	-	,␣
jm001:006	5	@	-	ollenkaan␣
jm001:006	6a	@	-	epäilemättä
jm001:006	6b	;	-	;␣
jm001:006	8	@	-	sillä␣
jm001:006	7	@	-	joka␣
jm001:006	9	@	-	epäilee
jm001:006	-	(,)	-	,␣
jm001:006	10	@	-	on␣
jm001:006	12	@	-	meren␣
jm001:006	11	@	-	aallon␣
jm001:006	10	@	-	kaltainen
jm001:006	-	(,)	-	,␣
jm001:006	13	(@)	-	jota␣
jm001:006	13	@	-	tuuli␣
jm001:006	13	@	-	ajaa␣
jm001:006	14	@	-	ja␣
jm001:006	15a	@	-	heittelee
jm001:006	15b	.	-	.␣
jm001:007	jm001:007	jm001:007	VERSE	Jaak␣1:7␣
jm001:007	1	@	-	Älköön␣
jm001:007	(2)	-	UNTRANSLATED	
jm001:007	6	@	-	sellainen␣
jm001:007	(4) 5	@	-	ihminen␣
jm001:007	3	@	-	luulko␣
jm001:007	(7)	-	UNTRANSLATED	
jm001:007	(11) 12a	@	-	Herralta␣
jm001:007	10	%case	LOC	
jm001:007	9	@	-	mitään␣
jm001:007	8	@	-	saavansa
jm001:007	12b	,	-	,␣
jm001:008	jm001:008	jm001:008	VERSE	Jaak␣1:8␣
jm001:008	2a	@	-	kaksimielinen␣
jm001:008	1	@	-	mies
jm001:008	2b	,	-	,␣
jm001:008	3	@	-	epävakainen␣
jm001:008	5	@	-	kaikilla␣
jm001:008	(6) 7	@	-	teillään
jm001:008	8a	%pers	3	
jm001:008	4	%case	LOC	
jm001:008	8b	.	-	.␣
jm001:009	jm001:009	jm001:009	VERSE	Jaak␣1:9␣
jm001:009	(5) 6	@	-	Alhainen␣
jm001:009	(3) 4	@	-	veli␣
jm001:009	1	@	-	kerskatkoon␣
jm001:009	(2)	-	UNTRANSLATED	
jm001:009	(8) 9	@	-	ylhäisyydestään
jm001:009	10a	%pers	3	
jm001:009	7	%case	LOC	
jm001:009	10b	,	-	,␣
jm001:010	jm001:010	jm001:010	VERSE	Jaak␣1:10␣
jm001:010	2	@	-	mutta␣
jm001:010	(1) 3	@	-	rikas␣
jm001:010	(5) 6	@	-	alhaisuudestaan
jm001:010	7a	%pers	3	
jm001:010	4	%case	LOC	
jm001:010	7b	,	-	,␣
jm001:010	8	@	-	sillä␣
jm001:010	12a	(@)	-	hän␣
jm001:010	12a	(@)	-	on␣
jm001:010	12a	@	-	katoava␣
jm001:010	9	@	-	niinkuin␣
jm001:010	11	@	-	ruohon␣
jm001:010	10	@	-	kukka
jm001:010	12b	.	-	.␣
jm001:011	jm001:011	jm001:011	VERSE	Jaak␣1:11␣
jm001:011	(3) 4	@	-	Aurinko␣
jm001:011	(2)	-	UNTRANSLATED	
jm001:011	1	@	-	nousee␣
jm001:011	(6) 7	@	-	helteineen␣
jm001:011	5	%case	CMT	
jm001:011	8	@	-	ja␣
jm001:011	9	@	-	kuivaa␣
jm001:011	(10) 11	@	-	ruohon
jm001:011	-	(,)	-	,␣
jm001:011	12	@	-	ja␣
jm001:011	15	@	-	sen␣
jm001:011	(13) 14	@	-	kukka␣
jm001:011	16	@	-	varisee
jm001:011	-	(,)	-	,␣
jm001:011	17	@	-	ja␣
jm001:011	22	@	-	sen␣
jm001:011	(20) 21	@	-	muodon␣
jm001:011	(18) 19	@	-	sulous␣
jm001:011	23a	@	-	häviää
jm001:011	23b	;	-	;␣
jm001:011	24	@	-	niin␣
jm001:011	32a	(@)	-	on␣
jm001:011	(26) 27	@	-	rikaskin␣
jm001:011	25	%clitic	kin	
jm001:011	32a	@	-	lakastuva␣
jm001:011	(29) 30	@	-	retkillänsä
jm001:011	31	%pers	3	
jm001:011	28	%case	LOC	
jm001:011	32b	.	-	.␣
jm001:012	jm001:012	jm001:012	VERSE	Jaak␣1:12␣
jm001:012	1	@	-	Autuas␣
jm001:012	-	(@)	-	se␣
jm001:012	2	@	-	mies
jm001:012	-	(,)	-	,␣
jm001:012	3	@	-	joka␣
jm001:012	5a	@	-	kiusauksen␣
jm001:012	4	@	-	kestää
jm001:012	5b	,	-	,␣
jm001:012	6	@	-	sillä␣
jm001:012	8	(@)	-	kun␣
jm001:012	-	(@)	-	hänet␣
jm001:012	8	@	-	on␣
jm001:012	7	@	-	koeteltu
jm001:012	-	(,)	-	,␣
jm001:012	9	(@)	-	on␣
jm001:012	9	(@)	-	hän␣
jm001:012	9	@	-	saava␣
jm001:012	(12) 13	@	-	elämän␣
jm001:012	(10) 11	@	-	kruunun
jm001:012	-	(,)	-	,␣
jm001:012	14	@	-	jonka␣
jm001:012	-	(@)	-	Herra␣
jm001:012	15	(@)	-	on␣
jm001:012	15	@	-	luvannut␣
jm001:012	16	@	-	niille
jm001:012	-	(,)	-	,␣
jm001:012	16	@	-	jotka␣
jm001:012	18a	@	-	häntä␣
jm001:012	17	@	-	rakastavat
jm001:012	-	(!)	-	!␣
jm001:013	jm001:013	jm001:013	VERSE	Jaak␣1:13␣
jm001:013	1	@	-	Älköön␣
jm001:013	1	@	-	kukaan
jm001:013	-	(,)	-	,␣
jm001:013	2	@	-	kiusauksessa␣
jm001:013	2	@	-	ollessaan
jm001:013	-	(,)	-	,␣
jm001:013	3	@	-	sanoko
jm001:013	(4)	-	UNTRANSLATED	
jm001:013	-	(:)	-	:␣
