1p001:001	1p001:001	1p001:001	VERSE	1Pt␣1:1␣
1p001:001	1	@	-	Pietari
1p001:001	-	(,)	-	,␣
1p001:001	3	@	-	Jeesuksen␣
1p001:001	4	@	-	Kristuksen␣
1p001:001	2	@	-	apostoli
1p001:001	-	(,)	-	,␣
1p001:001	5	@	-	valituille␣
1p001:001	6	@	-	muukalaisille
1p001:001	-	(,)	-	,␣
1p001:001	7	@	-	jotka␣
1p001:001	7	@	-	asuvat␣
1p001:001	7	@	-	hajallaan␣
1p001:001	8a	@	-	Pontossa
1p001:001	8b	,	-	,␣
1p001:001	9a	@	-	Galatiassa
1p001:001	9b	,	-	,␣
1p001:001	10a	@	-	Kappadokiassa
1p001:001	10b	,	-	,␣
1p001:001	11	@	-	Aasiassa␣
1p001:001	12	@	-	ja␣
1p001:001	13a	@	-	Bityniassa
1p001:001	13b	,	-	,␣
1p001:002	1p001:002	1p001:002	VERSE	1Pt␣1:2␣
1p001:002	-	(@)	-	ja␣
1p001:002	-	(@)	-	jotka␣
1p001:002	4	@	-	Isän␣
1p001:002	3	@	-	Jumalan␣
1p001:002	2	@	-	edeltätietämisen␣
1p001:002	1	@	-	mukaan␣
1p001:002	-	(@)	-	ovat␣
1p001:002	7	@	-	Hengen␣
1p001:002	6	@	-	pyhittämisen␣
1p001:002	5	@	-	kautta␣
1p001:002	-	(@)	-	valitut␣
1p001:002	13	@	-	Jeesuksen␣
1p001:002	14a	@	-	Kristuksen␣
1p001:002	9	@	-	kuuliaisuuteen␣
1p001:002	8	%case	LOC	
1p001:002	10	@	-	ja␣
1p001:002	-	(@)	-	hänen␣
1p001:002	12	@	-	verellänsä␣
1p001:002	11	@	-	vihmottaviksi
1p001:002	14b	.	-	.␣
1p001:002	19a	@	-	Lisääntyköön␣
1p001:002	16	@	-	teille␣
1p001:002	15	@	-	armo␣
1p001:002	17	@	-	ja␣
1p001:002	18	@	-	rauha
1p001:002	19b	.	-	.␣
1p001:003	1p001:003	1p001:003	VERSE	1Pt␣1:3␣
1p001:003	1	@	-	Ylistetty␣
1p001:003	1	(@)	-	olkoon␣
1p001:003	8	@	-	meidän␣
1p001:003	(6) 7	@	-	Herramme␣
1p001:003	9	@	-	Jeesuksen␣
1p001:003	10a	@	-	Kristuksen␣
1p001:003	(2) 3	@	-	Jumala␣
1p001:003	4	@	-	ja␣
1p001:003	5	@	-	Isä
1p001:003	10b	,	-	,␣
1p001:003	11	@	-	joka␣
1p001:003	14	@	-	suuren␣
1p001:003	(13) 16	@	-	laupeutensa␣
1p001:003	15	%pers	3	
1p001:003	12	@	-	mukaan␣
1p001:003	17	(@)	-	on␣
1p001:003	17	@	-	uudestisynnyttänyt␣
1p001:003	18	@	-	meidät␣
1p001:003	21	@	-	elävään␣
1p001:003	20	@	-	toivoon␣
1p001:003	19	%case	LOC	
1p001:003	24	@	-	Jeesuksen␣
1p001:003	25	@	-	Kristuksen␣
1p001:003	23 27a	@	-	kuolleistanousemisen␣
1p001:003	26	%case	GEN	
1p001:003	22	@	-	kautta
1p001:003	27b	,	-	,␣
1p001:004	1p001:004	1p001:004	VERSE	1Pt␣1:4␣
1p001:004	3	@	-	turmeltumattomaan␣
1p001:004	4	@	-	ja␣
1p001:004	5	@	-	saastumattomaan␣
1p001:004	6	@	-	ja␣
1p001:004	7a	@	-	katoamattomaan␣
1p001:004	2	@	-	perintöön
1p001:004	1	%case	LOC	
1p001:004	-	(,)	-	,␣
1p001:004	8	(@)	-	joka␣
1p001:004	10	@	-	taivaissa␣
1p001:004	9	%case	LOC	
1p001:004	8	(@)	-	on␣
1p001:004	8	@	-	säilytettynä␣
1p001:004	12	@	-	teitä␣
1p001:004	11	@	-	varten
1p001:004	-	(,)	-	,␣
1p001:005	1p001:005	1p001:005	VERSE	1Pt␣1:5␣
1p001:005	1	@	-	jotka␣
1p001:005	4	@	-	Jumalan␣
1p001:005	3	@	-	voimasta␣
1p001:005	2	%case	LOC	
1p001:005	7	@	-	uskon␣
1p001:005	6	@	-	kautta␣
1p001:005	5	@	-	varjellutte␣
1p001:005	9	@	-	pelastukseen
1p001:005	8	%case	LOC	
1p001:005	-	(,)	-	,␣
1p001:005	-	(@)	-	joka␣
1p001:005	-	(@)	-	on␣
1p001:005	10	@	-	valmis␣
1p001:005	11	@	-	ilmoitettavaksi␣
1p001:005	14a	@	-	viimeisenä␣
1p001:005	13	@	-	aikana
1p001:005	12	%case	ESS	
1p001:005	14b	.	-	.␣
1p001:006	1p001:006	1p001:006	VERSE	1Pt␣1:6␣
1p001:006	2	@	-	Sentähden␣
1p001:006	1	%case	?	
1p001:006	3a	(@)	-	te␣
1p001:006	3a	@	-	riemuitsette
1p001:006	-	(,)	-	,␣
1p001:006	9	(@)	-	vaikka␣
1p001:006	9	(@)	-	te␣
1p001:006	5	@	-	nyt
1p001:006	-	(,)	-	,␣
1p001:006	6	@	-	jos␣
1p001:006	8a	(@)	-	se␣
1p001:006	8a	@	-	on␣
1p001:006	7a	@	-	tarpeellista
1p001:006	-	(,)	-	,␣
1p001:006	4	@	-	vähän␣
1p001:006	4	(@)	-	aikaa␣
1p001:006	9	@	-	kärsittekin␣
1p001:006	9	@	-	murhetta␣
1p001:006	11	@	-	moninaisissa␣
1p001:006	12a	@	-	kiusauksissa
1p001:006	10	%case	LOC	
1p001:006	12b	,	-	,␣
1p001:007	1p001:007	1p001:007	VERSE	1Pt␣1:7␣
1p001:007	1	@	-	että␣
1p001:007	4	@	-	teidän␣
1p001:007	(5) 6	@	-	uskonne␣
1p001:007	(2) 3	@	-	kestäväisyys␣
1p001:007	(2) 3	@	-	koetuksissa␣
1p001:007	-	(@)	-	havaittaisiin␣
1p001:007	7	@	-	paljoa␣
1p001:007	7	@	-	kallisarvoisemmaksi␣
1p001:007	7	@	-	kuin␣
1p001:007	10	@	-	katoava␣
1p001:007	8 (9)	@	-	kulta
1p001:007	-	(,)	-	,␣
1p001:007	14a	(@)	-	joka␣
1p001:007	13	@	-	kuitenkin␣
1p001:007	12	@	-	tulessa␣
1p001:007	11	%case	LOC	
1p001:007	14a	@	-	koetellaan
1p001:007	-	(,)	-	,␣
1p001:007	-	(@)	-	ja␣
1p001:007	15	@	-	koituisi␣
1p001:007	17	@	-	kiitokseksi
1p001:007	16	%case	TRA	
