2j000:001	2j000:001	2j000:001	VERSE	2Jh␣0:1␣
2j000:001	(1) 2	@	-	Vanhin␣
2j000:001	3	@	-	valitulle␣
2j000:001	4	@	-	rouvalle␣
2j000:001	5	@	-	ja␣
2j000:001	8a	@	-	hänen␣
2j000:001	(6) 7	@	-	lapsillensa
2j000:001	8b	,	-	,␣
2j000:001	9	@	-	joita␣
2j000:001	10	@	-	minä␣
2j000:001	13a	@	-	totuudessa␣
2j000:001	12	%case	LOC	
2j000:001	11	@	-	rakastan␣
2j000:001	13b	-	-	-␣
2j000:001	15	@	-	enkä␣
2j000:001	14	%clitic	kA	
2j000:001	17	@	-	ainoastaan␣
2j000:001	16	@	-	minä
2j000:001	-	(,)	-	,␣
2j000:001	18	@	-	vaan␣
2j000:001	19	@	-	myös␣
2j000:001	20	@	-	kaikki
2j000:001	-	(,)	-	,␣
2j000:001	21	@	-	jotka␣
2j000:001	22	(@)	-	ovat␣
2j000:001	22	@	-	tulleet␣
2j000:001	(23) 24a	@	-	totuuden␣
2j000:001	22	@	-	tuntemaan␣
2j000:001	24b	-	-	-␣
2j000:002	2j000:002	2j000:002	VERSE	2Jh␣0:2␣
2j000:002	(2) 3	@	-	totuuden␣
2j000:002	1	@	-	tähden
2j000:002	-	(,)	-	,␣
2j000:002	4	@	-	joka␣
2j000:002	7	@	-	meissä␣
2j000:002	6	%case	LOC	
2j000:002	5	@	-	pysyy␣
2j000:002	8	@	-	ja␣
2j000:002	11	(@)	-	on␣
2j000:002	11	@	-	oleva␣
2j000:002	10	@	-	meidän␣
2j000:002	9	@	-	kanssamme␣
2j000:002	(13) 14a	@	-	iankaikkisesti
2j000:002	12	%case	MAN	
2j000:002	14b	.	-	.␣
2j000:003	2j000:003	2j000:003	VERSE	2Jh␣0:3␣
2j000:003	4	@	-	Armo
2j000:003	-	(,)	-	,␣
2j000:003	5	@	-	laupeus␣
2j000:003	-	(@)	-	ja␣
2j000:003	6	@	-	rauha␣
2j000:003	9	@	-	Isältä␣
2j000:003	8	@	-	Jumalalta␣
2j000:003	7	%case	LOC	
2j000:003	10	@	-	ja␣
2j000:003	12	@	-	Jeesukselta␣
2j000:003	13	@	-	Kristukselta
2j000:003	11	%case	LOC	
2j000:003	-	(,)	-	,␣
2j000:003	(16) 17	@	-	Isän␣
2j000:003	(14) 15	@	-	Pojalta
2j000:003	-	(,)	-	,␣
2j000:003	1	(@)	-	on␣
2j000:003	1	@	-	oleva␣
2j000:003	3	@	-	meidän␣
2j000:003	2	@	-	kanssamme
2j000:003	-	(,)	-	,␣
2j000:003	19	@	-	totuudessa␣
2j000:003	18	%case	LOC	
2j000:003	20	@	-	ja␣
2j000:003	21a	@	-	rakkaudessa
2j000:003	21b	.	-	.␣
2j000:004	2j000:004	2j000:004	VERSE	2Jh␣0:4␣
2j000:004	1	(@)	-	Minua␣
2j000:004	1	(@)	-	on␣
2j000:004	2	@	-	suuresti␣
2j000:004	1	@	-	ilahuttanut
2j000:004	-	(,)	-	,␣
2j000:004	3	@	-	että␣
2j000:004	4	(@)	-	olen␣
2j000:004	(6) 7	@	-	lastesi␣
2j000:004	8	%pers	?	
2j000:004	5	@	-	joukossa␣
2j000:004	4	@	-	havainnut␣
2j000:004	-	(@)	-	olevan␣
2j000:004	-	(@)	-	niitä
2j000:004	-	(,)	-	,␣
2j000:004	9	(@)	-	jotka␣
2j000:004	11a	@	-	totuudessa␣
2j000:004	10	%case	LOC	
2j000:004	9	@	-	vaeltavat␣
2j000:004	-	(@)	-	sen␣
2j000:004	13	@	-	käskyn␣
2j000:004	12	@	-	mukaan
2j000:004	-	(,)	-	,␣
2j000:004	-	(@)	-	jonka␣
2j000:004	14	(@)	-	me␣
2j000:004	14	(@)	-	olemme␣
2j000:004	14	@	-	saaneet␣
2j000:004	(16) 17a	@	-	Isältä
2j000:004	15	%case	LOC	
2j000:004	17b	.	-	.␣
2j000:005	2j000:005	2j000:005	VERSE	2Jh␣0:5␣
2j000:005	1	@	-	Ja␣
2j000:005	2	@	-	nyt
2j000:005	-	(,)	-	,␣
2j000:005	5a	@	-	rouva
2j000:005	-	(,)	-	,␣
2j000:005	3	(@)	-	minulla␣
2j000:005	3	@	-	on␣
2j000:005	4a	@	-	sinulle␣
2j000:005	3	@	-	pyyntö
2j000:005	5b	,	-	,␣
2j000:005	6	@	-	ei␣
2j000:005	7	@	-	niinkuin␣
2j000:005	10	@	-	kirjoittaisin␣
2j000:005	11	@	-	sinulle␣
2j000:005	9	@	-	uuden␣
2j000:005	8	@	-	käskyn
2j000:005	-	(,)	-	,␣
2j000:005	12	@	-	vaan␣
2j000:005	-	(@)	-	minä␣
2j000:005	-	(@)	-	kirjoitan␣
2j000:005	13	@	-	sen
2j000:005	-	(,)	-	,␣
2j000:005	13	@	-	joka␣
2j000:005	14	(@)	-	meillä␣
2j000:005	16a	@	-	alusta␣
2j000:005	15	@	-	asti␣
2j000:005	14	(@)	-	on␣
2j000:005	14	@	-	ollut
2j000:005	16b	:	-	:␣
2j000:005	17	@	-	että␣
2j000:005	18	(@)	-	meidän␣
2j000:005	tasp%18	@	-	tulee␣
2j000:005	18	@	-	rakastaa␣
2j000:005	19a	@	-	toinen␣
2j000:005	19a	@	-	toistamme
2j000:005	19b	.	-	.␣
2j000:006	2j000:006	2j000:006	VERSE	2Jh␣0:6␣
2j000:006	1	@	-	Ja␣
2j000:006	2	@	-	tämä␣
2j000:006	3	@	-	on␣
2j000:006	(4) 5a	@	-	rakkaus
2j000:006	5b	,	-	,␣
2j000:006	6	@	-	että␣
2j000:006	7	(@)	-	me␣
2j000:006	7	@	-	vaellamme␣
2j000:006	11a	@	-	hänen␣
2j000:006	10 (9)	@	-	käskyjensä␣
2j000:006	8	@	-	mukaan
2j000:006	11b	.	-	.␣
2j000:006	12	@	-	Tämä␣
2j000:006	15a	@	-	on␣
2j000:006	(13) 14	@	-	käsky
2j000:006	15b	,	-	,␣
2j000:006	20	@	-	että␣
2j000:006	23a	(@)	-	teidän
2j000:006	-	(,)	-	,␣
2j000:006	16	@	-	niinkuin␣
2j000:006	17	(@)	-	olette␣
2j000:006	19a	@	-	alusta␣
2j000:006	18	%case	LOC	
2j000:006	17	@	-	kuulleet
2j000:006	-	(,)	-	,␣
2j000:006	tasp%23a	@	-	tulee␣
2j000:006	22	@	-	siinä␣
2j000:006	21	%case	LOC	
2j000:006	23a	@	-	vaeltaa
2j000:006	23b	.	-	.␣
2j000:007	2j000:007	2j000:007	VERSE	2Jh␣0:7␣
2j000:007	1	@	-	Sillä␣
2j000:007	2	@	-	monta␣
2j000:007	3	@	-	villitsijää␣
2j000:007	4	(@)	-	on␣
2j000:007	4	@	-	lähtenyt␣
2j000:007	(6) 7a	@	-	maailmaan
