jd000:001	jd000:001	jd000:001	VERSE	Juud␣0:1␣
jd000:001	1	@	-	Juudas
jd000:001	-	(,)	-	,␣
jd000:001	2	@	-	Jeesuksen␣
jd000:001	3	@	-	Kristuksen␣
jd000:001	4a	@	-	palvelija␣
jd000:001	6	@	-	ja␣
jd000:001	7a	@	-	Jaakobin␣
jd000:001	5	@	-	veli
jd000:001	7b	,	-	,␣
jd000:001	17a	@	-	kutsutuille
jd000:001	-	(,)	-	,␣
jd000:001	8	@	-	jotka␣
jd000:001	12	(@)	-	ovat␣
jd000:001	11	@	-	Isässä␣
jd000:001	10	@	-	Jumalassa␣
jd000:001	9	%case	LOC	
jd000:001	12	@	-	rakastetut␣
jd000:001	13	@	-	ja␣
jd000:001	14	@	-	Jeesukselle␣
jd000:001	15	@	-	Kristukselle␣
jd000:001	16	@	-	varjellut
jd000:001	17b	.	-	.␣
jd000:002	jd000:002	jd000:002	VERSE	Juud␣0:2␣
jd000:002	7a	@	-	Lisääntyköön␣
jd000:002	2	@	-	teille␣
jd000:002	1	@	-	laupeus␣
jd000:002	3	@	-	ja␣
jd000:002	4	@	-	rauha␣
jd000:002	5	@	-	ja␣
jd000:002	6	@	-	rakkaus
jd000:002	7b	.	-	.␣
jd000:003	jd000:003	jd000:003	VERSE	Juud␣0:3␣
jd000:003	1a	@	-	Rakkaani
jd000:003	-	(!)	-	!␣
jd000:003	4	(@)	-	Kun␣
jd000:003	-	(@)	-	minulla␣
jd000:003	4	(@)	-	on␣
jd000:003	4	@	-	ollut␣
jd000:003	2	@	-	harras␣
jd000:003	3	@	-	halu␣
jd000:003	5	@	-	kirjoittaa␣
jd000:003	6	@	-	teille␣
jd000:003	9	@	-	yhteisestä␣
jd000:003	11 (8)	@	-	pelastuksestamme
jd000:003	10	%pers	?	
jd000:003	7	%case	LOC	
jd000:003	-	(,)	-	,␣
jd000:003	13	@	-	tuli␣
jd000:003	13	(@)	-	minulle␣
jd000:003	12	@	-	pakko␣
jd000:003	14	@	-	kirjoittaa␣
jd000:003	-	(@)	-	ja␣
jd000:003	16	@	-	kehoittaa␣
jd000:003	15	@	-	teitä␣
jd000:003	17	@	-	kilvoittelemaan␣
jd000:003	18	@	-	sen␣
jd000:003	23a	@	-	uskon␣
jd000:003	case%23a	@	-	puolesta
jd000:003	-	(,)	-	,␣
jd000:003	18	@	-	joka␣
jd000:003	19	@	-	kerta~kaikkiaan␣
jd000:003	20	(@)	-	on␣
jd000:003	(21) 22	@	-	pyhille␣
jd000:003	20	@	-	annettu
jd000:003	23b	.	-	.␣
jd000:004	jd000:004	jd000:004	VERSE	Juud␣0:4␣
jd000:004	2	@	-	Sillä␣
jd000:004	-	(@)	-	teidän␣
jd000:004	-	(@)	-	keskuuteenne␣
jd000:004	1	(@)	-	on␣
jd000:004	1	@	-	pujahtanut␣
jd000:004	3	@	-	eräitä␣
jd000:004	4a	@	-	ihmisiä
jd000:004	4b	,	-	,␣
jd000:004	5	@	-	joiden␣
jd000:004	6	@	-	jo␣
jd000:004	6	@	-	aikoja␣
jd000:004	6	@	-	sitten␣
jd000:004	7	(@)	-	on␣
jd000:004	7	@	-	kirjoitettu␣
jd000:004	8	@	-	tulevan␣
jd000:004	9	@	-	tähän␣
jd000:004	(10) 11a	@	-	tuomioon
jd000:004	11b	,	-	,␣
jd000:004	12a	@	-	jumalattomia
jd000:004	-	(,)	-	,␣
jd000:004	18	(@)	-	jotka␣
jd000:004	18	@	-	kääntävät␣
jd000:004	16	@	-	meidän␣
jd000:004	(14) 15	@	-	Jumalamme␣
jd000:004	(13) 17	@	-	armon␣
jd000:004	20	@	-	irstaudeksi␣
jd000:004	19	%case	TRA	
jd000:004	21	@	-	ja␣
jd000:004	30a	@	-	kieltävät␣
jd000:004	27	@	-	meidän␣
jd000:004	23	@	-	ainoan␣
jd000:004	(22) 24	@	-	valtiaamme␣
jd000:004	25	@	-	ja␣
jd000:004	26	@	-	Herramme
jd000:004	-	(,)	-	,␣
jd000:004	28	@	-	Jeesuksen␣
jd000:004	29	@	-	Kristuksen
jd000:004	30b	.	-	.␣
jd000:005	jd000:005	jd000:005	VERSE	Juud␣0:5␣
jd000:005	5a	(@)	-	Vaikka␣
jd000:005	-	(@)	-	jo␣
jd000:005	11	@	-	kerran␣
jd000:005	5a	(@)	-	olette␣
jd000:005	5a	@	-	saaneet␣
jd000:005	5a	@	-	tietää␣
jd000:005	(6a)	-	UNTRANSLATED	
jd000:005	7	@	-	kaiken
jd000:005	-	(,)	-	,␣
jd000:005	4a	@	-	tahdon␣
jd000:005	2	@	-	kuitenkin␣
jd000:005	1	@	-	muistuttaa␣
jd000:005	3	@	-	teitä␣
jd000:005	-	(@)	-	siitä
jd000:005	-	(,)	-	,␣
jd000:005	8a	@	-	että␣
jd000:005	10 (9a)	@	-	Herra
jd000:005	-	(,)	-	,␣
jd000:005	16	(@)	-	joka␣
jd000:005	16	(@)	-	oli␣
jd000:005	16	@	-	pelastanut␣
jd000:005	12	@	-	kansan␣
jd000:005	15	@	-	Egyptistä
jd000:005	(13) (14)	-	UNTRANSLATED	
jd000:005	-	(,)	-	,␣
jd000:005	(17) 18	@	-	toisella␣
jd000:005	(17) 18	@	-	kertaa␣
jd000:005	22a	@	-	hukutti␣
jd000:005	19	@	-	ne
jd000:005	-	(,)	-	,␣
jd000:005	19	@	-	jotka␣
jd000:005	20	@	-	eivät␣
jd000:005	21	@	-	uskoneet
jd000:005	22b	;	-	;␣
jd000:006	jd000:006	jd000:006	VERSE	Juud␣0:6␣
jd000:006	2	@	-	ja␣
jd000:006	-	(@)	-	että␣
jd000:006	-	(@)	-	hän␣
jd000:006	3	@	-	ne␣
jd000:006	1	@	-	enkelit
jd000:006	-	(,)	-	,␣
jd000:006	3	@	-	jotka␣
jd000:006	4	@	-	eivät␣
jd000:006	5	@	-	säilyttäneet␣
jd000:006	(6) 8	@	-	valta-asemaansa
jd000:006	7	%pers	3	
jd000:006	-	(,)	-	,␣
jd000:006	9	@	-	vaan␣
jd000:006	10	@	-	jättivät␣
jd000:006	12	@	-	oman␣
jd000:006	(11) 13	@	-	asumuksensa
jd000:006	-	(,)	-	,␣
jd000:006	22a	@	-	pani␣
jd000:006	21	@	-	pimeyteen␣
jd000:006	20	%case	LOC	
jd000:006	19	@	-	iankaikkisissa␣
jd000:006	18	@	-	kahleissa␣
jd000:006	22a	@	-	säilytettäviksi␣
jd000:006	16	@	-	suuren␣
jd000:006	17	@	-	päivän␣
jd000:006	15	@	-	tuomioon
jd000:006	14	%case	LOC	
jd000:006	22b	;	-	;␣
jd000:007	jd000:007	jd000:007	VERSE	Juud␣0:7␣
jd000:007	1	@	-	samoin~kuin␣
jd000:007	2	@	-	Sodoma␣
jd000:007	3	@	-	ja␣
jd000:007	4	@	-	Gomorra␣
jd000:007	5	@	-	ja␣
jd000:007	8	@	-	niiden␣
jd000:007	7	@	-	ympärillä␣
jd000:007	-	(@)	-	olevat␣
jd000:007	(6) 9	@	-	kaupungit
jd000:007	-	(,)	-	,␣
jd000:007	14	(@)	-	jotka␣
jd000:007	11	@	-	samalla␣
jd000:007	(10) 12	@	-	tavalla␣
jd000:007	case%13	@	-	kuin␣
jd000:007	13	@	-	nekin␣
