1x001:001	1x001:001	1x001:001	VERSE	1Ak␣1:1␣
1x001:001	1	Aadam	PR.SG.NOM	Aadam
1x001:001	-	(,)	PUNC	,␣
1x001:001	2	Seet	PR.SG.NOM	Seet
1x001:001	-	(,)	PUNC	,␣
1x001:001	3	Enos	PR.SG.NOM	Enos
1x001:001	-	(,)	PUNC	,␣
1x001:002	1x001:002	1x001:002	VERSE	1Ak␣1:2␣
1x001:002	1	Keenan	PR.SG.NOM	Keenan
1x001:002	-	(,)	PUNC	,␣
1x001:002	2	Mahalalel	PR.SG.NOM	Mahalalel
1x001:002	-	(,)	PUNC	,␣
1x001:002	3	Jered	PR.SG.NOM	Jered
1x001:002	-	(,)	PUNC	,␣
1x001:003	1x001:003	1x001:003	VERSE	1Ak␣1:3␣
1x001:003	1	Hanok	PR.SG.NOM	Hanok
1x001:003	-	(,)	PUNC	,␣
1x001:003	2	Metusalah	PR.SG.NOM	Metusalah
1x001:003	-	(,)	PUNC	,␣
1x001:003	3	Lemek	PR.SG.NOM	Lemek
1x001:003	-	(,)	PUNC	,␣
1x001:004	1x001:004	1x001:004	VERSE	1Ak␣1:4␣
1x001:004	1	Nooa	PR.SG.NOM	Nooa
1x001:004	-	(,)	PUNC	,␣
1x001:004	2	Seem	PR.SG.NOM	Seem
1x001:004	-	(,)	PUNC	,␣
1x001:004	3	Haam	PR.SG.NOM	Haam␣
1x001:004	4a	ja	CNJ	ja␣
1x001:004	4b	Jaafet	PR.SG.NOM	Jaafet
1x001:004	-	(.)	PUNC	.␣
1x001:005	1x001:005	1x001:005	VERSE	1Ak␣1:5␣
1x001:005	2	Jaafet	PR.SG.GEN	Jaafetin␣
1x001:005	1	poika	PL.NOM	pojat␣
1x001:005	-	(olla)	COP.ACT.PAST.3P	olivat␣
1x001:005	3	Goomer	PR.SG.NOM	Goomer
1x001:005	(4a)	-	UNTRANSLATED	
1x001:005	-	(,)	PUNC	,␣
1x001:005	4b	Maagog	PR.SG.NOM	Maagog
1x001:005	(5a)	-	UNTRANSLATED	
1x001:005	-	(,)	PUNC	,␣
1x001:005	5b	Maadai	PR.SG.NOM	Maadai
1x001:005	(6a)	-	UNTRANSLATED	
1x001:005	-	(,)	PUNC	,␣
1x001:005	6b	Jaavan	PR.SG.NOM	Jaavan
1x001:005	(7a)	-	UNTRANSLATED	
1x001:005	-	(,)	PUNC	,␣
1x001:005	7b	Tuubal	PR.SG.NOM	Tuubal
1x001:005	(8a)	-	UNTRANSLATED	
1x001:005	-	(,)	PUNC	,␣
1x001:005	8b	Mesek	PR.SG.NOM	Mesek␣
1x001:005	9a	ja	CNJ	ja␣
1x001:005	9b	Tiiras	PR.SG.NOM	Tiiras
1x001:005	-	(.)	PUNC	.␣
1x001:006	1x001:006	1x001:006	VERSE	1Ak␣1:6␣
1x001:006	1a	ja	CNJ	Ja␣
1x001:006	2	Goomer	PR.SG.GEN	Goomerin␣
1x001:006	1b	poika	PL.NOM	pojat␣
1x001:006	-	(olla)	COP.ACT.PAST.3P	olivat␣
1x001:006	3	Askenas	PR.SG.NOM	Askenas
1x001:006	(4a)	-	UNTRANSLATED	
1x001:006	-	(,)	PUNC	,␣
1x001:006	4b	Diifat	PR.SG.NOM	Diifat␣
1x001:006	5a	ja	CNJ	ja␣
1x001:006	5b	Toogarma	PR.SG.NOM	Toogarma
1x001:006	-	(.)	PUNC	.␣
1x001:007	1x001:007	1x001:007	VERSE	1Ak␣1:7␣
1x001:007	1a	ja	CNJ	Ja␣
1x001:007	2	Jaavan	PR.SG.GEN	Jaavanin␣
1x001:007	1b	poika	PL.NOM	pojat␣
1x001:007	-	(olla)	COP.ACT.PAST.3P	olivat␣
1x001:007	3	Elisa	PR.SG.NOM	Elisa␣
1x001:007	4a	ja	CNJ	ja␣
1x001:007	4b	Tarsisa	PR.SG.NOM	Tarsisa
1x001:007	-	(,)	PUNC	,␣
1x001:007	5	kittiläinen	DER.ADJ.PL.NOM	kittiläiset␣
1x001:007	6a	ja	CNJ	ja␣
1x001:007	6b	roodanilainen	DER.ADJ.PL.NOM	roodanilaiset
1x001:007	-	(.)	PUNC	.␣
1x001:008	1x001:008	1x001:008	VERSE	1Ak␣1:8␣
1x001:008	2	Haam	PR.SG.GEN	Haamin␣
1x001:008	1	poika	PL.NOM	pojat␣
1x001:008	-	(olla)	COP.ACT.PAST.3P	olivat␣
1x001:008	3	Kuus	PR.SG.NOM	Kuus
1x001:008	(4a)	-	UNTRANSLATED	
1x001:008	-	(,)	PUNC	,␣
1x001:008	4b	Misraim	PR.SG.NOM	Misraim
1x001:008	-	(,)	PUNC	,␣
1x001:008	5	Puut	PR.SG.NOM	Puut␣
1x001:008	6a	ja	CNJ	ja␣
1x001:008	6b	Kanaan	PR.SG.NOM	Kanaan
1x001:008	-	(.)	PUNC	.␣
1x001:009	1x001:009	1x001:009	VERSE	1Ak␣1:9␣
1x001:009	1a	ja	CNJ	Ja␣
1x001:009	2	Kuus	PR.SG.GEN	Kuusin␣
1x001:009	1b	poika	PL.NOM	pojat␣
1x001:009	-	(olla)	COP.ACT.PAST.3P	olivat␣
1x001:009	3	Seba	PR.SG.NOM	Seba
1x001:009	(4a)	-	UNTRANSLATED	
1x001:009	-	(,)	PUNC	,␣
1x001:009	4b	Havila	PR.SG.NOM	Havila
1x001:009	(5a)	-	UNTRANSLATED	
1x001:009	-	(,)	PUNC	,␣
1x001:009	5b	Sabta	PR.SG.NOM	Sabta
1x001:009	(6a)	-	UNTRANSLATED	
1x001:009	-	(,)	PUNC	,␣
1x001:009	6b	Raema	PR.SG.NOM	Raema␣
1x001:009	7a	ja	CNJ	ja␣
1x001:009	7b	Sabteka	PR.SG.NOM	Sabteka
1x001:009	-	(.)	PUNC	.␣
1x001:009	8a	ja	CNJ	Ja␣
1x001:009	9	Raema	PR.SG.GEN	Raeman␣
