on001:001	on001:001	on001:001	VERSE	Jna␣1:1␣
on001:001	(1a)	-	UNTRANSLATED	
on001:001	5	Joona	PR.SG.ALL	Joonalle
on001:001	4	%case	LOC	
on001:001	-	(,)	PUNC	,␣
on001:001	7	Amittai	PR.SG.GEN	Amittain␣
on001:001	6	poika	SG.ALL	pojalle
on001:001	-	(,)	PUNC	,␣
on001:001	1b	tulla	ACT.PAST.3S	tuli␣
on001:001	8a 8b	tämä	DEM.SG.NOM	tämä␣
on001:001	3	Herra	SG.GEN	Herran␣
on001:001	2	sana	SG.NOM	sana
on001:001	-	(:)	PUNC	:␣
on001:002	on001:002	on001:002	VERSE	Jna␣1:2␣
on001:002	-	(")	PUNC.LEFT	"
on001:002	1	nousta	ACT.IMP.2S	Nouse
on001:002	-	(,)	PUNC	,␣
on001:002	2	mennä	ACT.IMP.2S	mene␣
on001:002	4	Niinive	PR.SG.ILL	Niiniveen
on001:002	3	%case	LOC	
on001:002	-	(,)	PUNC	,␣
on001:002	5a	se	DEM.SG.ILL	siihen␣
on001:002	(6a) 6b	suuri	ADJ.SG.ILL	suureen␣
on001:002	5b	kaupunki	SG.ILL	kaupunkiin
on001:002	-	(,)	PUNC	,␣
on001:002	7a	ja	CNJ	ja␣
on001:002	7b	saarnata	ACT.IMP.2S	saarnaa␣
on001:002	pers%8	se	DEM.SG.PTV	sitä␣
on001:002	8	vastaan	POST	vastaan
on001:002	-	(;)	PUNC	;␣
on001:002	9	sillä	SUBORD	sillä␣
on001:002	pers%11	he	PERS.PL.GEN	heidän␣
on001:002	11	pahuus	DER.NOM&SGGEN.-3	pahuutensa␣
on001:002	10	(olla)	COP.ACT.PRES.3S	on␣
on001:002	10	nousta	ACT.PCP2.PERF	noussut␣
on001:002	pers%12b	minä	PERS.SG.GEN	minun␣
on001:002	12b	kasvot	PL.GEN.-1	kasvojeni␣
on001:002	12a	eteen	PREP	eteen
on001:002	-	(")	PUNC.RIGHT	"
on001:002	-	(.)	PUNC	.␣
on001:003	on001:003	on001:003	VERSE	Jna␣1:3␣
on001:003	1a	mutta	CNJ	Mutta␣
on001:003	2	Joona	PR.SG.NOM	Joona␣
on001:003	1b	nousta	ACT.PAST.3S	nousi␣
on001:003	3b	paeta	INF1.TRA.-3	paetaksensa␣
on001:003	3a	%case	TRA	
on001:003	4	Tarsis	PR.SG.ILL	Tarsiiseen␣
on001:003	6	Herra	SG.GEN	Herran␣
on001:003	5c	kasvot	PL.GEN	kasvojen␣
on001:003	5b	edestä	PREP	edestä␣
on001:003	5a	%case	LOC	
on001:003	7a	ja	CNJ	ja␣
on001:003	7b	mennä	ACT.PAST.3S	meni␣
on001:003	7b	alas	ADV	alas␣
on001:003	8	Jaafo	PR.SG.ILL	Jaafoon␣
on001:003	9a	ja	CNJ	ja␣
on001:003	9b	löytää	ACT.PAST.3S	löysi␣
on001:003	10	laiva	SG.GEN	laivan
on001:003	-	(,)	PUNC	,␣
on001:003	-	(joka)	REL.INDEF.SG.NOM	joka␣
on001:003	11	(olla)	COP.ACT.PAST.3S	oli␣
on001:003	11	lähteä	ACT.PCP1.FUTR	lähtevä␣
on001:003	12	Tarsis	PR.SG.ILL	Tarsiiseen
on001:003	-	(.)	PUNC	.␣
on001:003	13a	ja	CNJ	Ja␣
on001:003	13b	(hän)	PERS.SG.NOM	hän␣
on001:003	13b	suorittaa	ACT.PAST.3S	suoritti␣
on001:003	14	laiva_maksu	SG.GEN	laivamaksun␣
on001:003	15a	ja	CNJ	ja␣
on001:003	15b	astua	ACT.PAST.3S	astui␣
on001:003	16	se	DEM.SG.ILL	siihen␣
on001:003	17b	mennä	INF1.TRA.-3	mennäkseen␣
on001:003	17a	%case	TRA	
on001:003	pers%18	he	PERS.PL.GEN	heidän␣
on001:003	18	kanssa	POST.-3	kanssansa␣
on001:003	19	Tarsis	PR.SG.ILL	Tarsiiseen
on001:003	-	(,)	PUNC	,␣
on001:003	20a	pois	ADV	pois␣
on001:003	21	Herra	SG.GEN	Herran␣
on001:003	20c	kasvot	PL.GEN	kasvojen␣
on001:003	20b	edestä	PREP	edestä
on001:003	-	(.)	PUNC	.␣
on001:004	on001:004	on001:004	VERSE	Jna␣1:4␣
on001:004	1a	mutta	CNJ	Mutta␣
on001:004	1b	Herra	SG.NOM	Herra␣
on001:004	2	heittää	ACT.PAST.3S	heitti␣
on001:004	4	suuri	ADJ.SG.GEN	suuren␣
on001:004	3	tuuli	SG.GEN	tuulen␣
