jn001:001	jn001:001	jn001:001	VERSE	Jh␣1:1␣
jn001:001	2	alku	SG.INE	Alussa␣
jn001:001	1	%case	LOC	
jn001:001	3	olla	COP.ACT.PAST.3S	oli␣
jn001:001	(4) 5a	Sana	SG.NOM	Sana
jn001:001	-	(,)	PUNC	,␣
jn001:001	6	ja	CNJ	ja␣
jn001:001	(7) 8	Sana	SG.NOM	Sana␣
jn001:001	9	olla	COP.ACT.PAST.3S	oli␣
jn001:001	(11) 12a	Jumala	SG.GEN	Jumalan␣
jn001:001	10	tykönä	POST	tykönä
jn001:001	-	(,)	PUNC	,␣
jn001:001	13	ja	CNJ	ja␣
jn001:001	(16) 17a	Sana	SG.NOM	Sana␣
jn001:001	15	olla	COP.ACT.PAST.3S	oli␣
jn001:001	14	Jumala	SG.NOM	Jumala
jn001:001	-	(.)	PUNC	.␣
jn001:002	jn001:002	jn001:002	VERSE	Jh␣1:2␣
jn001:002	1	hän	PERS.SG.NOM	Hän␣
jn001:002	2	olla	COP.ACT.PAST.3S	oli␣
jn001:002	4	alku	SG.INE	alussa␣
jn001:002	3	%case	LOC	
jn001:002	(6) 7a	Jumala	SG.GEN	Jumalan␣
jn001:002	5	tykönä	POST	tykönä
jn001:002	-	(.)	PUNC	.␣
jn001:003	jn001:003	jn001:003	VERSE	Jh␣1:3␣
jn001:003	1	kaikki	INDEF.SG.NOM	Kaikki␣
jn001:003	4a	(olla)	COP.ACT.PRES.3S	on␣
jn001:003	4a	saada	ACT.PCP2.PERF	saanut␣
jn001:003	4a	synty	NOM&SGGEN.-3	syntynsä␣
jn001:003	3	hän	PERS.SG.GEN	hänen␣
jn001:003	2	kautta	PREP.-3	kauttaan
jn001:003	-	(,)	PUNC	,␣
jn001:003	5	ja	CNJ	ja␣
jn001:003	6	ilman	PREP	ilman␣
jn001:003	7	hän	PERS.SG.PTV	häntä␣
jn001:003	9	ei	NEGV.3S	ei␣
jn001:003	8	(olla)	COP.ACT.PRES.NEG	ole␣
jn001:003	8	syntyä	ACT.PCP2.PERF	syntynyt␣
jn001:003	10a	mikään	INDEF.SG.PTV	mitään
jn001:003	-	(,)	PUNC	,␣
jn001:003	11	mikä	INT.REL.INDEF.SG.NOM	mikä␣
jn001:003	12	syntyä	ACT.PCP2.PERF	syntynyt␣
jn001:003	12	(olla)	COP.ACT.PRES.3S	on
jn001:003	-	(.)	PUNC	.␣
jn001:004	jn001:004	jn001:004	VERSE	Jh␣1:4␣
jn001:004	2	hän	PERS.SG.INE	Hänessä␣
jn001:004	1	%case	LOC	
jn001:004	4a	olla	COP.ACT.PAST.3S	oli␣
jn001:004	3	elämä	DER.SG.NOM	elämä
jn001:004	-	(,)	PUNC	,␣
jn001:004	5	ja	CNJ	ja␣
jn001:004	(6) 7	elämä	DER.SG.NOM	elämä␣
jn001:004	8	olla	COP.ACT.PAST.3S	oli␣
jn001:004	(11) 12a	ihminen	PL.GEN	ihmisten␣
jn001:004	10 (9)	valkeus	DER.SG.NOM	valkeus
jn001:004	-	(.)	PUNC	.␣
jn001:005	jn001:005	jn001:005	VERSE	Jh␣1:5␣
jn001:005	1	ja	CNJ	Ja␣
jn001:005	(2) 3	valkeus	DER.SG.NOM	valkeus␣
jn001:005	7a	loistaa	ACT.PRES.3S	loistaa␣
jn001:005	(5) 6	pimeys	DER.SG.INE	pimeydessä
jn001:005	4	%case	LOC	
jn001:005	-	(,)	PUNC	,␣
jn001:005	8	ja	CNJ	ja␣
jn001:005	10 (9)	pimeys	DER.SG.NOM	pimeys␣
jn001:005	12	ei	NEGV.3S	ei␣
jn001:005	11	se	DEM.SG.PTV	sitä␣
jn001:005	13a	käsittää	ACT.PAST.SG	käsittänyt
jn001:005	-	(.)	PUNC	.␣
jn001:006	jn001:006	jn001:006	VERSE	Jh␣1:6␣
jn001:006	1	olla	COP.ACT.PAST.3S	Oli␣
jn001:006	2a	mies	SG.NOM	mies
jn001:006	-	(,)	PUNC	,␣
jn001:006	5a	Jumala	SG.GEN	Jumalan␣
jn001:006	4	%case	GEN	
jn001:006	3	lähettää:lähettämä	PCPA.SG.NOM	lähettämä
jn001:006	-	(;)	PUNC	;␣
jn001:006	7	hän	PERS.SG.GEN	hänen␣
jn001:006	6	nimi	NOM&SGGEN.-3	nimensä␣
jn001:006	-	(olla)	COP.ACT.PAST.3S	oli␣
jn001:006	8a	Johannes	PR.SG.NOM	Johannes
jn001:006	-	(.)	PUNC	.␣
jn001:007	jn001:007	jn001:007	VERSE	Jh␣1:7␣
jn001:007	1	hän	PERS.SG.NOM	Hän␣
jn001:007	2	tulla	ACT.PAST.3S	tuli␣
jn001:007	4	todistaa	INF3.ILL	todistamaan
jn001:007	3	%case	LOC	
jn001:007	-	(,)	PUNC	,␣
jn001:007	6	todistaa	INF1.TRA.-3	todistaaksensa␣
jn001:007	5	%case	TRA	
jn001:007	(8) 9a	valkeus	DER.SG.ELA	valkeudesta
jn001:007	7	%case	LOC	
jn001:007	-	(,)	PUNC	,␣
jn001:007	10	että	SUBORD	että␣
jn001:007	11	kaikki	INDEF.SG.NOM	kaikki␣
jn001:007	12	uskoa	ACT.COND.3P	uskoisivat␣
jn001:007	14a	hän	PERS.SG.GEN	hänen␣
jn001:007	13	kautta	PREP.-3	kauttansa
jn001:007	-	(.)	PUNC	.␣
jn001:008	jn001:008	jn001:008	VERSE	Jh␣1:8␣
jn001:008	1	ei	NEGV.3S	Ei␣
jn001:008	2	(hän)	PERS.SG.NOM	hän␣
jn001:008	2	olla	COP.ACT.PAST.SG	ollut␣
jn001:008	3	se	DEM.SG.NOM	se␣
jn001:008	(4) 5a	valkeus	DER.SG.NOM	valkeus
jn001:008	-	(,)	PUNC	,␣
jn001:008	6	mutta	CNJ	mutta␣
jn001:008	-	(hän)	PERS.SG.NOM	hän␣
jn001:008	-	(tulla)	ACT.PAST.3S	tuli␣
jn001:008	(10) 11a	valkeus	DER.SG.ELA	valkeudesta␣
jn001:008	9	%case	LOC	
jn001:008	8	todistaa	INF3.ILL	todistamaan
jn001:008	7	%case	LOC	
jn001:008	-	(.)	PUNC	.␣
jn001:009	jn001:009	jn001:009	VERSE	Jh␣1:9␣
jn001:009	(4) 5a	totinen	ADJ.SG.NOM	Totinen␣
jn001:009	(2) 3	valkeus	DER.SG.NOM	valkeus
jn001:009	-	(,)	PUNC	,␣
jn001:009	6	joka	REL.INDEF.SG.NOM	joka␣
jn001:009	7	valistaa	ACT.PRES.3S	valistaa␣
jn001:009	8	jokainen	INDEF.SG.GEN	jokaisen␣
jn001:009	9a	ihminen	SG.GEN	ihmisen
jn001:009	-	(,)	PUNC	,␣
jn001:009	1	olla	COP.ACT.PAST.3S	oli␣
jn001:009	11	tulossa	DER.ADV	tulossa␣
jn001:009	(13) 14a	maailma	SG.ILL	maailmaan
jn001:009	12	%case	LOC	
jn001:009	14b	.	PUNC	.␣
jn001:010	jn001:010	jn001:010	VERSE	Jh␣1:10␣
jn001:010	(2) 3	maailma	SG.INE	Maailmassa␣
jn001:010	1	%case	LOC	
jn001:010	4a	(hän)	PERS.SG.NOM	hän␣
jn001:010	4a	olla	COP.ACT.PAST.3S	oli
jn001:010	-	(,)	PUNC	,␣
jn001:010	5	ja	CNJ	ja␣
jn001:010	(6) 7	maailma	SG.NOM	maailma␣
jn001:010	10a	(olla)	COP.ACT.PRES.3S	on␣
jn001:010	9	hän	PERS.SG.GEN	hänen␣
jn001:010	8	kautta	PREP.-3	kauttaan␣
jn001:010	10a	saada	ACT.PCP2.PERF	saanut␣
jn001:010	10a	synty	NOM&SGGEN.-3	syntynsä
jn001:010	-	(,)	PUNC	,␣
jn001:010	11	ja	CNJ	ja␣
jn001:010	(12) 13	maailma	SG.NOM	maailma␣
jn001:010	15	ei	NEGV.3S	ei␣
jn001:010	14	hän	PERS.SG.PTV	häntä␣
jn001:010	16a	tuntea	ACT.PAST.SG	tuntenut
jn001:010	-	(.)	PUNC	.␣
jn001:011	jn001:011	jn001:011	VERSE	Jh␣1:11␣
jn001:011	4a	(hän)	PERS.SG.NOM	Hän␣
jn001:011	4a	tulla	ACT.PAST.3S	tuli␣
jn001:011	(2) 3	oma	ADJ.PL.GEN.-3	omiensa␣
jn001:011	1	tykö	POST	tykö
jn001:011	-	(,)	PUNC	,␣
jn001:011	5	ja	CNJ	ja␣
jn001:011	-	(hän)	PERS.SG.GEN	hänen␣
jn001:011	(6) 7	oma	ADJ.NOM&SGGEN.-3	omansa␣
jn001:011	9	ei	NEGV.3P	eivät␣
jn001:011	10a	ottaa	ACT.PAST.PL	ottaneet␣
jn001:011	8	hän	PERS.SG.PTV	häntä␣
jn001:011	10a	vastaan	POST	vastaan
jn001:011	-	(.)	PUNC	.␣
jn001:012	jn001:012	jn001:012	VERSE	Jh␣1:12␣
jn001:012	2	mutta	CNJ	Mutta␣
jn001:012	1	kaikki	INDEF.PL.ALL	kaikille
jn001:012	-	(,)	PUNC	,␣
jn001:012	1	joka	REL.PL.NOM	jotka␣
jn001:012	3	ottaa	ACT.PAST.3P	ottivat␣
jn001:012	4a	hän	PERS.SG.ACC	hänet␣
