pp001:001	pp001:001	pp001:001	VERSE	Flp␣1:1␣
pp001:001	1	Paavali	PR.SG.NOM	Paavali␣
pp001:001	2	ja	CNJ	ja␣
pp001:001	3	Timoteus	PR.SG.NOM	Timoteus
pp001:001	-	(,)	PUNC	,␣
pp001:001	5	Kristus	PR.SG.GEN	Kristuksen␣
pp001:001	6	Jeesus	PR.SG.GEN	Jeesuksen␣
pp001:001	4	palvelija	DER.PL.NOM	palvelijat
pp001:001	-	(,)	PUNC	,␣
pp001:001	7	kaikki	INDEF.PL.ALL	kaikille␣
pp001:001	(8) 9	pyhä	ADJ.PL.ALL	pyhille␣
pp001:001	11	Kristus	PR.SG.INE	Kristuksessa␣
pp001:001	12	Jeesus	PR.SG.INE	Jeesuksessa
pp001:001	10	%case	LOC	
pp001:001	-	(,)	PUNC	,␣
pp001:001	13	joka	REL.PL.NOM	jotka␣
pp001:001	14	olla	COP.ACT.PRES.3P	ovat␣
pp001:001	16	Filippi	PR.SG.INE	Filippissä
pp001:001	15	%case	LOC	
pp001:001	-	(,)	PUNC	,␣
pp001:001	-	(sekä)	CNJ	sekä␣
pp001:001	-	(myös)	ADV	myös␣
pp001:001	-	(seurakunta)	SG.GEN	seurakunnan␣
pp001:001	18	kaitsija	DER.PL.ALL	kaitsijoille␣
pp001:001	17	%case	LOC	
pp001:001	19	ja	CNJ	ja␣
pp001:001	20a	seurakunta_palvelija	DER.PL.ALL	seurakuntapalvelijoille
pp001:001	20b	.	PUNC	.␣
pp001:002	pp001:002	pp001:002	VERSE	Flp␣1:2␣
pp001:002	1	armo	SG.NOM	Armo␣
pp001:002	2	te	PERS.PL.ALL	teille␣
pp001:002	3	ja	CNJ	ja␣
pp001:002	4	rauha	SG.NOM	rauha␣
pp001:002	6	Jumala	SG.ABL	Jumalalta
pp001:002	5	%case	LOC	
pp001:002	-	(,)	PUNC	,␣
pp001:002	8	me	PERS.PL.GEN	meidän␣
pp001:002	7	Isä	SG.ABL.-1	Isältämme
pp001:002	-	(,)	PUNC	,␣
pp001:002	9	ja	CNJ	ja␣
pp001:002	10	Herra	SG.ABL	Herralta␣
pp001:002	11	Jeesus	PR.SG.ABL	Jeesukselta␣
pp001:002	12a	Kristus	PR.SG.ABL	Kristukselta
pp001:002	12b	!	PUNC	!␣
pp001:003	pp001:003	pp001:003	VERSE	Flp␣1:3␣
pp001:003	1	(minä)	PERS.SG.NOM	Minä␣
pp001:003	1	kiittää	ACT.PRES.1S	kiitän␣
pp001:003	(2) 3	Jumala	SG.PTV.-1	Jumalaani
pp001:003	4	%pers	?	
pp001:003	-	(,)	PUNC	,␣
pp001:003	5 6	niin	ADV.AD-A	niin␣
pp001:003	5 6	usein	ADV.POS	usein␣
pp001:003	5 6	kuin	SUBORD	kuin␣
pp001:003	9	te	PERS.PL.PTV	teitä␣
pp001:003	(7) 8	muistaa	ACT.PRES.1S	muistan
pp001:003	-	(,)	PUNC	,␣
pp001:004	pp001:004	pp001:004	VERSE	Flp␣1:4␣
pp001:004	1	aina	ADV	aina␣
pp001:004	3	kaikki	INDEF.PL.INE	kaikissa␣
pp001:004	4	rukous	PL.INE.-1	rukouksissani␣
pp001:004	5	%pers	?	
pp001:004	2	%case	LOC	
pp001:004	10	ilo	SG.ADE	ilolla␣
pp001:004	9	%case	LOC	
pp001:004	(11) 12 13a	rukoilla	ACT.INF2.MAN	rukoillen␣
pp001:004	8a	te	PERS.PL.GEN	teidän␣
pp001:004	7	kaikki	INDEF.PL.GEN	kaikkien␣
pp001:004	6	puolesta	DER.POST	puolesta
pp001:004	13b	,	PUNC	,␣
pp001:005	pp001:005	pp001:005	VERSE	Flp␣1:5␣
pp001:005	-	(kiittää)	ACT.PRES.1S	kiitän␣
pp001:005	-	(se)	DEM.SG.ELA	siitä
pp001:005	-	(,)	PUNC	,␣
pp001:005	-	(että)	SUBORD	että␣
pp001:005	(2) 3	(olla)	COP.ACT.PRES.2P	olette␣
pp001:005	4	%pers	2P	
pp001:005	(2) 3	olla	COP.ACT.PCP2.PERF	olleet␣
pp001:005	(2) 3	osallinen	DER.ADJ.PL.PTV	osallisia␣
pp001:005	1	%case	PTV	
pp001:005	(6) 7	evankeliumi	SG.ILL	evankeliumiin␣
pp001:005	5	%case	LOC	
pp001:005	10	ensi	ADJ	ensi␣
pp001:005	11 (9)	päivä	SG.ELA	päivästä␣
pp001:005	8	alkaa	ACT.INF2.MAN	alkaen␣
pp001:005	(13) 14a	tämä	DEM.SG.ILL	tähän␣
pp001:005	(13) 14a	päivä	SG.ILL	päivään␣
pp001:005	12	saakka	ADV	saakka
pp001:005	14b	,	PUNC	,␣
pp001:006	pp001:006	pp001:006	VERSE	Flp␣1:6␣
pp001:006	1	varmasti	DER.ADV.POS	varmasti␣
pp001:006	1	luottaa	ACT.INF2.MAN	luottaen␣
pp001:006	3a	se	DEM.SG.ILL	siihen
pp001:006	2	%case	LOC	
pp001:006	3b	,	PUNC	,␣
pp001:006	4	että	SUBORD	että␣
pp001:006	5	hän	PERS.SG.NOM	hän
pp001:006	-	(,)	PUNC	,␣
pp001:006	5	joka	REL.INDEF.SG.NOM	joka␣
pp001:006	6	(olla)	COP.ACT.PRES.3S	on␣
pp001:006	6	alkaa	ACT.PCP2.PERF	alkanut␣
pp001:006	8	te	PERS.PL.INE	teissä␣
pp001:006	7	%case	LOC	
pp001:006	10	hyvä	ADJ.SG.GEN	hyvän␣
pp001:006	9	työ	SG.GEN	työn
pp001:006	-	(,)	PUNC	,␣
pp001:006	11	(olla)	COP.ACT.PRES.3S	on␣
pp001:006	-	(se)	DEM.SG.GEN	sen␣
pp001:006	11	täyttää	ACT.PCP1.FUTR	täyttävä␣
pp001:006	14	Kristus	PR.SG.GEN	Kristuksen␣
pp001:006	15a	Jeesus	PR.SG.GEN	Jeesuksen␣
pp001:006	13	päivä	SG.ILL	päivään␣
pp001:006	12	saakka	ADV	saakka
pp001:006	15b	.	PUNC	.␣
pp001:007	pp001:007	pp001:007	VERSE	Flp␣1:7␣
pp001:007	1	ja	CNJ	Ja␣
pp001:007	3	oikein	ADV	oikein␣
pp001:007	2	olla	COP.ACT.PRES.3S.-CLITIC	onkin
pp001:007	-	(,)	PUNC	,␣
pp001:007	-	(että)	SUBORD	että␣
pp001:007	4	minä	PERS.SG.NOM	minä␣
pp001:007	5	näin	ADV.AD-A	näin␣
pp001:007	6	ajatella	ACT.PRES.1S	ajattelen␣
pp001:007	9	te	PERS.PL.PTV	teitä␣
pp001:007	8	kaikki	INDEF.PL.PTV	kaikkia
pp001:007	7	%case	PTV	
pp001:007	-	(,)	PUNC	,␣
pp001:007	10	koska	SUBORD	koska␣
pp001:007	17a	te	PERS.PL.NOM	te␣
pp001:007	(11) 12	olla	COP.ACT.PRES.2P	olette␣
pp001:007	13	minä	PERS.SG.GEN	minun␣
pp001:007	(15) 16	sydän	SG.INE.-1	sydämessäni
pp001:007	14	%case	LOC	
pp001:007	17b	,	PUNC	,␣
pp001:007	36	te	PERS.PL.NOM	te
pp001:007	-	(,)	PUNC	,␣
pp001:007	37a	(joka)	REL.PL.NOM	jotka␣
pp001:007	19	sekä	CNJ	sekä␣
pp001:007	-	(olla)	COP.ACT.INF2.INE.-1	ollessani␣
pp001:007	22	%pers	?	
pp001:007	(20) 21	kahle	PL.INE	kahleissa␣
pp001:007	18	%case	LOC	
pp001:007	23	että	SUBORD	että␣
pp001:007	(29) 30	evankeliumi	SG.PTV	evankeliumia␣
pp001:007	(25) 26	puolustaa	ACT.INF2.INE.-1	puolustaessani␣
pp001:007	24	%case	LOC	
pp001:007	27	ja	CNJ	ja␣
pp001:007	28	vahvistaa	ACT.INF2.INE.-1	vahvistaessani␣
pp001:007	37a	olla	COP.ACT.PRES.2P	olette␣
pp001:007	35	kaikki	INDEF.SG.NOM	kaikki␣
pp001:007	32	minä	PERS.SG.GEN	minun␣
pp001:007	31	kanssa	POST.-1	kanssani␣
pp001:007	(33) 34	armo	SG.ELA	armosta␣
pp001:007	31	osallinen	DER.ADJ.PL.NOM	osalliset
pp001:007	37b	.	PUNC	.␣
