mt001:001	1	βίβλος/976/0974	NOM.FEM.SG	Βίβλος	biblos
mt001:001	2	γένεσις/1078/1077	GEN.FEM.SG	γενέσεως	geneseōs
mt001:001	3	Ἰησοῦς/2424/2406	GEN.MASC.SG	Ἰησοῦ	iēsū
mt001:001	4	Χριστός/5547/5383	GEN.MASC.SG	Χριστοῦ	khristū
mt001:001	5	υἱός/5207/-	GEN.MASC.SG	υἱοῦ	huiū
mt001:001	6	Δαυίδ/1138/1159	PR	Δαυεὶδ	daueid
mt001:001	7	υἱός/5207/-	GEN.MASC.SG	υἱοῦ	huiū
mt001:001	8a	Ἀβραάμ/11/0011	PR	Ἀβραάμ	abraam
mt001:001	8b	-/-/-	-	.	.
mt001:002	1	Ἀβραάμ/11/0011	PR	Ἀβραὰμ	abraam
mt001:002	2	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:002	3	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:002	4a	Ἰσαάκ/2464/2445	PR	Ἰσαάκ	isaak
mt001:002	4b	-/-/-	-	,	,
mt001:002	5	Ἰσαάκ/2464/2445	PR	Ἰσαὰκ	isaak
mt001:002	6	δέ/1161/1160	CNJ	δὲ	de
mt001:002	7	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:002	8	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:002	9a	Ἰακώβ/2384/2366	PR	Ἰακώβ	iakōb
mt001:002	9b	-/-/-	-	,	,
mt001:002	10	Ἰακώβ/2384/2366	PR	Ἰακὼβ	iakōb
mt001:002	11	δέ/1161/1160	CNJ	δὲ	de
mt001:002	12	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:002	13	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:002	14	Ἰούδας/2455/2435	ACC.MASC.SG	Ἰούδαν	iūdan
mt001:002	15	καί/2532/2515	CNJ	καὶ	kai
mt001:002	16	ὁ/3588/3455	ART.ACC.MASC.PL	τοὺς	tūs
mt001:002	17	ἀδελφός/80/0081	ACC.MASC.PL	ἀδελφοὺς	adelfūs
mt001:002	18a	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ	autū
mt001:002	18b	-/-/-	-	,	,
mt001:003	1	Ἰούδας/2455/2435	NOM.MASC.SG	Ἰούδας	iūdas
mt001:003	2	δέ/1161/1160	CNJ	δὲ	de
mt001:003	3	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:003	4	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:003	5	Φάρες/5329/5171	PR	Φαρὲς	fares
mt001:003	6	καί/2532/2515	CNJ	καὶ	kai
mt001:003	7	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:003	8	Ζάρα/2196/2186	PR	Ζαρὰ	dzara
mt001:003	9	ἐκ/1537/1529	PREP	ἐκ	ek
mt001:003	10	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
mt001:003	11a	Θαμάρ/2283/2265	PR	Θάμαρ	thamar
mt001:003	11b	-/-/-	-	,	,
mt001:003	12	Φάρες/5329/5171	PR	Φαρὲς	fares
mt001:003	13	δέ/1161/1160	CNJ	δὲ	de
mt001:003	14	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:003	15	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:003	16a	Ἑσρώμ/2074/2063	PR	Ἐσρώμ	esrōm
mt001:003	16b	-/-/-	-	,	,
mt001:003	17	Ἑσρώμ/2074/2063	PR	Ἐσρὼμ	esrōm
mt001:003	18	δέ/1161/1160	CNJ	δὲ	de
mt001:003	19	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:003	20	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:003	21a	Ἀράμ/689/0685	PR	Ἀράμ	aram
mt001:003	21b	-/-/-	-	,	,
mt001:004	1	Ἀράμ/689/0685	PR	Ἀρὰμ	aram
mt001:004	2	δέ/1161/1160	CNJ	δὲ	de
mt001:004	3	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:004	4	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:004	5a	Ἀμιναδάβ/284/0283	PR	Ἀμιναδάβ	aminadab
mt001:004	5b	-/-/-	-	,	,
mt001:004	6	Ἀμιναδάβ/284/0283	PR	Ἀμιναδὰβ	aminadab
mt001:004	7	δέ/1161/1160	CNJ	δὲ	de
mt001:004	8	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:004	9	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:004	10a	Ναασσών/3476/3346	PR	Ναασσών	naassōn
mt001:004	10b	-/-/-	-	,	,
mt001:004	11	Ναασσών/3476/3346	PR	Ναασσὼν	naassōn
mt001:004	12	δέ/1161/1160	CNJ	δὲ	de
mt001:004	13	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:004	14	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:004	15a	Σαλμών/4533/4393	PR	Σαλμών	salmōn
mt001:004	15b	-/-/-	-	,	,
mt001:005	1	Σαλμών/4533/4393	PR	Σαλμὼν	salmōn
mt001:005	2	δέ/1161/1160	CNJ	δὲ	de
mt001:005	3	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:005	4	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:005	5	Βόες/1003/0993	PR	Βόες	boes
mt001:005	6	ἐκ/1537/1529	PREP	ἐκ	ek
mt001:005	7	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
mt001:005	8a	Ῥαχάβ/4477/4339	PR	Ῥαχάβ	rhakhab
mt001:005	8b	-/-/-	-	,	,
mt001:005	9	Βόες/1003/0993	PR	Βόες	boes
mt001:005	10	δέ/1161/1160	CNJ	δὲ	de
mt001:005	11	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:005	12	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:005	13	Ἰωβήδ/5601/2473	PR	Ἰωβὴδ	iōbēd
mt001:005	14	ἐκ/1537/1529	PREP	ἐκ	ek
mt001:005	15	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
mt001:005	16a	Ῥούθ/4503/4364	PR	Ῥούθ	rhūth
mt001:005	16b	-/-/-	-	,	,
mt001:005	17	Ἰωβήδ/5601/2473	PR	Ἰωβὴδ	iōbēd
mt001:005	18	δέ/1161/1160	CNJ	δὲ	de
mt001:005	19	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:005	20	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:005	21a	Ἰεσσαί/2421/2403	PR	Ἰεσσαί	iessai
mt001:005	21b	-/-/-	-	,	,
mt001:006	1	Ἰεσσαί/2421/2403	PR	Ἰεσσαὶ	iessai
mt001:006	2	δέ/1161/1160	CNJ	δὲ	de
mt001:006	3	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:006	4	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:006	5	Δαυίδ/1138/1159	PR	Δαυεὶδ	daueid
mt001:006	6	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:006	7a	βασιλεύς/935/0931	ACC.MASC.SG	βασιλέα	basilea
mt001:006	7b	-/-/-	-	.	.
mt001:006	8	Δαυίδ/1138/1159	PR	Δαυεὶδ	daueid
mt001:006	9	δέ/1161/1160	CNJ	δὲ	de
mt001:006	10	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:006	11	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:006	12	Σολομών/4672/4529	ACC.MASC.SG	Σολομῶνα	solomōna
mt001:006	13	ἐκ/1537/1529	PREP	ἐκ	ek
mt001:006	14	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
mt001:006	15	ὁ/3588/3455	ART.GEN.MASC.SG	τοῦ	tū
mt001:006	16a	Οὐρίας/3774/3642	GEN.MASC.SG	Οὐρίου	ūriū
mt001:006	16b	-/-/-	-	,	,
mt001:007	1	Σολομών/4672/4529	NOM.MASC.SG	Σολομὼν	solomōn
mt001:007	2	δέ/1161/1160	CNJ	δὲ	de
mt001:007	3	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:007	4	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:007	5a	Ῥοβοάμ/4497/4357	PR	Ῥοβοάμ	rhoboam
mt001:007	5b	-/-/-	-	,	,
mt001:007	6	Ῥοβοάμ/4497/4357	PR	Ῥοβοὰμ	rhoboam
mt001:007	7	δέ/1161/1160	CNJ	δὲ	de
mt001:007	8	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:007	9	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:007	10a	Ἀβιά/7/0007	PR	Ἀβιά	abia
mt001:007	10b	-/-/-	-	,	,
mt001:007	11	Ἀβιά/7/0007	PR	Ἀβιὰ	abia
mt001:007	12	δέ/1161/1160	CNJ	δὲ	de
mt001:007	13	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:007	14	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:007	15a	Ἀσάφ/0760/0757	PR	Ἀσάφ	asaf
mt001:007	15b	-/-/-	-	,	,
mt001:008	1	Ἀσάφ/0760/0757	PR	Ἀσὰφ	asaf
mt001:008	2	δέ/1161/1160	CNJ	δὲ	de
mt001:008	3	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:008	4	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:008	5a	Ἰωσαφάτ/2498/2480	PR	Ἰωσαφάτ	iōsafat
mt001:008	5b	-/-/-	-	,	,
