lm001:001	1	-/349b/0341	INT	אֵיכָ֣ה׀	ʾêḵāh
lm001:001	2	-/3427/3246	Qal.3fs.PERF	יָשְׁבָ֣ה	yāšĕbāh
lm001:001	3	-/910/0863	MASC.SG.ABS	בָדָ֗ד	bādād
lm001:001	4a	-/d/-	ART	הָ	hā
lm001:001	4b	-/5892b/5621	FEM.SG.ABS	עִיר֙	ʿîr
lm001:001	5	-/7227a/-	ADJ.FEM.SG.CSTR	רַבָּ֣תִי	rabātî
lm001:001	6	-/5971a/5691	MASC.SG.ABS	עָ֔ם	ʿām
lm001:001	7	-/1961/1861	Qal.3fs.PERF	הָיְתָ֖ה	hāyĕtāh
lm001:001	8a	-/k/-	PREP	כְּ	kĕ
lm001:001	8b	-/490/-	FEM.SG.ABS	אַלְמָנָ֑ה	ʾalĕmānāh
lm001:001	9	-/7227a/-	ADJ.FEM.SG.CSTR	רַּבָּ֣תִי	rabātî
lm001:001	10a	-/b/9082	PREP	בַ	ba
lm001:001	10b	-/1471a/1400	MASC.PL.ABS	גּוֹיִ֗ם	gowyim
lm001:001	11	-/8282/7408	FEM.SG.CSTR	שָׂרָ֨תִי֙	śārātî
lm001:001	12a	-/b/9082	-	בַּ	ba
lm001:001	12b	-/4082/3861	-	מְּדִינ֔וֹת	mĕdînowt
lm001:001	13	-/1961/1861	Qal.3fs.PERF	הָיְתָ֖ה	hāyĕtāh
lm001:001	14a	-/l/-	PREP	לָ	lā
lm001:001	14b	-/4522/4284	MASC.SG.ABS	מַֽס׃	mas
lm001:001	15=í	-/-	-	ס	s
lm001:002	1	-/1058/-	Qal.INF.ABS	בָּכ֨וֹ	bāḵow
lm001:002	2	-/1058/-	Qal.3fs.IMPF	תִבְכֶּ֜ה	tibĕkeh
lm001:002	3a	-/b/9082	PREP	בַּ	ba
lm001:002	3b	-/3915/-	MASC.SG.ABS	לַּ֗יְלָה	layĕlāh
lm001:002	4a	-/c/9191	CNJ	וְ	wĕ
lm001:002	4b	-/1832/-	FEM.SG.CSTR-3fs	דִמְעָתָהּ֙	dimĕʿāt-āh
lm001:002	5	-/5921a/5649	PREP	עַ֣ל	ʿal
lm001:002	6	-/3895/3681	-	לֶֽחֱיָ֔הּ	leḥĕy-āh
lm001:002	7	-/369/0361	NEG	אֵֽין־	ʾên-
lm001:002	8	-/l/-	PREP	לָ֥הּ	l-āh
lm001:002	9	-/5162/4909	PI.MASC.SG.ACT.PCP.ABS	מְנַחֵ֖ם	mĕnaḥēm
lm001:002	10a	-/m/4247	PREP	מִ	mi
lm001:002	10b	-/3605/3409	MASC.SG.CSTR	כָּל־	kāl-
lm001:002	11	-/157/0151	Qal.MASC.PL.ACT.PCP.CSTR-3fs	אֹהֲבֶ֑יהָ	ʾohăbê-hā
lm001:002	12	-/3605/3409	MASC.SG.CSTR	כָּל־	kāl-
lm001:002	13	-/7453/7145	MASC.PL.CSTR-3fs	רֵעֶ֨יהָ֙	rēʿê-hā
lm001:002	14	-/898/0850	Qal.3cp.PERF	בָּ֣גְדוּ	bāgĕdū
lm001:002	15	-/b/9082	PREP	בָ֔הּ	b-āh
lm001:002	16	-/1961/1861	Qal.3cp.PERF	הָ֥יוּ	hāyū
lm001:002	17	-/l/-	PREP	לָ֖הּ	l-āh
lm001:002	18a	-/l/3599	PREP	לְ	lĕ
lm001:002	18b	-/341/0331	MASC.PL.ACT.PCP.ABS	אֹיְבִֽים׃	ʾoyĕbîm
lm001:002	19=í	-/-	-	ס	s
lm001:003	1	-/1540/1473	Qal.3fs.PERF	גָּֽלְתָ֨ה	gālĕtāh
lm001:003	2	-/3063/2919	PR	יְהוּדָ֤ה	yĕhūdāh
lm001:003	3a	-/m/4247	PREP	מֵ	mē
lm001:003	3b	-/6040/5758	MASC.SG.ABS	עֹ֨נִי֙	ʿonî
lm001:003	4a	-/c/-	CNJ	וּ	ū
lm001:003	4b	-/m/4247	PREP	מֵ	mē
lm001:003	4c	-/7230/6942	MASC.SG.CSTR	רֹ֣ב	rob
lm001:003	5	-/5656/5384	FEM.SG.ABS	עֲבֹדָ֔ה	ʿăbodāh
lm001:003	6	-/1931/1858	PRON	הִ֚יא	hîʾ
lm001:003	7	-/3427/3246	Qal.3fs.PERF	יָשְׁבָ֣ה	yāšĕbāh
lm001:003	8a	-/b/9082	PREP	בַ	ba
lm001:003	8b	-/1471a/1400	MASC.PL.ABS	גּוֹיִ֔ם	gowyim
lm001:003	9	-/3808/3600	NEG	לֹ֥א	loʾ
lm001:003	10	-/4672/4438	Qal.3fs.PERF	מָצְאָ֖ה	māṣĕʾāh
lm001:003	11	-/4494/4256	MASC.SG.ABS	מָנ֑וֹחַ	mānowăḥ
lm001:003	12	-/3605/3409	MASC.SG.CSTR	כָּל־	kāl-
lm001:003	13	-/7291/6994	Qal.MASC.PL.ACT.PCP.CSTR-3fs	רֹדְפֶ֥יהָ	rodĕfê-hā
lm001:003	14	-/5381/5109	Hiph.3cp.PERF-3fs	הִשִּׂיג֖וּהָ	hiśîgū-hā
lm001:003	15	-/996/0950	PREP	בֵּ֥ין	bên
lm001:003	16a	-/d/-	ART	הַ	ha
lm001:003	16b	-/4712/4477	MASC.PL.ABS	מְּצָרִֽים׃	mĕṣārîm
lm001:003	17=í	-/-	-	ס	s
lm001:004	1	-/1870/-	PL.CSTR	דַּרְכֵ֨י	darĕḵê
lm001:004	2	-/6726/6444	PR	צִיּ֜וֹן	ṣîown
lm001:004	3	-/57/0056	ADJ.FEM.PL.ABS	אֲבֵל֗וֹת	ʾăbēlowt
lm001:004	4a	-/m/4247	PREP	מִ	mi
lm001:004	4b	-/1097/1046	MASC.SG.CSTR	בְּלִי֙	bĕlî
lm001:004	5	-/935/0886	Qal.MASC.PL.ACT.PCP.CSTR	בָּאֵ֣י	bāʾê
lm001:004	6	-/4150/3927	MASC.SG.ABS	מוֹעֵ֔ד	mowʿēd
lm001:004	7	-/3605/3409	MASC.SG.CSTR	כָּל־	kāl-
lm001:004	8	-/8179/7891	MASC.PL.CSTR-3fs	שְׁעָרֶ֨יהָ֙	šĕʿārê-hā
lm001:004	9	-/8074/7805	Qal.MASC.PL.ACT.PCP.ABS	שֽׁוֹמֵמִ֔ין	šowmēmîn
lm001:004	10	-/3548/3356	MASC.PL.CSTR-3fs	כֹּהֲנֶ֖יהָ	kohănê-hā
lm001:004	11	-/584/0571	-	נֶאֱנָחִ֑ים	neʾĕnāḥîm
lm001:004	12	-/1330/1272	FEM.PL.CSTR-3fs	בְּתוּלֹתֶ֥יהָ	bĕtūlotê-hā
lm001:004	14a	-/c/9191	CNJ	וְ	wĕ
lm001:004	14b	-/1931/1858	PRON	הִ֥יא	hîʾ
lm001:004	15	-/4751/4601	Qal.3ms.PERF	מַר־	mar-
lm001:004	16	-/l/-	PREP	לָֽהּ׃	l-āh
lm001:004	17=í	-/-	-	ס	s
lm001:005	1	-/1961/1861	Qal.3cp.PERF	הָי֨וּ	hāyū
lm001:005	2	-/6862c/6580	MASC.PL.CSTR-3fs	צָרֶ֤יהָ	ṣārê-hā
lm001:005	3a	-/l/3599	PREP	לְ	lĕ
lm001:005	3b	-/7218a/6930	MASC.SG.ABS	רֹאשׁ֙	roʾš
lm001:005	4	-/341/0331	Qal.MASC.PL.ACT.PCP.CSTR-3fs	אֹיְבֶ֣יהָ	ʾoyĕbê-hā
lm001:005	5	-/7951/7708	Qal.3cp.PERF	שָׁל֔וּ	šālū
lm001:005	6	-/3588a/-	CNJ	כִּֽי־	kî-
lm001:005	7	-/3068/2923	PR	יְהוָ֥ה	yĕhwāh
lm001:005	8	-/3013/2877	Hiph.3ms.PERF-3fs	הוֹגָ֖הּ	howg-āh
lm001:005	9	-/5921a/5649	PREP	עַ֣ל	ʿal
lm001:005	10	-/7230/-	MASC.SG.CSTR	רֹב־	rob-
